Actual,Predicted,Model
10.0,9.959536606815194,Ridge
10.0,10.500233205217391,Ridge
10.0,7.078837765878958,Ridge
3.168,2.8024774993742696,Ridge
0.748,2.5172110581424967,Ridge
2.288,1.5375178040848851,Ridge
2.498,2.2341118345223343,Ridge
10.0,9.496618464358493,Ridge
2.411,5.405527379481095,Ridge
2.055,0.08422728642273647,Ridge
1.742,1.7348259339655012,Ridge
10.0,10.047516004270943,Ridge
3.856,3.316483427943659,Ridge
10.0,9.91088054064847,Ridge
1.199,0.4010099326205232,Ridge
1.321,1.3534446042304875,Ridge
10.0,12.662992858919301,Ridge
2.146,1.8536598702885971,Ridge
2.318,-0.9704520934463492,Ridge
2.374,3.209407409786989,Ridge
3.441,0.9651954646904439,Ridge
10.0,2.1,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.168,2.682,DecisionTreeRegressor
0.748,1.362,DecisionTreeRegressor
2.288,2.177,DecisionTreeRegressor
2.498,2.1,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,3.13,DecisionTreeRegressor
2.055,2.629,DecisionTreeRegressor
1.742,0.182,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.856,2.709,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,3.792,DecisionTreeRegressor
1.321,2.1,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.146,2.425,DecisionTreeRegressor
2.318,10.0,DecisionTreeRegressor
2.374,1.044,DecisionTreeRegressor
3.441,3.294,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,3.651,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.168,2.177,RandomForestRegressor
0.748,10.0,RandomForestRegressor
2.288,0.702,RandomForestRegressor
2.498,-0.415,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,10.0,RandomForestRegressor
2.055,2.682,RandomForestRegressor
1.742,10.0,RandomForestRegressor
