Actual,Predicted,Model
10.0,10.448757791619228,Ridge
10.0,11.463126054380986,Ridge
10.0,7.743280150221724,Ridge
3.168,3.4261222478069975,Ridge
0.748,1.4425660510459526,Ridge
2.288,1.1656255109719584,Ridge
2.498,3.137914997157244,Ridge
10.0,10.041445541991422,Ridge
2.411,4.426021136605302,Ridge
2.055,-0.07548630009090296,Ridge
1.742,1.5220836924962526,Ridge
10.0,10.16984574168162,Ridge
3.856,3.9081986065372494,Ridge
10.0,9.514754610391506,Ridge
1.199,0.5394757745697163,Ridge
1.321,1.6558767755941357,Ridge
10.0,13.098834602450864,Ridge
2.146,2.336456205390462,Ridge
2.318,-0.4433060797734676,Ridge
2.374,3.390221713621113,Ridge
3.441,0.8798068473531444,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,1.364,DecisionTreeRegressor
3.168,2.916,DecisionTreeRegressor
0.748,-0.292,DecisionTreeRegressor
2.288,2.894,DecisionTreeRegressor
2.498,1.362,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,3.7615,DecisionTreeRegressor
2.055,2.136,DecisionTreeRegressor
1.742,0.221,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.856,4.122,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,4.0815,DecisionTreeRegressor
1.321,2.885,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.146,2.4005,DecisionTreeRegressor
2.318,3.0934999999999997,DecisionTreeRegressor
2.374,-0.292,DecisionTreeRegressor
3.441,0.986,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.168,0.097,RandomForestRegressor
0.748,10.0,RandomForestRegressor
2.288,2.252,RandomForestRegressor
2.498,0.699,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,2.047,RandomForestRegressor
2.055,2.82,RandomForestRegressor
1.742,2.177,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.856,3.058,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,1.214,RandomForestRegressor
1.321,1.806,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.146,3.058,RandomForestRegressor
2.318,2.744,RandomForestRegressor
2.374,3.558,RandomForestRegressor
3.441,2.159,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.168,3.0762857142857136,AdaBoostRegressor
0.748,1.1257934782608687,AdaBoostRegressor
2.288,2.8037213114754103,AdaBoostRegressor
2.498,2.4155596330275197,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.411,3.2764533333333317,AdaBoostRegressor
2.055,3.0105094339622624,AdaBoostRegressor
1.742,1.18292,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.856,3.1015188679245287,AdaBoostRegressor
