Actual,Predicted,Model
2.521,0.2598442747354017,Ridge
1.474,-0.4654197641683453,Ridge
1.026,3.2283066163648613,Ridge
10.0,8.686629236494236,Ridge
1.923,6.093384530810075,Ridge
4.615,5.380263337954226,Ridge
6.41,3.8566917820026547,Ridge
0.128,2.4723642725758226,Ridge
10.0,5.008725488171919,Ridge
1.923,5.2863155782274305,Ridge
4.615,1.9438459602597482,Ridge
1.923,3.4627099252025664,Ridge
10.0,13.197335632382059,Ridge
0.128,1.8248451142750963,Ridge
5.962,7.359848049089361,Ridge
3.568,3.3805327277890176,Ridge
1.026,3.47641358097173,Ridge
10.0,12.298943679549657,Ridge
5.064,3.747925095396421,Ridge
1.923,-0.4111471465026595,Ridge
6.41,9.26168367900543,Ridge
2.521,4.266333333333333,DecisionTreeRegressor
1.474,4.088333333333334,DecisionTreeRegressor
1.026,4.266333333333333,DecisionTreeRegressor
10.0,6.41,DecisionTreeRegressor
1.923,5.5875,DecisionTreeRegressor
4.615,6.41,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
0.128,6.260666666666666,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.026,DecisionTreeRegressor
4.615,2.692333333333334,DecisionTreeRegressor
1.923,4.4656666666666665,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,6.260666666666666,DecisionTreeRegressor
5.962,4.266333333333333,DecisionTreeRegressor
3.568,2.821,DecisionTreeRegressor
1.026,4.088333333333334,DecisionTreeRegressor
10.0,6.41,DecisionTreeRegressor
5.064,4.266333333333333,DecisionTreeRegressor
1.923,1.6663333333333334,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
2.521,2.9489149396243595,GradientBoostingRegressor
1.474,2.9489149396243595,GradientBoostingRegressor
1.026,2.9988011848618057,GradientBoostingRegressor
10.0,7.305647239470035,GradientBoostingRegressor
1.923,3.205100526268523,GradientBoostingRegressor
4.615,4.325207097872321,GradientBoostingRegressor
6.41,5.893964494306996,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
10.0,6.905101936782944,GradientBoostingRegressor
1.923,3.2780630061243667,GradientBoostingRegressor
4.615,2.9988011848618057,GradientBoostingRegressor
1.923,3.071822828749853,GradientBoostingRegressor
10.0,7.730124571512705,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
5.962,4.628812412005475,GradientBoostingRegressor
3.568,3.1975739812714754,GradientBoostingRegressor
1.026,3.152252689570541,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.357817636841856,GradientBoostingRegressor
1.923,2.9988011848618057,GradientBoostingRegressor
6.41,6.201021963158322,GradientBoostingRegressor
2.521,3.085393805916305,RandomForestRegressor
1.474,2.3567440523088017,RandomForestRegressor
1.026,3.2319386958874476,RandomForestRegressor
10.0,5.64615246825397,RandomForestRegressor
1.923,4.278289686868688,RandomForestRegressor
4.615,5.2423379285714296,RandomForestRegressor
6.41,5.2565019523809555,RandomForestRegressor
0.128,3.0913967539682523,RandomForestRegressor
10.0,3.669642988095239,RandomForestRegressor
1.923,4.264235242063493,RandomForestRegressor
4.615,3.487151548701297,RandomForestRegressor
1.923,4.421167175324678,RandomForestRegressor
10.0,7.899135123376623,RandomForestRegressor
0.128,3.6571727301587287,RandomForestRegressor
5.962,5.3926124642857145,RandomForestRegressor
3.568,5.4287436388888874,RandomForestRegressor
1.026,5.563436682539682,RandomForestRegressor
10.0,8.166118425685424,RandomForestRegressor
5.064,4.930776861111113,RandomForestRegressor
1.923,2.4842741547619047,RandomForestRegressor
6.41,5.963078367604616,RandomForestRegressor
2.521,1.7383333333333322,AdaBoostRegressor
1.474,1.8137662337662337,AdaBoostRegressor
1.026,2.1042031249999966,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,2.577249999999998,AdaBoostRegressor
4.615,5.27390277777778,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
0.128,1.7508085106382976,AdaBoostRegressor
10.0,6.590424999999994,AdaBoostRegressor
1.923,2.6868050847457616,AdaBoostRegressor
4.615,2.1042031249999966,AdaBoostRegressor
1.923,2.2270654205607467,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.128,1.880302325581396,AdaBoostRegressor
5.962,5.631558139534882,AdaBoostRegressor
3.568,2.779136,AdaBoostRegressor
1.026,3.046153846153847,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,4.9611632653061255,AdaBoostRegressor
1.923,2.0573723404255317,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
2.521,3.3695598390451367,KNeighborsRegressor
1.474,3.9230925149416653,KNeighborsRegressor
1.026,2.746584570107311,KNeighborsRegressor
10.0,5.942494415301619,KNeighborsRegressor
1.923,4.504523970404783,KNeighborsRegressor
4.615,6.281386452262361,KNeighborsRegressor
6.41,6.99361038304229,KNeighborsRegressor
0.128,4.325065017578845,KNeighborsRegressor
10.0,4.270680101080598,KNeighborsRegressor
1.923,4.280496791980905,KNeighborsRegressor
4.615,5.430826254083948,KNeighborsRegressor
1.923,2.8768258530391435,KNeighborsRegressor
10.0,7.038166073165615,KNeighborsRegressor
0.128,2.750830026296563,KNeighborsRegressor
5.962,6.2351229319705475,KNeighborsRegressor
3.568,5.836650878135791,KNeighborsRegressor
1.026,2.6999874384034714,KNeighborsRegressor
10.0,7.572987609941946,KNeighborsRegressor
5.064,5.31510359414185,KNeighborsRegressor
1.923,1.89015529942104,KNeighborsRegressor
6.41,5.2911251649922155,KNeighborsRegressor
2.521,1.6599251642471147,MLPRegressor
1.474,1.133630801325208,MLPRegressor
1.026,1.0508605456577038,MLPRegressor
10.0,8.106009062811179,MLPRegressor
1.923,3.570755419073076,MLPRegressor
4.615,4.502673891844228,MLPRegressor
6.41,4.547686038967827,MLPRegressor
0.128,0.3817739490943687,MLPRegressor
10.0,10.29714633880188,MLPRegressor
1.923,2.001207876576607,MLPRegressor
4.615,3.7568762270502902,MLPRegressor
1.923,1.7305095326168507,MLPRegressor
10.0,10.072336441532403,MLPRegressor
0.128,0.848060268447128,MLPRegressor
5.962,5.8067803155842626,MLPRegressor
3.568,3.426054677698101,MLPRegressor
1.026,1.5205187045289104,MLPRegressor
10.0,9.949901674336934,MLPRegressor
5.064,5.075161309622822,MLPRegressor
1.923,2.2071789822736942,MLPRegressor
6.41,6.1352476031186685,MLPRegressor
2.521,3.496296344116579,ElasticNet
1.474,3.850675985442693,ElasticNet
1.026,3.7183235918334425,ElasticNet
10.0,5.669235370863998,ElasticNet
1.923,3.5411337711703856,ElasticNet
4.615,3.9892540919926125,ElasticNet
6.41,5.383448509820914,ElasticNet
0.128,3.6734861647796357,ElasticNet
10.0,3.9515252273959787,ElasticNet
1.923,3.630808625277999,ElasticNet
4.615,3.7183235918334425,ElasticNet
1.923,4.249893053822614,ElasticNet
10.0,7.869995576229139,ElasticNet
0.128,3.496296344116579,ElasticNet
5.962,3.767226844275749,ElasticNet
3.568,3.852835872994863,ElasticNet
1.026,4.207215514320977,ElasticNet
10.0,7.851073389956726,ElasticNet
5.064,4.034091519046419,ElasticNet
1.923,3.496296344116579,ElasticNet
6.41,5.4731233639285275,ElasticNet
2.521,0.15873230578524478,SGDRegressor
1.474,0.22483210747885973,SGDRegressor
1.026,3.311384624928696,SGDRegressor
10.0,8.597703442869275,SGDRegressor
1.923,5.473906065163399,SGDRegressor
4.615,5.720419995996021,SGDRegressor
6.41,4.180608792390149,SGDRegressor
0.128,3.0634216873066427,SGDRegressor
10.0,5.317863672060056,SGDRegressor
1.923,4.371717551643215,SGDRegressor
4.615,2.283078571228884,SGDRegressor
1.923,4.001019459149911,SGDRegressor
10.0,12.68853382629504,SGDRegressor
0.128,2.4792690630840335,SGDRegressor
5.962,7.464551552532406,SGDRegressor
3.568,3.087474015879838,SGDRegressor
1.026,3.7124927978695856,SGDRegressor
10.0,12.139509345514014,SGDRegressor
5.064,3.4220517353712063,SGDRegressor
1.923,-0.11355849304919197,SGDRegressor
6.41,8.717464979329462,SGDRegressor
2.521,0.4651256792949816,BayesianRidge
1.474,1.4221440736117206,BayesianRidge
1.026,2.7434498728755674,BayesianRidge
10.0,8.33145143396039,BayesianRidge
1.923,4.483666662099681,BayesianRidge
4.615,5.379045233752559,BayesianRidge
6.41,4.780441367127924,BayesianRidge
0.128,2.823513155118259,BayesianRidge
10.0,5.762619331470795,BayesianRidge
1.923,3.501106895663291,BayesianRidge
4.615,3.278608925544151,BayesianRidge
1.923,4.07957562773851,BayesianRidge
10.0,11.644607599247717,BayesianRidge
0.128,2.6565499053746917,BayesianRidge
5.962,6.650372851949283,BayesianRidge
3.568,4.295241221405938,BayesianRidge
1.026,3.752134723297977,BayesianRidge
10.0,11.358459164509767,BayesianRidge
5.064,3.7360038218578246,BayesianRidge
1.923,0.8413033595284554,BayesianRidge
6.41,7.790812371441584,BayesianRidge
2.521,1.8326027939863807,KernelRidge
1.474,2.778547691414315,KernelRidge
1.026,2.5681801295459312,KernelRidge
10.0,6.295692216212956,KernelRidge
1.923,3.7278495679063157,KernelRidge
4.615,6.374952468683521,KernelRidge
6.41,5.956360373315643,KernelRidge
0.128,3.8643110107977825,KernelRidge
10.0,2.736692623055064,KernelRidge
1.923,2.343779322570189,KernelRidge
4.615,4.572924824738248,KernelRidge
1.923,3.361670531400057,KernelRidge
10.0,9.79069325521728,KernelRidge
0.128,2.2006757795613856,KernelRidge
5.962,3.362631037231162,KernelRidge
3.568,3.0230175932255685,KernelRidge
1.026,2.8325975155566168,KernelRidge
10.0,8.163182399195982,KernelRidge
5.064,4.731191054659754,KernelRidge
1.923,1.7541931879172543,KernelRidge
