Actual,Predicted,Model
2.521,-0.8039091352237193,Ridge
1.474,1.100677855130054,Ridge
1.026,2.342389622221312,Ridge
10.0,8.247397576011302,Ridge
1.923,5.306270932261011,Ridge
4.615,4.647786081252305,Ridge
6.41,5.504601960289064,Ridge
0.128,1.8306660031783082,Ridge
10.0,8.786290311939783,Ridge
1.923,3.421564673701059,Ridge
4.615,2.9964876661908795,Ridge
1.923,4.04500089507999,Ridge
10.0,11.706757525020436,Ridge
0.128,1.7764983293556638,Ridge
5.962,7.432200205122015,Ridge
3.568,4.737415594505857,Ridge
1.026,4.66743346019777,Ridge
10.0,10.905423693756772,Ridge
5.064,4.546606061582362,Ridge
1.923,1.2353579709059987,Ridge
6.41,7.836475919652488,Ridge
2.521,2.821,DecisionTreeRegressor
1.474,2.1795,DecisionTreeRegressor
1.026,6.41,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,0.128,DecisionTreeRegressor
4.615,6.409999999999999,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
0.128,0.23500000000000001,DecisionTreeRegressor
10.0,0.16,DecisionTreeRegressor
1.923,0.16,DecisionTreeRegressor
4.615,4.615,DecisionTreeRegressor
1.923,1.026,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,4.615,DecisionTreeRegressor
5.962,1.026,DecisionTreeRegressor
3.568,6.41,DecisionTreeRegressor
1.026,2.2435,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,4.615,DecisionTreeRegressor
1.923,10.0,DecisionTreeRegressor
6.41,4.017,DecisionTreeRegressor
2.521,2.925869637446177,GradientBoostingRegressor
1.474,2.925869637446177,GradientBoostingRegressor
1.026,3.0069436348105203,GradientBoostingRegressor
10.0,7.4057902529678,GradientBoostingRegressor
1.923,3.204889897462792,GradientBoostingRegressor
4.615,4.285478490484913,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
0.128,3.0025544503741255,GradientBoostingRegressor
10.0,6.781797253659789,GradientBoostingRegressor
1.923,3.277279676972489,GradientBoostingRegressor
4.615,3.0069436348105203,GradientBoostingRegressor
1.923,3.115888771262084,GradientBoostingRegressor
10.0,7.482228501699279,GradientBoostingRegressor
0.128,3.1211238190496697,GradientBoostingRegressor
5.962,4.537485040762932,GradientBoostingRegressor
3.568,3.20059486404454,GradientBoostingRegressor
1.026,3.1560182272481656,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.38835063032322,GradientBoostingRegressor
1.923,3.0069436348105203,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
2.521,3.6173399999999987,RandomForestRegressor
1.474,2.0287399999999995,RandomForestRegressor
1.026,2.3721600000000005,RandomForestRegressor
10.0,6.16236,RandomForestRegressor
1.923,4.70078,RandomForestRegressor
4.615,5.327219999999998,RandomForestRegressor
6.41,5.56998,RandomForestRegressor
0.128,1.9479799999999998,RandomForestRegressor
10.0,3.36582,RandomForestRegressor
1.923,4.02558,RandomForestRegressor
4.615,3.3876800000000005,RandomForestRegressor
1.923,4.137939999999998,RandomForestRegressor
10.0,7.648620000000002,RandomForestRegressor
0.128,3.200699999999999,RandomForestRegressor
5.962,4.928119999999998,RandomForestRegressor
3.568,5.423440000000002,RandomForestRegressor
1.026,5.309499999999999,RandomForestRegressor
10.0,8.33966,RandomForestRegressor
5.064,5.127279999999998,RandomForestRegressor
1.923,2.4888199999999996,RandomForestRegressor
6.41,5.88024,RandomForestRegressor
2.521,1.6240114942528732,AdaBoostRegressor
1.474,1.7111204819277108,AdaBoostRegressor
1.026,1.9836190476190463,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,2.23434513274336,AdaBoostRegressor
4.615,4.452869565217394,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
0.128,1.677884210526316,AdaBoostRegressor
10.0,4.177374999999999,AdaBoostRegressor
1.923,2.596456692913387,AdaBoostRegressor
4.615,1.962437499999999,AdaBoostRegressor
1.923,2.12779646017699,AdaBoostRegressor
10.0,9.451500000000001,AdaBoostRegressor
0.128,1.9302604166666661,AdaBoostRegressor
5.962,5.193513513513514,AdaBoostRegressor
3.568,2.269273684210523,AdaBoostRegressor
1.026,4.357756756756757,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,4.564465116279073,AdaBoostRegressor
1.923,1.7111204819277108,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
2.521,2.5789759543307467,KNeighborsRegressor
1.474,2.4495489481041974,KNeighborsRegressor
1.026,3.677882057500567,KNeighborsRegressor
10.0,6.957214555115223,KNeighborsRegressor
1.923,4.817153326808045,KNeighborsRegressor
4.615,7.089238314295533,KNeighborsRegressor
6.41,6.608359395048875,KNeighborsRegressor
0.128,2.6291218683674837,KNeighborsRegressor
10.0,2.7700520193507625,KNeighborsRegressor
1.923,2.644289442518189,KNeighborsRegressor
4.615,4.37976766407519,KNeighborsRegressor
1.923,3.6600099384280056,KNeighborsRegressor
10.0,6.530801960096101,KNeighborsRegressor
0.128,2.019716212471008,KNeighborsRegressor
5.962,5.251122768043494,KNeighborsRegressor
3.568,7.715509180066154,KNeighborsRegressor
1.026,3.993915543147851,KNeighborsRegressor
10.0,7.447698991710449,KNeighborsRegressor
5.064,4.185844145360506,KNeighborsRegressor
1.923,3.887200375389559,KNeighborsRegressor
6.41,5.5142048084081265,KNeighborsRegressor
2.521,2.263254629781994,MLPRegressor
1.474,1.004399572007363,MLPRegressor
1.026,1.1736484476708826,MLPRegressor
10.0,8.479784272344396,MLPRegressor
1.923,2.886403198798593,MLPRegressor
4.615,5.158175833930195,MLPRegressor
6.41,7.7479590570725625,MLPRegressor
0.128,1.0932104714737925,MLPRegressor
10.0,10.251797697708605,MLPRegressor
1.923,2.6601171656801235,MLPRegressor
4.615,3.7108507938212996,MLPRegressor
1.923,1.334118915294664,MLPRegressor
10.0,9.968298030557776,MLPRegressor
0.128,0.8743982123453791,MLPRegressor
5.962,6.080418053337705,MLPRegressor
3.568,5.412557121404519,MLPRegressor
1.026,0.2169009739484984,MLPRegressor
10.0,10.151248507124942,MLPRegressor
5.064,4.212913044435237,MLPRegressor
1.923,2.2777492891692592,MLPRegressor
6.41,6.339584046258241,MLPRegressor
2.521,3.5382778736910216,ElasticNet
1.474,3.8970201659986614,ElasticNet
1.026,3.762596944103294,ElasticNet
10.0,5.025713003922233,ElasticNet
1.923,3.583225797949474,ElasticNet
4.615,4.011567789665353,ElasticNet
6.41,5.429336686028426,ElasticNet
0.128,3.7176490198448415,ElasticNet
10.0,4.41864405019624,ElasticNet
1.923,3.673121646466379,ElasticNet
4.615,3.762596944103294,ElasticNet
1.923,4.300710382564754,ElasticNet
10.0,7.210270035200158,ElasticNet
0.128,3.5382778736910216,ElasticNet
5.962,3.78724871925308,ElasticNet
3.568,3.897440716878652,ElasticNet
1.026,4.256183009186292,ElasticNet
10.0,7.883160711977075,ElasticNet
5.064,4.0565157139238055,ElasticNet
1.923,3.5382778736910216,ElasticNet
6.41,5.519232534545331,ElasticNet
2.521,0.30461695398337874,SGDRegressor
1.474,0.9380358890131268,SGDRegressor
1.026,2.3848746253222584,SGDRegressor
10.0,7.584042682882526,SGDRegressor
1.923,4.5008374772695845,SGDRegressor
4.615,4.6319054128061,SGDRegressor
6.41,5.4159663974345476,SGDRegressor
0.128,1.2104290420615276,SGDRegressor
10.0,10.983277625536328,SGDRegressor
1.923,3.112540190687241,SGDRegressor
4.615,3.922538850468225,SGDRegressor
1.923,3.3354877826299942,SGDRegressor
10.0,12.045046282225265,SGDRegressor
0.128,1.47615790733696,SGDRegressor
5.962,6.576994591520759,SGDRegressor
3.568,5.36107830217476,SGDRegressor
1.026,2.598859744399131,SGDRegressor
10.0,12.249406855386397,SGDRegressor
5.064,3.8502584823324972,SGDRegressor
1.923,1.5101520482566602,SGDRegressor
6.41,6.528626668320042,SGDRegressor
2.521,-0.07952181257395186,BayesianRidge
1.474,2.087005289285874,BayesianRidge
1.026,1.9433802178172148,BayesianRidge
10.0,7.639783303410114,BayesianRidge
1.923,4.860191585661165,BayesianRidge
4.615,5.175982504367593,BayesianRidge
6.41,5.484978689333875,BayesianRidge
0.128,2.4236507571758104,BayesianRidge
10.0,8.436370630109455,BayesianRidge
1.923,3.042545934476589,BayesianRidge
4.615,3.451951261670296,BayesianRidge
1.923,4.0351105936212255,BayesianRidge
10.0,11.023838370666496,BayesianRidge
0.128,2.621091450691733,BayesianRidge
5.962,6.451031252553126,BayesianRidge
3.568,5.423277347094517,BayesianRidge
1.026,4.022658812422918,BayesianRidge
10.0,10.520927870854596,BayesianRidge
5.064,3.986391936888909,BayesianRidge
1.923,1.85770994793166,BayesianRidge
6.41,7.558250095360597,BayesianRidge
2.521,1.6470435110394415,KernelRidge
1.474,2.688628552483519,KernelRidge
1.026,2.3884870962742273,KernelRidge
10.0,6.02525005323727,KernelRidge
1.923,4.150863331037263,KernelRidge
4.615,6.710341371373465,KernelRidge
6.41,5.827425506627696,KernelRidge
0.128,2.889293255034211,KernelRidge
10.0,2.7388620872678366,KernelRidge
1.923,2.881528418156905,KernelRidge
4.615,4.484473347528143,KernelRidge
1.923,3.1419444695386396,KernelRidge
10.0,9.648869462053307,KernelRidge
0.128,2.820372540548828,KernelRidge
5.962,3.4185843327644916,KernelRidge
3.568,3.845613929954628,KernelRidge
1.026,2.557267145484202,KernelRidge
10.0,7.997372590087624,KernelRidge
5.064,4.75810248832466,KernelRidge
1.923,2.6241019359232993,KernelRidge
6.41,4.356275932803191,KernelRidge
2.521,1.0356286691877727,LinearRegression
1.474,2.8270178141585793,LinearRegression
1.026,2.396892509298294,LinearRegression
10.0,9.162286754535263,LinearRegression
1.923,5.2230352828519875,LinearRegression
