Actual,Predicted,Model
2.521,-0.52559984512106,Ridge
1.474,0.05506020219162355,Ridge
1.026,3.538141552814217,Ridge
10.0,8.870304003021237,Ridge
1.923,5.225363230467646,Ridge
4.615,4.069433705936208,Ridge
6.41,4.646857129538563,Ridge
0.128,1.7900520886454805,Ridge
10.0,6.975633437331355,Ridge
1.923,4.498998258048407,Ridge
4.615,2.9422271142343526,Ridge
1.923,3.650059415296538,Ridge
10.0,13.03493208456459,Ridge
0.128,2.4261214603459784,Ridge
5.962,6.7326950717188465,Ridge
3.568,3.78210736835502,Ridge
1.026,4.924298390440266,Ridge
10.0,11.855082332625065,Ridge
5.064,3.544267595164816,Ridge
1.923,0.6017443377702429,Ridge
6.41,7.7175406189807045,Ridge
2.521,5.9615,DecisionTreeRegressor
1.474,1.5865,DecisionTreeRegressor
1.026,7.3075,DecisionTreeRegressor
10.0,5.961333333333333,DecisionTreeRegressor
1.923,2.593,DecisionTreeRegressor
4.615,4.391,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
0.128,0.346,DecisionTreeRegressor
10.0,2.821,DecisionTreeRegressor
1.923,2.1795,DecisionTreeRegressor
4.615,1.944,DecisionTreeRegressor
1.923,1.25,DecisionTreeRegressor
10.0,6.41,DecisionTreeRegressor
0.128,1.5865,DecisionTreeRegressor
5.962,5.961333333333333,DecisionTreeRegressor
3.568,1.624,DecisionTreeRegressor
1.026,10.0,DecisionTreeRegressor
10.0,3.38125,DecisionTreeRegressor
5.064,3.6805,DecisionTreeRegressor
1.923,4.391,DecisionTreeRegressor
6.41,6.70925,DecisionTreeRegressor
2.521,2.941183696861113,GradientBoostingRegressor
1.474,2.941183696861113,GradientBoostingRegressor
1.026,3.035260822245343,GradientBoostingRegressor
10.0,7.4235080518061,GradientBoostingRegressor
1.923,3.18834582819754,GradientBoostingRegressor
4.615,4.267573277294821,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
0.128,3.0099623694180915,GradientBoostingRegressor
10.0,6.906866807530338,GradientBoostingRegressor
1.923,3.324753210854926,GradientBoostingRegressor
4.615,3.035260822245343,GradientBoostingRegressor
1.923,3.140524892514657,GradientBoostingRegressor
10.0,7.482228501699279,GradientBoostingRegressor
0.128,3.0099623694180915,GradientBoostingRegressor
5.962,4.386375393628921,GradientBoostingRegressor
3.568,3.207048609332081,GradientBoostingRegressor
1.026,3.2404468774597075,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.321943111094738,GradientBoostingRegressor
1.923,3.035260822245343,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
2.521,3.066147672161173,RandomForestRegressor
1.474,1.9256983513708514,RandomForestRegressor
1.026,3.0863008434343446,RandomForestRegressor
10.0,5.118742063492062,RandomForestRegressor
1.923,4.1273533333333345,RandomForestRegressor
4.615,5.851378587301587,RandomForestRegressor
6.41,6.062493835497841,RandomForestRegressor
0.128,2.9140605212842714,RandomForestRegressor
10.0,3.917757357142857,RandomForestRegressor
1.923,4.595618059523811,RandomForestRegressor
4.615,3.490261976190476,RandomForestRegressor
1.923,4.689599373015873,RandomForestRegressor
10.0,7.257719420634922,RandomForestRegressor
0.128,3.2500039761904778,RandomForestRegressor
5.962,5.695932825396827,RandomForestRegressor
3.568,5.830227648629151,RandomForestRegressor
1.026,5.404926761904764,RandomForestRegressor
