Actual,Predicted,Model
2.521,0.44722677147344214,Ridge
1.474,0.08433796916839942,Ridge
1.026,3.2356494001473335,Ridge
10.0,8.626735294703204,Ridge
1.923,5.19863179723729,Ridge
4.615,4.83013448776852,Ridge
6.41,4.650287796918825,Ridge
0.128,2.2359479669787485,Ridge
10.0,6.089841682515193,Ridge
1.923,4.500307833594067,Ridge
4.615,2.759287078817311,Ridge
1.923,3.8799616825066985,Ridge
10.0,13.214410345850911,Ridge
0.128,2.0850835229986617,Ridge
5.962,6.779111252996065,Ridge
3.568,3.1631906778748915,Ridge
1.026,4.446708339377428,Ridge
10.0,12.48037795765507,Ridge
5.064,3.5816987932684583,Ridge
1.923,0.28740855718616753,Ridge
6.41,7.907017275679598,Ridge
2.521,10.0,DecisionTreeRegressor
1.474,1.474,DecisionTreeRegressor
1.026,1.026,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,0.791,DecisionTreeRegressor
4.615,4.615,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,2.436,DecisionTreeRegressor
10.0,0.342,DecisionTreeRegressor
1.923,1.026,DecisionTreeRegressor
4.615,0.791,DecisionTreeRegressor
1.923,0.897,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,1.026,DecisionTreeRegressor
5.962,7.308,DecisionTreeRegressor
3.568,10.0,DecisionTreeRegressor
1.026,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,5.962,DecisionTreeRegressor
1.923,3.12,DecisionTreeRegressor
6.41,3.718,DecisionTreeRegressor
2.521,2.94891493962436,GradientBoostingRegressor
1.474,2.94891493962436,GradientBoostingRegressor
1.026,2.998801184861806,GradientBoostingRegressor
10.0,7.306268487039269,GradientBoostingRegressor
1.923,3.2051005262685233,GradientBoostingRegressor
4.615,4.325207097872322,GradientBoostingRegressor
6.41,5.893964494306996,GradientBoostingRegressor
0.128,3.0294039644772512,GradientBoostingRegressor
10.0,6.900288695215143,GradientBoostingRegressor
1.923,3.278063006124367,GradientBoostingRegressor
4.615,2.998801184861806,GradientBoostingRegressor
1.923,3.0718228287498532,GradientBoostingRegressor
10.0,7.730124571512705,GradientBoostingRegressor
0.128,3.0294039644772512,GradientBoostingRegressor
