Actual,Predicted,Model
2.521,-0.05247131483939427,Ridge
1.474,0.49528653879375195,Ridge
1.026,3.2284468621852094,Ridge
10.0,9.519546480279436,Ridge
1.923,5.546356929999667,Ridge
4.615,4.045873795367982,Ridge
6.41,4.598501790097214,Ridge
0.128,2.151670806368183,Ridge
10.0,6.0331996674120365,Ridge
1.923,4.846397028339537,Ridge
4.615,2.5630519612891955,Ridge
1.923,3.31377700971774,Ridge
10.0,13.67793696900075,Ridge
0.128,1.8606798712287613,Ridge
5.962,7.574832911450434,Ridge
3.568,4.935677441885204,Ridge
1.026,4.1059122547706375,Ridge
10.0,11.99707813727419,Ridge
5.064,4.317404265115401,Ridge
1.923,0.9260749403790451,Ridge
6.41,6.892869622871892,Ridge
2.521,2.222,DecisionTreeRegressor
1.474,0.564,DecisionTreeRegressor
1.026,1.538,DecisionTreeRegressor
10.0,6.41,DecisionTreeRegressor
1.923,10.0,DecisionTreeRegressor
4.615,6.41,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
0.128,1.026,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,3.718,DecisionTreeRegressor
4.615,1.496,DecisionTreeRegressor
1.923,1.496,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,0.791,DecisionTreeRegressor
5.962,5.064,DecisionTreeRegressor
3.568,10.0,DecisionTreeRegressor
1.026,2.372,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,1.026,DecisionTreeRegressor
1.923,0.791,DecisionTreeRegressor
6.41,5.064,DecisionTreeRegressor
2.521,2.9489149396243595,GradientBoostingRegressor
1.474,2.9489149396243595,GradientBoostingRegressor
1.026,2.9988011848618057,GradientBoostingRegressor
10.0,7.30235188046678,GradientBoostingRegressor
1.923,3.205100526268523,GradientBoostingRegressor
4.615,4.325207097872321,GradientBoostingRegressor
6.41,5.8907324280866735,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
10.0,6.905836073506079,GradientBoostingRegressor
1.923,3.278063006124367,GradientBoostingRegressor
4.615,2.9988011848618057,GradientBoostingRegressor
1.923,3.071822828749853,GradientBoostingRegressor
10.0,7.507258119322122,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
5.962,4.628812412005475,GradientBoostingRegressor
3.568,3.1975739812714763,GradientBoostingRegressor
1.026,3.1522526895705414,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.357817636841856,GradientBoostingRegressor
1.923,2.9988011848618057,GradientBoostingRegressor
6.41,6.144588098636983,GradientBoostingRegressor
2.521,2.784324999999999,RandomForestRegressor
1.474,3.16351,RandomForestRegressor
1.026,3.4300100000000002,RandomForestRegressor
10.0,5.022590000000004,RandomForestRegressor
1.923,4.795575000000004,RandomForestRegressor
4.615,5.469950000000003,RandomForestRegressor
6.41,5.623185000000002,RandomForestRegressor
0.128,3.0353949999999976,RandomForestRegressor
10.0,3.8200650000000014,RandomForestRegressor
1.923,4.233495000000002,RandomForestRegressor
4.615,3.8230850000000025,RandomForestRegressor
1.923,4.6529300000000005,RandomForestRegressor
10.0,7.088525000000001,RandomForestRegressor
