Actual,Predicted,Model
2.521,-0.15859296313768656,Ridge
1.474,0.15047069101223975,Ridge
1.026,3.3887217530327076,Ridge
10.0,8.773126830659166,Ridge
1.923,5.942115904795053,Ridge
4.615,4.5349036571722126,Ridge
6.41,4.361798673334664,Ridge
0.128,2.012408972780682,Ridge
10.0,6.341481280600263,Ridge
1.923,4.891552839956916,Ridge
4.615,2.5057368534205366,Ridge
1.923,3.4869325319537454,Ridge
10.0,13.04183356785681,Ridge
0.128,2.145549301625058,Ridge
5.962,7.073658812212219,Ridge
3.568,3.1616189295242907,Ridge
1.026,4.405016983895312,Ridge
10.0,11.940927369518015,Ridge
5.064,3.9616498438866135,Ridge
1.923,0.29973075140553895,Ridge
6.41,8.612856232174446,Ridge
2.521,4.615333333333333,DecisionTreeRegressor
1.474,0.45299999999999996,DecisionTreeRegressor
1.026,0.4595,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.795,DecisionTreeRegressor
4.615,8.2905,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,0.598,DecisionTreeRegressor
10.0,3.2695,DecisionTreeRegressor
1.923,8.803333333333333,DecisionTreeRegressor
4.615,8.803333333333333,DecisionTreeRegressor
1.923,10.0,DecisionTreeRegressor
10.0,5.81175,DecisionTreeRegressor
0.128,3.01275,DecisionTreeRegressor
5.962,10.0,DecisionTreeRegressor
3.568,6.41,DecisionTreeRegressor
1.026,3.01275,DecisionTreeRegressor
10.0,5.064,DecisionTreeRegressor
5.064,4.615,DecisionTreeRegressor
1.923,1.0186666666666666,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
2.521,2.9489149396243595,GradientBoostingRegressor
1.474,2.9489149396243595,GradientBoostingRegressor
1.026,2.9988011848618057,GradientBoostingRegressor
10.0,7.30951166682103,GradientBoostingRegressor
1.923,3.2051005262685233,GradientBoostingRegressor
4.615,4.325207097872321,GradientBoostingRegressor
6.41,5.893964494306996,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
10.0,6.901699848696502,GradientBoostingRegressor
1.923,3.278063006124367,GradientBoostingRegressor
4.615,2.9988011848618057,GradientBoostingRegressor
1.923,3.071822828749853,GradientBoostingRegressor
10.0,7.730124571512705,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
5.962,4.628812412005475,GradientBoostingRegressor
3.568,3.1975739812714763,GradientBoostingRegressor
1.026,3.1522526895705414,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.357817636841856,GradientBoostingRegressor
1.923,2.9988011848618057,GradientBoostingRegressor
6.41,6.201021963158322,GradientBoostingRegressor
2.521,2.764325,RandomForestRegressor
1.474,2.5706349999999984,RandomForestRegressor
1.026,3.196905000000001,RandomForestRegressor
10.0,5.417755000000002,RandomForestRegressor
1.923,3.6935450000000016,RandomForestRegressor
4.615,5.617110000000004,RandomForestRegressor
