Actual,Predicted,Model
2.521,0.2854345283405655,Ridge
1.474,1.1394266102091204,Ridge
1.026,3.4641832123223586,Ridge
10.0,9.549776550713528,Ridge
1.923,5.3500967254626,Ridge
4.615,4.547744143290713,Ridge
6.41,5.339652308498959,Ridge
0.128,2.82852530410183,Ridge
10.0,6.0468424308389235,Ridge
1.923,4.330124710111987,Ridge
4.615,3.0637046534364627,Ridge
1.923,3.883430087323385,Ridge
10.0,13.592801854305412,Ridge
0.128,1.8568015011343486,Ridge
5.962,8.200256817603215,Ridge
3.568,5.499378757290922,Ridge
1.026,3.609020663136178,Ridge
10.0,12.313420056983212,Ridge
5.064,4.772178388263116,Ridge
1.923,1.2533289070852445,Ridge
6.41,9.24305158586695,Ridge
2.521,8.803333333333333,DecisionTreeRegressor
1.474,1.026,DecisionTreeRegressor
1.026,0.9476666666666667,DecisionTreeRegressor
10.0,3.4935,DecisionTreeRegressor
1.923,7.706333333333333,DecisionTreeRegressor
4.615,5.598000000000001,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,0.564,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,6.111,DecisionTreeRegressor
4.615,0.192,DecisionTreeRegressor
1.923,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,0.564,DecisionTreeRegressor
5.962,10.0,DecisionTreeRegressor
3.568,4.914333333333333,DecisionTreeRegressor
1.026,5.598000000000001,DecisionTreeRegressor
10.0,3.2695,DecisionTreeRegressor
5.064,3.718,DecisionTreeRegressor
1.923,1.239,DecisionTreeRegressor
6.41,1.944,DecisionTreeRegressor
2.521,2.9489149396243595,GradientBoostingRegressor
1.474,2.9489149396243595,GradientBoostingRegressor
1.026,2.9988011848618057,GradientBoostingRegressor
10.0,7.302018997089613,GradientBoostingRegressor
1.923,3.205100526268523,GradientBoostingRegressor
4.615,4.325207097872321,GradientBoostingRegressor
6.41,5.893964494306996,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
10.0,6.90376756053415,GradientBoostingRegressor
1.923,3.2780630061243667,GradientBoostingRegressor
4.615,2.9988011848618057,GradientBoostingRegressor
1.923,3.071822828749853,GradientBoostingRegressor
10.0,7.730124571512705,GradientBoostingRegressor
0.128,3.029403964477251,GradientBoostingRegressor
5.962,4.628812412005475,GradientBoostingRegressor
3.568,3.1975739812714754,GradientBoostingRegressor
1.026,3.152252689570541,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.357817636841856,GradientBoostingRegressor
1.923,2.9988011848618057,GradientBoostingRegressor
6.41,6.201021963158322,GradientBoostingRegressor
2.521,3.17836,RandomForestRegressor
1.474,2.4142699999999975,RandomForestRegressor
1.026,2.593985000000001,RandomForestRegressor
10.0,5.2219700000000016,RandomForestRegressor
1.923,4.196440000000003,RandomForestRegressor
4.615,5.562310000000004,RandomForestRegressor
6.41,5.616150000000004,RandomForestRegressor
0.128,2.609219999999999,RandomForestRegressor
10.0,3.513525000000002,RandomForestRegressor
1.923,4.3941000000000034,RandomForestRegressor
4.615,3.3977600000000017,RandomForestRegressor
1.923,4.798400000000003,RandomForestRegressor
10.0,7.0484,RandomForestRegressor
