Actual,Predicted,Model
2.521,-0.8393253063705712,Ridge
1.474,1.6666215605922678,Ridge
1.026,3.9850747567882143,Ridge
10.0,9.352707585986426,Ridge
1.923,5.1296158414704855,Ridge
4.615,4.774020262153507,Ridge
6.41,4.62977504943881,Ridge
0.128,2.955090745481467,Ridge
10.0,6.557870527719724,Ridge
1.923,4.754995696303475,Ridge
4.615,2.1372853849613476,Ridge
1.923,3.7914969104433833,Ridge
10.0,13.561212805542434,Ridge
0.128,1.1661151044413098,Ridge
5.962,8.41318069841607,Ridge
3.568,5.445116525790326,Ridge
1.026,4.727381957394218,Ridge
10.0,11.343284869116214,Ridge
5.064,5.58730295639953,Ridge
1.923,1.4000277883881473,Ridge
6.41,10.307788048264651,Ridge
2.521,1.923,DecisionTreeRegressor
1.474,1.474,DecisionTreeRegressor
1.026,1.923,DecisionTreeRegressor
10.0,3.718,DecisionTreeRegressor
1.923,2.821,DecisionTreeRegressor
4.615,2.222,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
0.128,0.791,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,3.718,DecisionTreeRegressor
4.615,5.064,DecisionTreeRegressor
1.923,6.41,DecisionTreeRegressor
10.0,6.41,DecisionTreeRegressor
0.128,0.791,DecisionTreeRegressor
5.962,5.064,DecisionTreeRegressor
3.568,2.842,DecisionTreeRegressor
1.026,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,4.615,DecisionTreeRegressor
1.923,5.064,DecisionTreeRegressor
6.41,6.409999999999998,DecisionTreeRegressor
2.521,2.925869637446176,GradientBoostingRegressor
1.474,2.925869637446176,GradientBoostingRegressor
1.026,3.0069436348105194,GradientBoostingRegressor
10.0,7.4062271291274575,GradientBoostingRegressor
1.923,3.2048898974627913,GradientBoostingRegressor
4.615,4.285478490484913,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
0.128,3.0025544503741246,GradientBoostingRegressor
10.0,6.780099273498044,GradientBoostingRegressor
1.923,3.277279676972488,GradientBoostingRegressor
4.615,3.0069436348105194,GradientBoostingRegressor
1.923,3.1158887712620835,GradientBoostingRegressor
10.0,7.482228501699279,GradientBoostingRegressor
0.128,3.121123819049669,GradientBoostingRegressor
5.962,4.537485040762932,GradientBoostingRegressor
3.568,3.200594864044539,GradientBoostingRegressor
1.026,3.1560182272481647,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.38835063032322,GradientBoostingRegressor
1.923,3.0069436348105194,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
2.521,3.447459999999999,RandomForestRegressor
1.474,2.3688699999999985,RandomForestRegressor
1.026,2.9196300000000006,RandomForestRegressor
10.0,5.505170000000003,RandomForestRegressor
1.923,4.002860000000002,RandomForestRegressor
4.615,5.630860000000004,RandomForestRegressor
6.41,5.199690000000007,RandomForestRegressor
0.128,2.4462299999999972,RandomForestRegressor
10.0,3.338430000000002,RandomForestRegressor
1.923,4.083250000000003,RandomForestRegressor
4.615,3.855340000000004,RandomForestRegressor
1.923,4.165019999999999,RandomForestRegressor
10.0,7.203950000000001,RandomForestRegressor
0.128,3.375939999999998,RandomForestRegressor
5.962,5.177720000000005,RandomForestRegressor
3.568,5.96853,RandomForestRegressor
1.026,4.839560000000002,RandomForestRegressor
10.0,8.145209999999997,RandomForestRegressor
5.064,4.935650000000003,RandomForestRegressor
1.923,2.63124,RandomForestRegressor
6.41,5.525525000000004,RandomForestRegressor
2.521,1.8487297297297292,AdaBoostRegressor
1.474,1.8487297297297292,AdaBoostRegressor
1.026,1.87375,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,2.404481012658227,AdaBoostRegressor
4.615,4.224325581395346,AdaBoostRegressor
6.41,6.439899999999999,AdaBoostRegressor
0.128,1.7651037735849051,AdaBoostRegressor
10.0,4.224325581395346,AdaBoostRegressor
1.923,2.7442890625000014,AdaBoostRegressor
4.615,1.87375,AdaBoostRegressor
1.923,2.5914504504504507,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.128,1.8487297297297292,AdaBoostRegressor
5.962,5.37162068965517,AdaBoostRegressor
3.568,2.7442890625000014,AdaBoostRegressor
1.026,3.4499705882352947,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,4.706640350877195,AdaBoostRegressor
1.923,1.9117058823529407,AdaBoostRegressor
6.41,6.595676056338025,AdaBoostRegressor
2.521,3.066096777849727,KNeighborsRegressor
1.474,2.6335593565301787,KNeighborsRegressor
1.026,3.112507421480336,KNeighborsRegressor
10.0,6.628705989352293,KNeighborsRegressor
1.923,4.069588334986746,KNeighborsRegressor
4.615,5.855821318875626,KNeighborsRegressor
6.41,6.948291680549079,KNeighborsRegressor
0.128,3.4633326396629225,KNeighborsRegressor
10.0,4.520063438306168,KNeighborsRegressor
1.923,4.702231995314404,KNeighborsRegressor
4.615,5.69167616789837,KNeighborsRegressor
1.923,3.197954512558688,KNeighborsRegressor
10.0,6.510912000704066,KNeighborsRegressor
0.128,2.053876658752506,KNeighborsRegressor
5.962,6.205869499631546,KNeighborsRegressor
3.568,6.463522172191432,KNeighborsRegressor
1.026,2.722812857652544,KNeighborsRegressor
10.0,7.162279770482052,KNeighborsRegressor
5.064,5.320802661813842,KNeighborsRegressor
1.923,1.7504852259696533,KNeighborsRegressor
6.41,5.570022424219208,KNeighborsRegressor
2.521,2.00287934194469,MLPRegressor
1.474,0.6217968259995903,MLPRegressor
1.026,0.906763453655718,MLPRegressor
10.0,7.956339951789905,MLPRegressor
1.923,2.9521700432375257,MLPRegressor
4.615,4.989266149904122,MLPRegressor
6.41,8.6400938380359,MLPRegressor
0.128,0.5037159307518906,MLPRegressor
10.0,10.051467032139879,MLPRegressor
1.923,2.6089179771374016,MLPRegressor
4.615,2.864070937606336,MLPRegressor
1.923,2.3863916056350845,MLPRegressor
10.0,10.05596166069858,MLPRegressor
0.128,1.0452563821568077,MLPRegressor
5.962,5.907130130678234,MLPRegressor
3.568,5.310185339082871,MLPRegressor
1.026,1.604107962058606,MLPRegressor
10.0,9.981448428395439,MLPRegressor
5.064,4.048151212198565,MLPRegressor
1.923,1.5827168527096551,MLPRegressor
6.41,6.727993769419475,MLPRegressor
2.521,3.4995656509219257,ElasticNet
