Actual,Predicted,Model
10.0,9.185191264788187,Ridge
10.0,9.144966487822883,Ridge
10.0,10.013312716388217,Ridge
4.472,4.077334539776981,Ridge
6.711,7.134131946177388,Ridge
3.458,3.3355288934358343,Ridge
4.206,4.906983881938554,Ridge
10.0,10.05836799989907,Ridge
4.931,5.569706420122809,Ridge
3.024,3.4312513550261263,Ridge
4.531,5.149615962357668,Ridge
10.0,8.087605411430657,Ridge
4.104,3.8203844766148025,Ridge
10.0,9.204014821720921,Ridge
2.842,5.373691384329019,Ridge
3.082,4.055751917087448,Ridge
10.0,8.767953691278969,Ridge
3.48,2.2865883888942937,Ridge
3.967,4.594870030046886,Ridge
6.817,5.234712987208623,Ridge
4.472,6.317847474593483,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,6.428666666666667,DecisionTreeRegressor
6.711,4.659,DecisionTreeRegressor
3.458,3.05,DecisionTreeRegressor
4.206,3.729,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.238,DecisionTreeRegressor
3.024,4.945,DecisionTreeRegressor
4.531,3.3555,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,4.001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,2.9875000000000003,DecisionTreeRegressor
3.082,5.958,DecisionTreeRegressor
10.0,6.321,DecisionTreeRegressor
3.48,4.945,DecisionTreeRegressor
3.967,6.325,DecisionTreeRegressor
6.817,10.0,DecisionTreeRegressor
4.472,4.798,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,5.0065937971708205,GradientBoostingRegressor
6.711,6.275883837210221,GradientBoostingRegressor
3.458,4.659582449650333,GradientBoostingRegressor
4.206,5.24250834181042,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,5.206081458363983,GradientBoostingRegressor
3.024,4.5119523647369855,GradientBoostingRegressor
4.531,5.192913388116648,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.9262606181488895,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.965785521484511,GradientBoostingRegressor
3.082,4.7869673845368,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,5.06131663171483,GradientBoostingRegressor
3.967,5.18291709432168,GradientBoostingRegressor
6.817,6.387281421886206,GradientBoostingRegressor
4.472,5.2193439777681165,GradientBoostingRegressor
10.0,9.191944999999999,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.016555000000002,RandomForestRegressor
4.472,3.926510000000001,RandomForestRegressor
6.711,6.015534999999997,RandomForestRegressor
3.458,4.059770000000003,RandomForestRegressor
4.206,4.82515,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,5.176454999999999,RandomForestRegressor
3.024,3.9323049999999995,RandomForestRegressor
4.531,5.165765,RandomForestRegressor
10.0,8.5024,RandomForestRegressor
4.104,4.107795000000001,RandomForestRegressor
10.0,9.7159,RandomForestRegressor
2.842,4.274735,RandomForestRegressor
3.082,5.623615000000001,RandomForestRegressor
10.0,8.17179,RandomForestRegressor
3.48,4.07422,RandomForestRegressor
3.967,4.708045000000003,RandomForestRegressor
6.817,6.259110000000001,RandomForestRegressor
4.472,4.59126,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,4.361000000000001,AdaBoostRegressor
6.711,5.9996399999999985,AdaBoostRegressor
3.458,3.8013283582089543,AdaBoostRegressor
4.206,4.727,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,4.614686746987952,AdaBoostRegressor
3.024,3.5656263736263742,AdaBoostRegressor
4.531,4.626880434782612,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.104,4.361000000000001,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.842,4.322428571428574,AdaBoostRegressor
3.082,3.6012368421052625,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.48,4.374140845070422,AdaBoostRegressor
3.967,4.521792452830189,AdaBoostRegressor
6.817,5.795121951219513,AdaBoostRegressor
4.472,4.509610169491528,AdaBoostRegressor
10.0,6.617488081996359,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,7.8690030640288295,KNeighborsRegressor
4.472,4.499250470324105,KNeighborsRegressor
6.711,7.547979363178144,KNeighborsRegressor
3.458,3.3396545104711577,KNeighborsRegressor
4.206,4.944374178756304,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
4.931,5.674304311761093,KNeighborsRegressor
3.024,3.4233124326781614,KNeighborsRegressor
4.531,4.438084406157704,KNeighborsRegressor
10.0,9.052617127667803,KNeighborsRegressor
4.104,4.508032899718882,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
2.842,4.3800802732688595,KNeighborsRegressor
3.082,3.9689192483270817,KNeighborsRegressor
10.0,9.383573080848437,KNeighborsRegressor
3.48,3.8974955848620287,KNeighborsRegressor
3.967,4.735031402249459,KNeighborsRegressor
6.817,7.423502930813199,KNeighborsRegressor
4.472,4.664451238891454,KNeighborsRegressor
10.0,9.995605720574646,MLPRegressor
10.0,9.9890573000123,MLPRegressor
10.0,9.994687208514074,MLPRegressor
4.472,4.274946413616392,MLPRegressor
6.711,5.572621010656643,MLPRegressor
3.458,3.7170502193969335,MLPRegressor
4.206,4.434671388019878,MLPRegressor
10.0,9.993653834052845,MLPRegressor
4.931,6.624508004763249,MLPRegressor
3.024,3.722427381203294,MLPRegressor
4.531,4.501212432728368,MLPRegressor
10.0,9.974968982902462,MLPRegressor
4.104,3.6297398820070192,MLPRegressor
10.0,9.998867346121147,MLPRegressor
2.842,4.024329303636163,MLPRegressor
3.082,3.3756645021011806,MLPRegressor
10.0,9.978407339087653,MLPRegressor
3.48,2.8502095430668066,MLPRegressor
3.967,4.5364983761561355,MLPRegressor
6.817,7.501598240738528,MLPRegressor
4.472,6.292813274402492,MLPRegressor
10.0,8.431958879071932,ElasticNet
10.0,9.5863934961389,ElasticNet
10.0,7.969110216234787,ElasticNet
4.472,4.435293224298222,ElasticNet
6.711,5.766682409189481,ElasticNet
3.458,3.563118511286959,ElasticNet
4.206,5.611570680927319,ElasticNet
10.0,9.73184650637385,ElasticNet
4.931,6.041724142499325,ElasticNet
3.024,4.276515820820899,ElasticNet
4.531,5.757582976617143,ElasticNet
10.0,7.726680146616388,ElasticNet
4.104,4.604477135563081,ElasticNet
10.0,9.375446885789955,ElasticNet
2.842,4.371453335785207,ElasticNet
3.082,5.252588134253849,ElasticNet
10.0,8.291553617127164,ElasticNet
3.48,3.625976520795565,ElasticNet
3.967,4.751306615997628,ElasticNet
6.817,6.112400840527681,ElasticNet
4.472,4.827791373744312,ElasticNet
10.0,13.501641251111014,SGDRegressor
10.0,10.02294263847277,SGDRegressor
10.0,8.691700852984605,SGDRegressor
4.472,3.4759221527182436,SGDRegressor
6.711,3.782213998506114,SGDRegressor
3.458,4.507803594523579,SGDRegressor
