Actual,Predicted,Model
10.0,9.057612420449086,Ridge
10.0,10.542766642047724,Ridge
10.0,10.112812285500798,Ridge
4.472,4.231046510978782,Ridge
6.711,6.783247839342326,Ridge
3.458,3.8000937117105162,Ridge
4.206,5.069775851521635,Ridge
10.0,10.057759978705317,Ridge
4.931,5.698783756094253,Ridge
3.024,1.88410301443058,Ridge
4.531,4.959382138005378,Ridge
10.0,8.974941379350552,Ridge
4.104,4.512865085895731,Ridge
10.0,9.349851326775484,Ridge
2.842,4.115852651063879,Ridge
3.082,2.14783023526655,Ridge
10.0,10.736768498164864,Ridge
3.48,2.6679595553867297,Ridge
3.967,4.047610549350398,Ridge
6.817,5.700368396111361,Ridge
4.472,3.841004959336546,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,3.466,DecisionTreeRegressor
6.711,4.695,DecisionTreeRegressor
3.458,4.727,DecisionTreeRegressor
4.206,3.491,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.067,DecisionTreeRegressor
3.024,3.05,DecisionTreeRegressor
4.531,4.135,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,5.718,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,3.616,DecisionTreeRegressor
3.082,5.894,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,3.374,DecisionTreeRegressor
3.967,3.559,DecisionTreeRegressor
6.817,3.841,DecisionTreeRegressor
4.472,4.173,DecisionTreeRegressor
10.0,8.661760583477363,GradientBoostingRegressor
10.0,8.661760583477363,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.663660931806554,GradientBoostingRegressor
6.711,6.24283260787671,GradientBoostingRegressor
3.458,5.079971956559626,GradientBoostingRegressor
4.206,4.942439498510307,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.993098523894605,GradientBoostingRegressor
3.024,4.502107200310049,GradientBoostingRegressor
4.531,4.952599597547547,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.694225240750493,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.622741140589668,GradientBoostingRegressor
3.082,4.555642596863722,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.5999654362156415,GradientBoostingRegressor
3.967,4.93998399221076,GradientBoostingRegressor
6.817,6.24283260787671,GradientBoostingRegressor
4.472,4.93998399221076,GradientBoostingRegressor
10.0,8.503540000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,8.796619999999999,RandomForestRegressor
4.472,4.00659,RandomForestRegressor
6.711,5.428280000000001,RandomForestRegressor
3.458,4.0106,RandomForestRegressor
4.206,4.63334,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.43855,RandomForestRegressor
3.024,3.70164,RandomForestRegressor
4.531,5.280999999999999,RandomForestRegressor
10.0,9.02744,RandomForestRegressor
4.104,4.01035,RandomForestRegressor
10.0,9.65838,RandomForestRegressor
2.842,3.9953999999999996,RandomForestRegressor
3.082,5.983619999999999,RandomForestRegressor
10.0,8.30748,RandomForestRegressor
3.48,3.5170500000000002,RandomForestRegressor
3.967,4.561999999999999,RandomForestRegressor
6.817,6.09264,RandomForestRegressor
4.472,4.63113,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
