Actual,Predicted,Model
10.0,9.529936783372218,Ridge
10.0,10.23032594771379,Ridge
10.0,9.881118768268399,Ridge
4.472,4.8071773554113335,Ridge
6.711,5.9518957470571525,Ridge
3.458,3.535606929577025,Ridge
4.206,5.3420177108128835,Ridge
10.0,9.785984038505829,Ridge
4.931,4.792569080467956,Ridge
3.024,2.2761996537657234,Ridge
4.531,5.479820960938097,Ridge
10.0,8.047874524912624,Ridge
4.104,4.424849129110792,Ridge
10.0,9.152362474637563,Ridge
2.842,5.222507056310006,Ridge
3.082,3.2391316128374164,Ridge
10.0,9.727697990027368,Ridge
3.48,2.883845901636583,Ridge
3.967,4.870602547255039,Ridge
6.817,5.963604338362591,Ridge
4.472,5.272748766811491,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,4.915666666666667,DecisionTreeRegressor
4.472,3.746,DecisionTreeRegressor
6.711,4.517666666666667,DecisionTreeRegressor
3.458,2.9803333333333337,DecisionTreeRegressor
4.206,6.203333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.07125,DecisionTreeRegressor
3.024,3.42625,DecisionTreeRegressor
4.531,6.309249999999999,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,3.701,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,6.023,DecisionTreeRegressor
3.082,2.635666666666667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,3.701,DecisionTreeRegressor
3.967,5.5025,DecisionTreeRegressor
6.817,7.0440000000000005,DecisionTreeRegressor
4.472,6.349,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,5.036626555079265,GradientBoostingRegressor
6.711,6.265953933720751,GradientBoostingRegressor
3.458,4.65391794513716,GradientBoostingRegressor
4.206,5.167563786732078,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,5.37249019672924,GradientBoostingRegressor
3.024,4.4844337383625,GradientBoostingRegressor
4.531,5.167563786732078,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.900655050666758,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.972156973244365,GradientBoostingRegressor
3.082,4.702162150156215,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,5.039765227353385,GradientBoostingRegressor
3.967,5.145649966780912,GradientBoostingRegressor
6.817,6.41641420121921,GradientBoostingRegressor
4.472,5.145649966780912,GradientBoostingRegressor
10.0,8.95373,RandomForestRegressor
10.0,9.96776,RandomForestRegressor
10.0,9.11326,RandomForestRegressor
4.472,4.1893400000000005,RandomForestRegressor
6.711,5.92229,RandomForestRegressor
3.458,3.9658149999999996,RandomForestRegressor
4.206,4.796875,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,5.241895000000002,RandomForestRegressor
3.024,3.8516200000000005,RandomForestRegressor
4.531,4.996420000000001,RandomForestRegressor
10.0,9.039105,RandomForestRegressor
4.104,4.127744999999999,RandomForestRegressor
10.0,9.70793,RandomForestRegressor
2.842,4.057775000000001,RandomForestRegressor
3.082,6.021769999999999,RandomForestRegressor
10.0,8.235565,RandomForestRegressor
3.48,3.952990000000001,RandomForestRegressor
3.967,4.758855000000002,RandomForestRegressor
6.817,6.0611700000000015,RandomForestRegressor
4.472,4.283545000000001,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,4.266695121951218,AdaBoostRegressor
6.711,5.757444444444443,AdaBoostRegressor
3.458,3.5016373626373634,AdaBoostRegressor
4.206,5.390131578947369,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,4.863937500000003,AdaBoostRegressor
3.024,3.326903846153847,AdaBoostRegressor
4.531,4.7424057971014495,AdaBoostRegressor
