Actual,Predicted,Model
10.0,9.468805207924028,Ridge
10.0,9.671499171651464,Ridge
10.0,10.07603073168459,Ridge
4.472,4.747976826666673,Ridge
6.711,6.396776263452605,Ridge
3.458,3.3791657376625874,Ridge
4.206,4.805145532361157,Ridge
10.0,10.253430005310628,Ridge
4.931,5.7233435043750704,Ridge
3.024,2.8891802779073914,Ridge
4.531,5.316646729258196,Ridge
10.0,8.315704159447872,Ridge
4.104,3.7615111571910314,Ridge
10.0,9.474446011968384,Ridge
2.842,5.722937733177977,Ridge
3.082,4.4459192413407695,Ridge
10.0,9.629170453607903,Ridge
3.48,2.83744613388689,Ridge
3.967,4.727341326684929,Ridge
6.817,5.637461832222552,Ridge
4.472,5.583133802137718,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,4.313000000000001,DecisionTreeRegressor
6.711,6.797,DecisionTreeRegressor
3.458,4.798,DecisionTreeRegressor
4.206,4.162333333333334,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.7443333333333335,DecisionTreeRegressor
3.024,3.323,DecisionTreeRegressor
4.531,4.338666666666666,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,3.967,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,4.9030000000000005,DecisionTreeRegressor
3.082,3.148,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,4.161,DecisionTreeRegressor
3.967,5.288,DecisionTreeRegressor
6.817,8.832,DecisionTreeRegressor
4.472,3.782,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,5.044130495025149,GradientBoostingRegressor
6.711,6.225354694835082,GradientBoostingRegressor
3.458,4.670051007487048,GradientBoostingRegressor
4.206,5.173697124966395,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,5.283658393315604,GradientBoostingRegressor
3.024,4.480662366236504,GradientBoostingRegressor
4.531,5.173697124966395,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.904629838760829,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.973597671235328,GradientBoostingRegressor
3.082,4.749154436805443,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,5.0631837978726475,GradientBoostingRegressor
3.967,5.1565944129156485,GradientBoostingRegressor
6.817,6.431565523137427,GradientBoostingRegressor
4.472,5.1565944129156485,GradientBoostingRegressor
10.0,8.71149,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,8.920090000000002,RandomForestRegressor
4.472,4.143350000000001,RandomForestRegressor
6.711,6.100310000000003,RandomForestRegressor
3.458,3.93778,RandomForestRegressor
4.206,4.847190000000001,RandomForestRegressor
10.0,9.98832,RandomForestRegressor
4.931,4.945690000000002,RandomForestRegressor
3.024,3.726269999999999,RandomForestRegressor
4.531,5.255050000000001,RandomForestRegressor
10.0,8.66857,RandomForestRegressor
4.104,4.172720000000002,RandomForestRegressor
10.0,9.94088,RandomForestRegressor
2.842,3.91867,RandomForestRegressor
3.082,5.483900000000002,RandomForestRegressor
10.0,8.27669,RandomForestRegressor
3.48,3.988310000000002,RandomForestRegressor
3.967,4.490710000000001,RandomForestRegressor
6.817,6.180100000000003,RandomForestRegressor
4.472,4.6459800000000016,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,4.2937605633802844,AdaBoostRegressor
6.711,5.864692307692307,AdaBoostRegressor
3.458,3.5245800000000003,AdaBoostRegressor
4.206,4.492999999999999,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,4.470426229508197,AdaBoostRegressor
3.024,3.472187499999999,AdaBoostRegressor
4.531,4.478493333333332,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.104,4.280612903225807,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.842,4.320609756097562,AdaBoostRegressor
3.082,3.5167560975609753,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.48,4.391781818181819,AdaBoostRegressor
3.967,4.534885714285716,AdaBoostRegressor
6.817,5.773571428571428,AdaBoostRegressor
4.472,4.478493333333332,AdaBoostRegressor
10.0,6.628046733480258,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,6.427790401999559,KNeighborsRegressor
4.472,4.50344480878637,KNeighborsRegressor
6.711,6.622950401939215,KNeighborsRegressor
3.458,3.3381326723119837,KNeighborsRegressor
4.206,5.207406901894568,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.931,5.68838594222316,KNeighborsRegressor
3.024,3.3997078913332843,KNeighborsRegressor
4.531,5.517569742153909,KNeighborsRegressor
10.0,9.049458898293885,KNeighborsRegressor
4.104,4.627763923769156,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
2.842,3.704188041842605,KNeighborsRegressor
3.082,4.142303858879197,KNeighborsRegressor
10.0,9.191675499671312,KNeighborsRegressor
3.48,3.888458861777883,KNeighborsRegressor
3.967,4.749116306301356,KNeighborsRegressor
6.817,7.195555484719964,KNeighborsRegressor
4.472,4.651855056066344,KNeighborsRegressor
10.0,9.03331178257329,MLPRegressor
10.0,10.317027678623367,MLPRegressor
10.0,9.831563254801448,MLPRegressor
4.472,4.857116156353037,MLPRegressor
6.711,7.596873303401372,MLPRegressor
3.458,1.2875091861612398,MLPRegressor
4.206,6.788753932967656,MLPRegressor
10.0,9.870526015576097,MLPRegressor
4.931,6.789968646794428,MLPRegressor
3.024,4.221944399746404,MLPRegressor
4.531,5.614212048210686,MLPRegressor
10.0,8.196529865967696,MLPRegressor
4.104,3.2999201644980136,MLPRegressor
10.0,9.574496100674917,MLPRegressor
2.842,5.0490642484890795,MLPRegressor
3.082,5.105479474024497,MLPRegressor
10.0,8.540399861574846,MLPRegressor
3.48,3.95641155963747,MLPRegressor
3.967,5.271973642614234,MLPRegressor
6.817,7.785703424754715,MLPRegressor
4.472,4.606647521039971,MLPRegressor
10.0,8.44023064833126,ElasticNet
10.0,9.585603017761954,ElasticNet
10.0,7.965914173468588,ElasticNet
4.472,4.43332113472133,ElasticNet
6.711,5.765930015906349,ElasticNet
3.458,3.558961332557952,ElasticNet
4.206,5.610976802005337,ElasticNet
10.0,9.725290505445805,ElasticNet
4.931,6.072013951921484,ElasticNet
3.024,4.2728510429813,ElasticNet
4.531,5.754413323332194,ElasticNet
10.0,7.725776889407556,ElasticNet
4.104,4.604951195066901,ElasticNet
10.0,9.37196294960363,ElasticNet
2.842,4.370649241757677,ElasticNet
3.082,5.242796671862934,ElasticNet
10.0,8.28829175235649,ElasticNet
3.48,3.6243129389660784,ElasticNet
3.967,4.759344235109343,ElasticNet
6.817,6.110002066634705,ElasticNet
4.472,4.828719999178136,ElasticNet
10.0,10.333685926044666,SGDRegressor
10.0,10.443371000090103,SGDRegressor
10.0,8.589317789132142,SGDRegressor
4.472,5.417103716924719,SGDRegressor
6.711,2.4678359501508083,SGDRegressor
3.458,-0.11050993139890242,SGDRegressor
4.206,5.0975986844270755,SGDRegressor
10.0,10.152265198770404,SGDRegressor
4.931,8.504801662583723,SGDRegressor
3.024,1.8806142576196017,SGDRegressor
4.531,4.418529975139701,SGDRegressor
10.0,9.194169183020616,SGDRegressor
4.104,1.1016600094557782,SGDRegressor
10.0,10.653623617600285,SGDRegressor
2.842,9.70690191721887,SGDRegressor
3.082,2.033376174451126,SGDRegressor
10.0,10.747665413145814,SGDRegressor
3.48,2.5319385539098653,SGDRegressor
3.967,5.043047530298614,SGDRegressor
6.817,6.305208540761695,SGDRegressor
4.472,1.7425385730304912,SGDRegressor
10.0,8.995684892476977,BayesianRidge
10.0,9.986020631358016,BayesianRidge
10.0,9.451303442777682,BayesianRidge
4.472,4.060782205108774,BayesianRidge
6.711,6.274398662382798,BayesianRidge
3.458,2.622262236142094,BayesianRidge
4.206,5.2718920519682015,BayesianRidge
10.0,9.9475487755245,BayesianRidge
4.931,5.638920111472494,BayesianRidge
3.024,3.522693908122476,BayesianRidge
4.531,5.682277541304986,BayesianRidge
10.0,8.011343350101463,BayesianRidge
4.104,3.9038356304155224,BayesianRidge
10.0,9.518895294264695,BayesianRidge
2.842,3.976503941917108,BayesianRidge
3.082,4.613194029515501,BayesianRidge
10.0,9.333288964778934,BayesianRidge
3.48,2.6068782211314483,BayesianRidge
3.967,4.8639909542022455,BayesianRidge
6.817,6.49556487236469,BayesianRidge
4.472,5.730851187919537,BayesianRidge
10.0,6.604587460667764,KernelRidge
10.0,10.716824146427722,KernelRidge
10.0,8.348151328795675,KernelRidge
4.472,3.4726989256826957,KernelRidge
6.711,6.609025624069342,KernelRidge
3.458,2.908668076530118,KernelRidge
4.206,6.1881307983655525,KernelRidge
10.0,10.359456958173904,KernelRidge
4.931,3.068783361358923,KernelRidge
3.024,3.261324561496817,KernelRidge
4.531,5.1474561944899,KernelRidge
10.0,7.592993781395677,KernelRidge
4.104,4.353229634170875,KernelRidge
10.0,9.416804965616667,KernelRidge
2.842,2.236593235016683,KernelRidge
3.082,2.175656705502189,KernelRidge
10.0,6.048953682407552,KernelRidge
3.48,3.2441535308817846,KernelRidge
3.967,4.619372981004844,KernelRidge
6.817,6.417934332629927,KernelRidge
4.472,4.507398393713293,KernelRidge
10.0,10.482768631264886,LinearRegression
10.0,10.072939069209475,LinearRegression
10.0,9.167741771281433,LinearRegression
4.472,4.114960275776682,LinearRegression
6.711,6.071162948746821,LinearRegression
3.458,3.2145501584309693,LinearRegression
4.206,5.717062390712361,LinearRegression
10.0,10.15910280794702,LinearRegression
4.931,5.3357921029558835,LinearRegression
3.024,2.2159810348391584,LinearRegression
4.531,5.948565571864458,LinearRegression
10.0,7.613197494452217,LinearRegression
4.104,4.4148545987597005,LinearRegression
10.0,9.32395181046898,LinearRegression
2.842,4.8327061752004346,LinearRegression
3.082,4.796385696486117,LinearRegression
10.0,10.302719026938982,LinearRegression
3.48,2.1286137448641833,LinearRegression
3.967,4.281914430642112,LinearRegression
6.817,6.099365285454791,LinearRegression
4.472,5.386284618447542,LinearRegression
10.0,4.81755449548256,RANSACRegressor
10.0,9.933414362277732,RANSACRegressor
10.0,8.174702404046783,RANSACRegressor
4.472,5.929512509987909,RANSACRegressor
6.711,7.513246519517779,RANSACRegressor
3.458,3.52107580789892,RANSACRegressor
4.206,7.887526674221352,RANSACRegressor
10.0,9.731233688845359,RANSACRegressor
4.931,7.444544274107071,RANSACRegressor
3.024,4.898288281968121,RANSACRegressor
4.531,5.317734928505803,RANSACRegressor
10.0,8.107736320301086,RANSACRegressor
4.104,4.473570303231672,RANSACRegressor
10.0,9.583359585065839,RANSACRegressor
2.842,4.795582461010947,RANSACRegressor
3.082,4.184270878345458,RANSACRegressor
10.0,8.212134219822197,RANSACRegressor
3.48,2.55968964971766,RANSACRegressor
3.967,4.974190907215412,RANSACRegressor
6.817,7.579543184571035,RANSACRegressor
4.472,6.599520086395726,RANSACRegressor
10.0,7.194674235238862,TheilSenRegressor
10.0,8.545088283009044,TheilSenRegressor
10.0,10.619775100418384,TheilSenRegressor
4.472,4.409890681464892,TheilSenRegressor
6.711,7.712300562001501,TheilSenRegressor
3.458,2.396023514809566,TheilSenRegressor
4.206,5.14718349046265,TheilSenRegressor
10.0,10.415579607352049,TheilSenRegressor
4.931,4.195158557957534,TheilSenRegressor
3.024,3.0073394545437493,TheilSenRegressor
4.531,4.1322464839120965,TheilSenRegressor
10.0,8.942677448438936,TheilSenRegressor
4.104,3.7476194483153105,TheilSenRegressor
10.0,10.246544400020696,TheilSenRegressor
2.842,5.932766020629385,TheilSenRegressor
3.082,6.6239205401487045,TheilSenRegressor
10.0,10.53010547490083,TheilSenRegressor
3.48,3.2019943123625905,TheilSenRegressor
3.967,5.878798257834162,TheilSenRegressor
6.817,7.207449764326228,TheilSenRegressor
4.472,4.15137227770692,TheilSenRegressor
10.0,9.732327461242676,TensorFlow
10.0,10.420485496520996,TensorFlow
10.0,6.430822372436523,TensorFlow
4.472,4.130768775939941,TensorFlow
6.711,5.174282073974609,TensorFlow
3.458,3.475372314453125,TensorFlow
4.206,4.469813346862793,TensorFlow
10.0,11.028128623962402,TensorFlow
4.931,8.294951438903809,TensorFlow
3.024,4.082603931427002,TensorFlow
4.531,4.616943359375,TensorFlow
10.0,6.834138870239258,TensorFlow
4.104,3.3620193004608154,TensorFlow
10.0,9.7001314163208,TensorFlow
2.842,3.702972412109375,TensorFlow
3.082,6.929959297180176,TensorFlow
10.0,6.942190170288086,TensorFlow
3.48,2.422398090362549,TensorFlow
3.967,3.3938565254211426,TensorFlow
6.817,5.031741142272949,TensorFlow
4.472,5.833089828491211,TensorFlow
