Actual,Predicted,Model
10.0,9.550908530744746,Ridge
10.0,10.062160968807957,Ridge
10.0,10.223787331389412,Ridge
4.472,4.805389469384569,Ridge
6.711,6.088874051330667,Ridge
3.458,2.9760767050194725,Ridge
4.206,5.122852653757081,Ridge
10.0,9.929831485888549,Ridge
4.931,5.1053586526523445,Ridge
3.024,2.6865689285243572,Ridge
4.531,5.595602830867391,Ridge
10.0,7.690171722369938,Ridge
4.104,4.134455995635854,Ridge
10.0,9.381912721753448,Ridge
2.842,5.212056723214685,Ridge
3.082,3.5871643263139297,Ridge
10.0,9.65984909956078,Ridge
3.48,2.6743160461708193,Ridge
3.967,4.607365940228229,Ridge
6.817,5.7887415808263185,Ridge
4.472,5.467206659387629,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,4.9365000000000006,DecisionTreeRegressor
6.711,6.493,DecisionTreeRegressor
3.458,4.225,DecisionTreeRegressor
4.206,8.832,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.184,DecisionTreeRegressor
3.024,3.967,DecisionTreeRegressor
4.531,5.177,DecisionTreeRegressor
10.0,3.23,DecisionTreeRegressor
4.104,4.067,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,10.0,DecisionTreeRegressor
3.082,4.4275,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,4.9365000000000006,DecisionTreeRegressor
3.967,3.945,DecisionTreeRegressor
6.817,6.493,DecisionTreeRegressor
4.472,2.812,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.834880507451147,GradientBoostingRegressor
6.711,6.301920221395205,GradientBoostingRegressor
3.458,4.659134618199191,GradientBoostingRegressor
4.206,5.1271368934172195,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,5.082578472061548,GradientBoostingRegressor
3.024,4.568399565644244,GradientBoostingRegressor
4.531,5.019623270618714,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.8171883746366975,GradientBoostingRegressor
