Actual,Predicted,Model
10.0,9.399856254011958,Ridge
10.0,9.93785058229174,Ridge
10.0,10.13605367127091,Ridge
4.472,4.501350423676574,Ridge
6.711,6.022489867488373,Ridge
3.458,3.1661218988581985,Ridge
4.206,4.924298466370246,Ridge
10.0,10.072079923961326,Ridge
4.931,5.214971003772737,Ridge
3.024,2.7338073257436917,Ridge
4.531,5.2265027343500305,Ridge
10.0,8.139092985054893,Ridge
4.104,3.8510498287105372,Ridge
10.0,9.3454058534003,Ridge
2.842,5.109551307132633,Ridge
3.082,4.416557907759605,Ridge
10.0,9.801527474516131,Ridge
3.48,2.6867304994436747,Ridge
3.967,4.869924237615132,Ridge
6.817,5.4437549308868345,Ridge
4.472,5.548856318008863,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,3.841,DecisionTreeRegressor
6.711,5.095000000000001,DecisionTreeRegressor
3.458,4.283,DecisionTreeRegressor
4.206,3.776,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.407500000000001,DecisionTreeRegressor
3.024,2.434,DecisionTreeRegressor
4.531,4.2965,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,7.0015,DecisionTreeRegressor
3.082,2.478,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,3.65,DecisionTreeRegressor
3.967,5.077500000000001,DecisionTreeRegressor
6.817,3.945,DecisionTreeRegressor
4.472,3.8585000000000003,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,5.043421984536973,GradientBoostingRegressor
6.711,6.187088626757681,GradientBoostingRegressor
3.458,4.649446970670088,GradientBoostingRegressor
4.206,5.166802312592795,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,5.166802312592795,GradientBoostingRegressor
3.024,4.481280018899203,GradientBoostingRegressor
4.531,5.166802312592795,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.909366031004267,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.965863660560772,GradientBoostingRegressor
3.082,4.750256346367061,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,5.042367792990231,GradientBoostingRegressor
3.967,5.135858743937029,GradientBoostingRegressor
6.817,6.415557385486967,GradientBoostingRegressor
4.472,5.135858743937029,GradientBoostingRegressor
