Actual,Predicted,Model
10.0,9.35520830650653,Ridge
10.0,10.179026056893395,Ridge
10.0,10.103799155854754,Ridge
4.472,4.330233724778134,Ridge
6.711,5.639425036022462,Ridge
3.458,2.9810594524500957,Ridge
4.206,5.151495550267351,Ridge
10.0,9.960445586481516,Ridge
4.931,5.650809824742738,Ridge
3.024,2.0592787335764102,Ridge
4.531,5.530827436816255,Ridge
10.0,8.198323326683383,Ridge
4.104,4.084775637612393,Ridge
10.0,9.602110307371815,Ridge
2.842,5.2500768778449824,Ridge
3.082,3.4707154704893197,Ridge
10.0,9.850801215638457,Ridge
3.48,2.846689736510858,Ridge
3.967,4.326982807695833,Ridge
6.817,5.716356805926963,Ridge
4.472,4.173973270445106,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,4.163,DecisionTreeRegressor
6.711,4.333,DecisionTreeRegressor
3.458,4.798,DecisionTreeRegressor
4.206,3.178,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.373,DecisionTreeRegressor
3.024,2.9695,DecisionTreeRegressor
4.531,5.101666666666667,DecisionTreeRegressor
10.0,6.683333333333334,DecisionTreeRegressor
4.104,4.781,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,4.2940000000000005,DecisionTreeRegressor
3.082,3.178,DecisionTreeRegressor
10.0,8.925333333333333,DecisionTreeRegressor
3.48,3.178,DecisionTreeRegressor
3.967,2.9965,DecisionTreeRegressor
6.817,5.795333333333333,DecisionTreeRegressor
4.472,5.448,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.847450833915733,GradientBoostingRegressor
6.711,6.217322105233899,GradientBoostingRegressor
3.458,5.018660781288069,GradientBoostingRegressor
4.206,4.919622086524142,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.996660079993131,GradientBoostingRegressor
3.024,4.360868785842904,GradientBoostingRegressor
4.531,4.930238849386999,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.85806759677859,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.797283066899002,GradientBoostingRegressor
3.082,4.399608466097537,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.8087111536611,GradientBoostingRegressor
3.967,4.919622086524142,GradientBoostingRegressor
6.817,6.274097568153304,GradientBoostingRegressor
4.472,4.919622086524142,GradientBoostingRegressor
10.0,8.78888,RandomForestRegressor
10.0,9.91916,RandomForestRegressor
10.0,9.22439,RandomForestRegressor
4.472,3.9943899999999997,RandomForestRegressor
6.711,5.645590000000001,RandomForestRegressor
3.458,3.8029899999999994,RandomForestRegressor
4.206,4.707160000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.7357000000000005,RandomForestRegressor
3.024,3.6845800000000004,RandomForestRegressor
4.531,5.257349999999999,RandomForestRegressor
10.0,8.7662,RandomForestRegressor
4.104,4.00652,RandomForestRegressor
10.0,9.9285,RandomForestRegressor
2.842,3.89969,RandomForestRegressor
3.082,5.46415,RandomForestRegressor
10.0,8.813440000000002,RandomForestRegressor
3.48,4.2612700000000014,RandomForestRegressor
3.967,4.587199999999999,RandomForestRegressor
6.817,6.57687,RandomForestRegressor
4.472,4.63295,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,3.9777391304347827,AdaBoostRegressor
6.711,5.758294117647059,AdaBoostRegressor
3.458,3.755675675675676,AdaBoostRegressor
4.206,4.697948275862068,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,4.498566666666667,AdaBoostRegressor
3.024,3.3263626373626387,AdaBoostRegressor
4.531,4.767426666666668,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.104,4.3199876543209905,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.842,3.8186399999999994,AdaBoostRegressor
3.082,3.755675675675676,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.48,3.9777391304347827,AdaBoostRegressor
3.967,4.274555555555555,AdaBoostRegressor
6.817,5.643295081967211,AdaBoostRegressor
4.472,4.27562068965517,AdaBoostRegressor
10.0,6.616312449281617,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,7.461212639698979,KNeighborsRegressor
4.472,4.506160767592773,KNeighborsRegressor
6.711,7.077382947573664,KNeighborsRegressor
3.458,3.566286437110038,KNeighborsRegressor
4.206,5.331546954452397,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.931,5.675153335594743,KNeighborsRegressor
3.024,3.435098052964002,KNeighborsRegressor
4.531,4.353480106186104,KNeighborsRegressor
10.0,9.072660018709666,KNeighborsRegressor
4.104,4.612292203595098,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
2.842,4.34390815711644,KNeighborsRegressor
3.082,3.967029581445068,KNeighborsRegressor
10.0,9.363620675944663,KNeighborsRegressor
3.48,3.8972863177208326,KNeighborsRegressor
3.967,4.87666382062491,KNeighborsRegressor
6.817,7.469835260156014,KNeighborsRegressor
4.472,4.5463644630793425,KNeighborsRegressor
10.0,10.110655327792934,MLPRegressor
10.0,9.999247534765912,MLPRegressor
10.0,10.020898736561007,MLPRegressor
4.472,4.630660502840291,MLPRegressor
6.711,6.140191635603711,MLPRegressor
3.458,2.989537220186843,MLPRegressor
4.206,3.238534689191685,MLPRegressor
10.0,10.005815141676198,MLPRegressor
4.931,8.200174260356954,MLPRegressor
3.024,3.3463673020009517,MLPRegressor
4.531,6.0004120801779885,MLPRegressor
10.0,9.864671427470117,MLPRegressor
4.104,3.732284291082309,MLPRegressor
10.0,9.998460143546017,MLPRegressor
2.842,3.9835242833487077,MLPRegressor
3.082,3.404720370198024,MLPRegressor
10.0,9.987309868431057,MLPRegressor
3.48,2.917696910932253,MLPRegressor
3.967,4.723909506529238,MLPRegressor
6.817,6.533553247014972,MLPRegressor
4.472,9.497183987358907,MLPRegressor
10.0,8.403748397252592,ElasticNet
10.0,9.56161133676997,ElasticNet
10.0,7.94325443801013,ElasticNet
4.472,4.417605003527494,ElasticNet
6.711,5.761363704377954,ElasticNet
3.458,3.5791800355593195,ElasticNet
4.206,5.605855653623641,ElasticNet
10.0,9.702212744895656,ElasticNet
4.931,6.132277699268878,ElasticNet
3.024,4.294866698716963,ElasticNet
4.531,5.74031980494482,ElasticNet
10.0,7.7438882568015375,ElasticNet
4.104,4.593260707408778,ElasticNet
10.0,9.411581883262224,ElasticNet
2.842,4.365937796538552,ElasticNet
3.082,5.239673848104368,ElasticNet
10.0,8.313444035847949,ElasticNet
3.48,3.5536583267585935,ElasticNet
3.967,4.772901423979642,ElasticNet
6.817,6.091135529490371,ElasticNet
4.472,4.841294958283824,ElasticNet
10.0,5.291872733706016,SGDRegressor
10.0,6.524718451324225,SGDRegressor
10.0,4.641173658757313,SGDRegressor
4.472,3.0708728848174784,SGDRegressor
6.711,4.667945321084612,SGDRegressor
3.458,2.3259283736728804,SGDRegressor
4.206,4.619029641715618,SGDRegressor
10.0,6.617102361360024,SGDRegressor
4.931,5.643510136340671,SGDRegressor
3.024,2.7373806558179243,SGDRegressor
4.531,4.012747163757161,SGDRegressor
10.0,3.548732814274666,SGDRegressor
4.104,3.285100427905007,SGDRegressor
10.0,6.530050324420616,SGDRegressor
2.842,2.61194536819165,SGDRegressor
3.082,3.915116055992974,SGDRegressor
10.0,4.262267615502993,SGDRegressor
3.48,2.253364027043154,SGDRegressor
3.967,4.126103562768073,SGDRegressor
6.817,5.285903179473434,SGDRegressor
4.472,3.5376682217638056,SGDRegressor
10.0,8.98536052376871,BayesianRidge
10.0,10.028102759141879,BayesianRidge
10.0,9.36732045614,BayesianRidge
4.472,3.947915050631623,BayesianRidge
6.711,5.735991148126135,BayesianRidge
3.458,2.5588238108143084,BayesianRidge
4.206,5.134306289878489,BayesianRidge
10.0,9.847384180411069,BayesianRidge
4.931,5.896931790578989,BayesianRidge
3.024,3.3905783815127877,BayesianRidge
4.531,5.6408069503329825,BayesianRidge
10.0,7.96888917303957,BayesianRidge
4.104,3.854165839239252,BayesianRidge
10.0,9.513148343976555,BayesianRidge
2.842,3.971236792172621,BayesianRidge
3.082,4.656699727934824,BayesianRidge
10.0,9.352283834190828,BayesianRidge
3.48,2.447507729294314,BayesianRidge
3.967,4.964188391029236,BayesianRidge
6.817,6.319032151593162,BayesianRidge
4.472,5.590494944686639,BayesianRidge
10.0,9.31652029246023,KernelRidge
10.0,9.41784071372847,KernelRidge
10.0,8.930403643942753,KernelRidge
4.472,4.196261054551078,KernelRidge
6.711,5.270691475258631,KernelRidge
3.458,2.194288336998496,KernelRidge
4.206,4.503688654299015,KernelRidge
10.0,8.28397489704858,KernelRidge
4.931,7.4139683292361385,KernelRidge
3.024,2.7366625320183875,KernelRidge
4.531,7.08624168109153,KernelRidge
10.0,7.109872432170952,KernelRidge
4.104,4.541448650795816,KernelRidge
10.0,8.360532718027322,KernelRidge
2.842,2.388881090148409,KernelRidge
3.082,3.688794690028949,KernelRidge
10.0,9.692591013847126,KernelRidge
3.48,2.4626079462914294,KernelRidge
3.967,4.895635688596167,KernelRidge
6.817,7.162910187065578,KernelRidge
4.472,4.03086974681702,KernelRidge
10.0,10.710272749993024,LinearRegression
10.0,10.143894996101109,LinearRegression
10.0,9.07003791689885,LinearRegression
4.472,4.028129457633359,LinearRegression
6.711,5.954074742458213,LinearRegression
3.458,3.106539341195037,LinearRegression
4.206,5.448586573456998,LinearRegression
10.0,10.199306370883466,LinearRegression
4.931,5.425846178306275,LinearRegression
3.024,2.314636287519054,LinearRegression
4.531,5.815370001214485,LinearRegression
10.0,7.436997186447399,LinearRegression
4.104,4.32381978658996,LinearRegression
10.0,9.310224550309144,LinearRegression
2.842,4.999618442709478,LinearRegression
3.082,4.3755148386494165,LinearRegression
10.0,10.125553143206295,LinearRegression
3.48,2.1078311989100644,LinearRegression
3.967,4.324931122442916,LinearRegression
6.817,5.710143355063047,LinearRegression
4.472,5.3244882098858115,LinearRegression
10.0,7.553445487120028,RANSACRegressor
10.0,11.014155736465835,RANSACRegressor
10.0,9.863371037745308,RANSACRegressor
4.472,4.5092809310892905,RANSACRegressor
6.711,5.273341940224094,RANSACRegressor
3.458,3.111600737320206,RANSACRegressor
4.206,7.00770825119766,RANSACRegressor
10.0,10.640176880612614,RANSACRegressor
4.931,7.639978492713009,RANSACRegressor
3.024,5.320991407477644,RANSACRegressor
4.531,5.418386599325485,RANSACRegressor
10.0,8.249734059885371,RANSACRegressor
4.104,3.9338435093015676,RANSACRegressor
10.0,10.865294322763278,RANSACRegressor
2.842,4.6283196966184335,RANSACRegressor
3.082,4.4059665243743344,RANSACRegressor
10.0,9.801819434719103,RANSACRegressor
3.48,2.7948691532568026,RANSACRegressor
3.967,5.391517881022601,RANSACRegressor
6.817,7.411952681149169,RANSACRegressor
4.472,5.0329274406714575,RANSACRegressor
10.0,10.557511270547439,TheilSenRegressor
10.0,10.268212345520535,TheilSenRegressor
10.0,10.2267918077711,TheilSenRegressor
4.472,3.999751150278053,TheilSenRegressor
6.711,5.954386938913458,TheilSenRegressor
3.458,2.538399291736731,TheilSenRegressor
4.206,5.080542327838082,TheilSenRegressor
10.0,9.702439802173377,TheilSenRegressor
4.931,3.726231863116775,TheilSenRegressor
3.024,1.898969145627027,TheilSenRegressor
4.531,5.615616177294926,TheilSenRegressor
10.0,8.210938555044194,TheilSenRegressor
4.104,3.833609148295641,TheilSenRegressor
10.0,9.305775840662605,TheilSenRegressor
2.842,4.837676292834252,TheilSenRegressor
3.082,8.364249823658616,TheilSenRegressor
10.0,10.817269661456162,TheilSenRegressor
3.48,2.677893054388301,TheilSenRegressor
3.967,4.443368947741001,TheilSenRegressor
6.817,5.457787800071536,TheilSenRegressor
4.472,3.3066497823196874,TheilSenRegressor
10.0,6.005947113037109,TensorFlow
10.0,9.0117826461792,TensorFlow
10.0,6.892171382904053,TensorFlow
4.472,4.639066219329834,TensorFlow
6.711,4.030551910400391,TensorFlow
3.458,3.404623508453369,TensorFlow
4.206,4.298421382904053,TensorFlow
10.0,10.587150573730469,TensorFlow
4.931,9.420302391052246,TensorFlow
3.024,4.647356033325195,TensorFlow
4.531,6.326385021209717,TensorFlow
10.0,6.531901836395264,TensorFlow
4.104,4.932074546813965,TensorFlow
10.0,9.789166450500488,TensorFlow
2.842,5.447627544403076,TensorFlow
3.082,5.996896266937256,TensorFlow
10.0,7.578941822052002,TensorFlow
3.48,3.5504701137542725,TensorFlow
3.967,4.624289512634277,TensorFlow
6.817,5.938113689422607,TensorFlow
4.472,7.872972011566162,TensorFlow
