Actual,Predicted,Model
0.347,-0.5799779039638393,Ridge
0.733,-0.4370282472049043,Ridge
0.81,2.116322364100279,Ridge
10.0,8.855035548118021,Ridge
1.212,3.502108979496644,Ridge
6.491,7.505708466695478,Ridge
1.612,0.5582810455527816,Ridge
0.129,1.12900949090028,Ridge
10.0,9.099941782516908,Ridge
0.599,2.437207476691269,Ridge
2.334,1.7832275760923137,Ridge
0.841,2.148689216839831,Ridge
10.0,12.300127055200592,Ridge
0.339,2.053923375433384,Ridge
7.74,8.917194317892537,Ridge
2.262,2.56812556175867,Ridge
0.935,3.236017727276926,Ridge
7.877,8.582939392551062,Ridge
7.046,5.765542616204478,Ridge
0.827,0.026039730672549055,Ridge
1.726,5.554863457246812,Ridge
0.347,5.508,DecisionTreeRegressor
0.733,-0.1265,DecisionTreeRegressor
0.81,2.296,DecisionTreeRegressor
10.0,5.923,DecisionTreeRegressor
1.212,1.62,DecisionTreeRegressor
6.491,6.966333333333334,DecisionTreeRegressor
1.612,1.8780000000000001,DecisionTreeRegressor
0.129,-0.1265,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.599,0.5543333333333332,DecisionTreeRegressor
2.334,2.7230000000000003,DecisionTreeRegressor
0.841,5.1445,DecisionTreeRegressor
10.0,5.8389999999999995,DecisionTreeRegressor
0.339,0.38800000000000007,DecisionTreeRegressor
7.74,6.8505,DecisionTreeRegressor
2.262,-0.514,DecisionTreeRegressor
0.935,5.1445,DecisionTreeRegressor
7.877,6.4005,DecisionTreeRegressor
7.046,7.135,DecisionTreeRegressor
0.827,0.7196666666666666,DecisionTreeRegressor
1.726,6.5024999999999995,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.188777456129467,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.9242613084941214,GradientBoostingRegressor
0.935,1.9242613084941214,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.9242613084941214,GradientBoostingRegressor
1.726,1.9242613084941214,GradientBoostingRegressor
0.347,1.951995,RandomForestRegressor
0.733,1.2256200000000004,RandomForestRegressor
0.81,1.46499,RandomForestRegressor
10.0,5.302940000000003,RandomForestRegressor
1.212,2.8675399999999995,RandomForestRegressor
6.491,6.0510100000000016,RandomForestRegressor
1.612,2.955104999999999,RandomForestRegressor
0.129,1.0178600000000007,RandomForestRegressor
10.0,4.844010000000001,RandomForestRegressor
0.599,3.36577,RandomForestRegressor
2.334,2.6455499999999987,RandomForestRegressor
0.841,1.7469450000000004,RandomForestRegressor
10.0,7.340995000000003,RandomForestRegressor
0.339,1.8659449999999997,RandomForestRegressor
7.74,6.082914999999998,RandomForestRegressor
2.262,4.197550000000001,RandomForestRegressor
0.935,2.67513,RandomForestRegressor
7.877,6.514970000000002,RandomForestRegressor
7.046,6.138900000000002,RandomForestRegressor
0.827,2.119375,RandomForestRegressor
1.726,3.9272499999999995,RandomForestRegressor
0.347,1.0363398058252433,AdaBoostRegressor
0.733,1.044606741573034,AdaBoostRegressor
0.81,1.150369047619048,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,1.3071772151898737,AdaBoostRegressor
6.491,6.884107692307694,AdaBoostRegressor
1.612,1.150369047619048,AdaBoostRegressor
0.129,1.044606741573034,AdaBoostRegressor
10.0,6.53545714285714,AdaBoostRegressor
0.599,1.2726506024096382,AdaBoostRegressor
2.334,1.1871341463414633,AdaBoostRegressor
0.841,1.150369047619048,AdaBoostRegressor
10.0,7.838410714285715,AdaBoostRegressor
0.339,1.1432065217391303,AdaBoostRegressor
7.74,6.876425531914895,AdaBoostRegressor
2.262,1.2726506024096382,AdaBoostRegressor
0.935,1.2325999999999995,AdaBoostRegressor
7.877,6.447076923076924,AdaBoostRegressor
7.046,6.897621212121208,AdaBoostRegressor
0.827,1.2159176470588242,AdaBoostRegressor
1.726,1.3641294117647058,AdaBoostRegressor
0.347,3.687638992218439,KNeighborsRegressor
0.733,1.4082128747018972,KNeighborsRegressor
0.81,1.8362430745760674,KNeighborsRegressor
10.0,6.686941079732681,KNeighborsRegressor
1.212,1.9564779907179755,KNeighborsRegressor
6.491,4.284635741335432,KNeighborsRegressor
1.612,3.26504844920493,KNeighborsRegressor
0.129,2.0152519188216202,KNeighborsRegressor
10.0,5.264971696041975,KNeighborsRegressor
0.599,3.84985661298475,KNeighborsRegressor
2.334,5.10466170708215,KNeighborsRegressor
0.841,0.513394794346176,KNeighborsRegressor
10.0,6.561745692962258,KNeighborsRegressor
0.339,1.806377812443296,KNeighborsRegressor
7.74,5.429409173607315,KNeighborsRegressor
2.262,5.349703507521929,KNeighborsRegressor
0.935,0.7346603248007587,KNeighborsRegressor
7.877,5.831300990668893,KNeighborsRegressor
7.046,6.545515122194574,KNeighborsRegressor
0.827,1.8088881926765288,KNeighborsRegressor
1.726,5.660322880035583,KNeighborsRegressor
0.347,0.4245459901663383,MLPRegressor
0.733,0.3022870131891382,MLPRegressor
0.81,1.52882022032935,MLPRegressor
10.0,9.55142608768343,MLPRegressor
1.212,3.796412593150268,MLPRegressor
6.491,6.138227340692551,MLPRegressor
1.612,0.545647520211199,MLPRegressor
0.129,0.3506386567481743,MLPRegressor
10.0,9.972715172018415,MLPRegressor
0.599,0.7200414281980879,MLPRegressor
2.334,2.6293250963312063,MLPRegressor
0.841,0.3427031953725699,MLPRegressor
10.0,10.063861839130539,MLPRegressor
0.339,0.657210888844417,MLPRegressor
7.74,8.207477663256574,MLPRegressor
2.262,2.931796473678513,MLPRegressor
0.935,0.3651755679484724,MLPRegressor
7.877,7.912832065369531,MLPRegressor
7.046,6.140432412912392,MLPRegressor
0.827,0.7770970935767618,MLPRegressor
1.726,4.835981280846928,MLPRegressor
0.347,1.9105088764470088,ElasticNet
0.733,1.7302047808692782,ElasticNet
0.81,2.071813282543536,ElasticNet
10.0,6.526747200356164,ElasticNet
1.212,3.1591252989480756,ElasticNet
6.491,5.407882501272202,ElasticNet
1.612,2.794629792649432,ElasticNet
0.129,1.5560227858174813,ElasticNet
10.0,8.637199068913215,ElasticNet
0.599,3.016453207345648,ElasticNet
2.334,2.9611644910759765,ElasticNet
0.841,2.0324015505485677,ElasticNet
10.0,7.888175099862992,ElasticNet
0.339,1.7053268942889932,ElasticNet
7.74,5.442763072606148,ElasticNet
2.262,3.42464695919979,ElasticNet
0.935,2.744466180332476,ElasticNet
7.877,5.434132655393414,ElasticNet
7.046,5.301689701255022,ElasticNet
0.827,2.221979577733787,ElasticNet
1.726,3.851610117514257,ElasticNet
0.347,1.7371279588175048,SGDRegressor
0.733,-1.197686899943144,SGDRegressor
0.81,14.098400347263674,SGDRegressor
10.0,10.172899176167572,SGDRegressor
1.212,7.511616649051356,SGDRegressor
6.491,5.700527189738076,SGDRegressor
1.612,3.8818488127242747,SGDRegressor
0.129,-0.40091694665832023,SGDRegressor
10.0,4.564491975544924,SGDRegressor
0.599,10.253888804151913,SGDRegressor
2.334,4.081135397254519,SGDRegressor
0.841,6.173396048934217,SGDRegressor
10.0,14.72356579868212,SGDRegressor
0.339,0.31673170890386526,SGDRegressor
7.74,11.80638646467224,SGDRegressor
2.262,9.938719871378204,SGDRegressor
0.935,10.537881650984051,SGDRegressor
7.877,7.4741563754210505,SGDRegressor
7.046,4.1740016831514435,SGDRegressor
0.827,2.423295456910467,SGDRegressor
1.726,8.90407546261322,SGDRegressor
0.347,-0.6844765656904772,BayesianRidge
0.733,0.5532838990612383,BayesianRidge
0.81,2.1820382507868628,BayesianRidge
10.0,9.137155308462859,BayesianRidge
1.212,3.340583348118809,BayesianRidge
6.491,6.988470778762354,BayesianRidge
1.612,1.3233844236805687,BayesianRidge
0.129,1.313888904753358,BayesianRidge
10.0,9.498143598908277,BayesianRidge
0.599,1.9955094416216999,BayesianRidge
2.334,2.3897140092164966,BayesianRidge
0.841,1.7026386840728958,BayesianRidge
10.0,11.331653933101476,BayesianRidge
0.339,2.3101238977869123,BayesianRidge
7.74,8.851052320901239,BayesianRidge
2.262,3.58744157823635,BayesianRidge
0.935,2.7212800456470823,BayesianRidge
7.877,8.215370784108035,BayesianRidge
7.046,5.411221082514288,BayesianRidge
0.827,0.5116142116121818,BayesianRidge
1.726,5.070313769417084,BayesianRidge
0.347,1.0332649798607747,KernelRidge
0.733,2.0775389892572704,KernelRidge
0.81,2.1662119580853556,KernelRidge
10.0,7.471564775528895,KernelRidge
1.212,3.551626934762046,KernelRidge
6.491,4.91439819200307,KernelRidge
1.612,3.274268272240036,KernelRidge
0.129,-0.5066093224063906,KernelRidge
10.0,12.29475732566403,KernelRidge
0.599,0.9160992591287602,KernelRidge
2.334,1.9618331689924666,KernelRidge
0.841,0.982706869237763,KernelRidge
10.0,9.152406152361188,KernelRidge
0.339,1.7939510750773628,KernelRidge
7.74,6.522764223144884,KernelRidge
2.262,4.255351320136486,KernelRidge
0.935,5.820658760792904,KernelRidge
7.877,4.6802720678581915,KernelRidge
7.046,5.223523641356575,KernelRidge
0.827,2.7843164433523864,KernelRidge
1.726,7.738743821997682,KernelRidge
0.347,0.9022076135321213,LinearRegression
0.733,0.8522455708364274,LinearRegression
0.81,1.9876071242843991,LinearRegression
10.0,8.774843555886607,LinearRegression
1.212,2.5974594546029683,LinearRegression
6.491,5.339008970769504,LinearRegression
1.612,1.9089439187177248,LinearRegression
0.129,0.7874052016332453,LinearRegression
10.0,4.446966692514626,LinearRegression
0.599,1.2479321129223697,LinearRegression
2.334,1.6053325627263741,LinearRegression
