Actual,Predicted,Model
0.347,-1.584192656053033,Ridge
0.733,0.6670138849519742,Ridge
0.81,0.7547469192697047,Ridge
10.0,7.986229460363713,Ridge
1.212,3.613964440588261,Ridge
6.491,6.258773649430266,Ridge
1.612,1.716310176502208,Ridge
0.129,0.5048706564791989,Ridge
10.0,13.980512162899005,Ridge
0.599,0.9033713110842818,Ridge
2.334,1.2008631068682512,Ridge
0.841,2.466987883024241,Ridge
10.0,11.113244137931934,Ridge
0.339,1.9516323954015815,Ridge
7.74,9.227204572041071,Ridge
2.262,2.2639901113701666,Ridge
0.935,4.786233856334766,Ridge
7.877,7.508711859637833,Ridge
7.046,6.2346107468930985,Ridge
0.827,-0.10291917274295637,Ridge
1.726,2.8784570738419117,Ridge
0.347,-0.011,DecisionTreeRegressor
0.733,0.269,DecisionTreeRegressor
0.81,0.7304999999999999,DecisionTreeRegressor
10.0,-0.011,DecisionTreeRegressor
1.212,7.1835,DecisionTreeRegressor
6.491,5.1095,DecisionTreeRegressor
1.612,0.543,DecisionTreeRegressor
0.129,0.943,DecisionTreeRegressor
10.0,5.952,DecisionTreeRegressor
0.599,7.9135,DecisionTreeRegressor
2.334,7.144,DecisionTreeRegressor
0.841,3.551,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.339,0.269,DecisionTreeRegressor
7.74,5.7915,DecisionTreeRegressor
2.262,-0.011,DecisionTreeRegressor
0.935,2.087,DecisionTreeRegressor
7.877,7.9135,DecisionTreeRegressor
7.046,6.806,DecisionTreeRegressor
0.827,0.316,DecisionTreeRegressor
1.726,1.62,DecisionTreeRegressor
0.347,1.9262057180903596,GradientBoostingRegressor
0.733,1.9262057180903596,GradientBoostingRegressor
0.81,1.9262057180903596,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9262057180903596,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9262057180903596,GradientBoostingRegressor
0.129,1.9262057180903596,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9262057180903596,GradientBoostingRegressor
2.334,1.9262057180903596,GradientBoostingRegressor
0.841,1.9262057180903596,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9262057180903596,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.9262057180903596,GradientBoostingRegressor
0.935,1.9262057180903596,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.9262057180903596,GradientBoostingRegressor
1.726,1.9262057180903596,GradientBoostingRegressor
0.347,1.7109200000000002,RandomForestRegressor
0.733,0.9789999999999999,RandomForestRegressor
0.81,1.1966599999999996,RandomForestRegressor
10.0,5.32834,RandomForestRegressor
1.212,3.6975999999999996,RandomForestRegressor
6.491,5.448400000000001,RandomForestRegressor
1.612,3.4082599999999985,RandomForestRegressor
0.129,1.4553200000000006,RandomForestRegressor
10.0,5.1417600000000006,RandomForestRegressor
0.599,4.419679999999999,RandomForestRegressor
2.334,1.9266999999999999,RandomForestRegressor
0.841,1.78986,RandomForestRegressor
10.0,7.007439999999999,RandomForestRegressor
0.339,1.8380000000000007,RandomForestRegressor
7.74,5.375959999999999,RandomForestRegressor
2.262,4.552459999999999,RandomForestRegressor
0.935,3.44458,RandomForestRegressor
7.877,6.678399999999999,RandomForestRegressor
7.046,5.74644,RandomForestRegressor
0.827,2.2815,RandomForestRegressor
1.726,4.1164999999999985,RandomForestRegressor
0.347,0.9344259259259269,AdaBoostRegressor
0.733,0.9344259259259269,AdaBoostRegressor
0.81,0.9344259259259269,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,0.9344259259259269,AdaBoostRegressor
6.491,6.49484126984127,AdaBoostRegressor
1.612,0.9344259259259269,AdaBoostRegressor
0.129,0.9344259259259269,AdaBoostRegressor
10.0,6.49484126984127,AdaBoostRegressor
0.599,0.9344259259259269,AdaBoostRegressor
2.334,0.9344259259259269,AdaBoostRegressor
0.841,0.9344259259259269,AdaBoostRegressor
10.0,6.49484126984127,AdaBoostRegressor
0.339,0.9344259259259269,AdaBoostRegressor
7.74,6.49484126984127,AdaBoostRegressor
2.262,0.9344259259259269,AdaBoostRegressor
0.935,0.9344259259259269,AdaBoostRegressor
7.877,8.8774,AdaBoostRegressor
7.046,6.49484126984127,AdaBoostRegressor
0.827,0.9344259259259269,AdaBoostRegressor
1.726,0.9344259259259269,AdaBoostRegressor
0.347,2.8478247910768397,KNeighborsRegressor
0.733,0.5058773022578613,KNeighborsRegressor
0.81,2.014791688019456,KNeighborsRegressor
10.0,7.544166863499305,KNeighborsRegressor
1.212,1.7392410683231574,KNeighborsRegressor
6.491,5.135472619204514,KNeighborsRegressor
1.612,3.068285706968296,KNeighborsRegressor
0.129,0.3575860289782811,KNeighborsRegressor
10.0,3.2364307522717,KNeighborsRegressor
0.599,2.903010648924867,KNeighborsRegressor
2.334,5.638085649790102,KNeighborsRegressor
0.841,1.3511783680193037,KNeighborsRegressor
10.0,6.8397446385552945,KNeighborsRegressor
0.339,0.4087171074019837,KNeighborsRegressor
7.74,4.617853628047374,KNeighborsRegressor
2.262,6.858589739354243,KNeighborsRegressor
0.935,0.8674927063030533,KNeighborsRegressor
7.877,6.660203082615047,KNeighborsRegressor
7.046,6.180474751078686,KNeighborsRegressor
0.827,2.4849454615709887,KNeighborsRegressor
1.726,4.94050229890591,KNeighborsRegressor
0.347,0.9369948101395539,MLPRegressor
0.733,0.2834085155786915,MLPRegressor
0.81,0.7969387494891905,MLPRegressor
10.0,9.378221472968184,MLPRegressor
1.212,5.34479320135095,MLPRegressor
6.491,6.623064497002097,MLPRegressor
1.612,1.90741875462129,MLPRegressor
0.129,0.6392460526451721,MLPRegressor
10.0,9.798058151286593,MLPRegressor
0.599,0.9394393078656376,MLPRegressor
2.334,1.6551939069877522,MLPRegressor
0.841,0.46438957907701095,MLPRegressor
10.0,9.84965666756985,MLPRegressor
0.339,0.6909564925440831,MLPRegressor
7.74,7.936465239925082,MLPRegressor
2.262,6.600336594501232,MLPRegressor
0.935,0.38189342161634054,MLPRegressor
7.877,7.558187445291394,MLPRegressor
7.046,6.392156051547835,MLPRegressor
0.827,0.893960603335874,MLPRegressor
1.726,6.6612880517116375,MLPRegressor
0.347,1.9577457129458498,ElasticNet
0.733,1.7668242367551223,ElasticNet
0.81,1.94604427723543,ElasticNet
10.0,5.994271632825242,ElasticNet
1.212,3.1935089406667005,ElasticNet
6.491,5.378417727812687,ElasticNet
1.612,2.703951898968069,ElasticNet
