Actual,Predicted,Model
0.347,-1.8763771790284611,Ridge
0.733,0.765479269081228,Ridge
0.81,1.349997647560814,Ridge
10.0,8.210414735968712,Ridge
1.212,3.037552078069303,Ridge
6.491,6.861446377612577,Ridge
1.612,0.7318115251986765,Ridge
0.129,0.704418217700367,Ridge
10.0,12.215562401873221,Ridge
0.599,1.1586518004251412,Ridge
2.334,1.3810935832701583,Ridge
0.841,1.686392927857148,Ridge
10.0,12.081893353965109,Ridge
0.339,2.1687138394283725,Ridge
7.74,7.939448560131625,Ridge
2.262,2.7732978515876123,Ridge
0.935,3.504660229214542,Ridge
7.877,7.252802546397955,Ridge
7.046,5.373565718868418,Ridge
0.827,-0.30769768466519665,Ridge
1.726,3.917581981977012,Ridge
0.347,5.508,DecisionTreeRegressor
0.733,0.742,DecisionTreeRegressor
0.81,0.287,DecisionTreeRegressor
10.0,0.78,DecisionTreeRegressor
1.212,5.508,DecisionTreeRegressor
6.491,7.0355,DecisionTreeRegressor
1.612,1.7,DecisionTreeRegressor
0.129,1.0855000000000001,DecisionTreeRegressor
10.0,5.237,DecisionTreeRegressor
0.599,0.78,DecisionTreeRegressor
2.334,0.742,DecisionTreeRegressor
0.841,0.2065,DecisionTreeRegressor
10.0,7.0355,DecisionTreeRegressor
0.339,10.0,DecisionTreeRegressor
7.74,6.576499999999999,DecisionTreeRegressor
2.262,0.9465,DecisionTreeRegressor
0.935,0.9465,DecisionTreeRegressor
7.877,10.0,DecisionTreeRegressor
7.046,6.733,DecisionTreeRegressor
0.827,1.0845,DecisionTreeRegressor
1.726,1.1975,DecisionTreeRegressor
0.347,1.9262057180903596,GradientBoostingRegressor
0.733,1.9262057180903596,GradientBoostingRegressor
0.81,1.9262057180903596,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9262057180903596,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9262057180903596,GradientBoostingRegressor
0.129,1.9262057180903596,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9262057180903596,GradientBoostingRegressor
2.334,1.9262057180903596,GradientBoostingRegressor
0.841,1.9262057180903596,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9262057180903596,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
