Actual,Predicted,Model
0.347,-1.4943819479914437,Ridge
0.733,-0.2798255369557956,Ridge
0.81,1.7745647883295925,Ridge
10.0,8.301378552297786,Ridge
1.212,4.205409594892749,Ridge
6.491,7.22654110765841,Ridge
1.612,0.19264487077104198,Ridge
0.129,0.8608562543180001,Ridge
10.0,11.717790175474505,Ridge
0.599,2.412315897416242,Ridge
2.334,1.1290372001355862,Ridge
0.841,1.6380339339154184,Ridge
10.0,11.953993998333477,Ridge
0.339,1.795516057040048,Ridge
7.74,8.210377258453597,Ridge
2.262,2.567731604445616,Ridge
0.935,2.3143476705176185,Ridge
7.877,7.493171056635003,Ridge
7.046,5.020336748952815,Ridge
0.827,-0.1889108626983269,Ridge
1.726,5.1316860598277145,Ridge
0.347,0.596,DecisionTreeRegressor
0.733,0.733,DecisionTreeRegressor
0.81,0.6,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,0.409,DecisionTreeRegressor
6.491,7.3095,DecisionTreeRegressor
1.612,1.992,DecisionTreeRegressor
0.129,0.4295,DecisionTreeRegressor
10.0,5.237,DecisionTreeRegressor
0.599,0.682,DecisionTreeRegressor
2.334,1.1595,DecisionTreeRegressor
0.841,0.316,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.339,0.4295,DecisionTreeRegressor
7.74,6.974,DecisionTreeRegressor
2.262,0.5,DecisionTreeRegressor
0.935,0.289,DecisionTreeRegressor
7.877,6.926,DecisionTreeRegressor
7.046,7.076,DecisionTreeRegressor
0.827,0.506,DecisionTreeRegressor
1.726,0.65,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.9242613084941214,GradientBoostingRegressor
0.935,1.9242613084941214,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.9242613084941214,GradientBoostingRegressor
1.726,1.9242613084941214,GradientBoostingRegressor
0.347,1.6438400000000002,RandomForestRegressor
0.733,1.0745599999999997,RandomForestRegressor
0.81,2.265259999999999,RandomForestRegressor
10.0,6.25496,RandomForestRegressor
1.212,2.5560600000000004,RandomForestRegressor
6.491,6.431959999999998,RandomForestRegressor
1.612,2.7017,RandomForestRegressor
0.129,1.7402400000000007,RandomForestRegressor
10.0,4.913519999999999,RandomForestRegressor
0.599,3.7621599999999997,RandomForestRegressor
2.334,2.43562,RandomForestRegressor
0.841,1.8503100000000001,RandomForestRegressor
10.0,7.018440000000001,RandomForestRegressor
0.339,1.6882000000000006,RandomForestRegressor
7.74,5.4398,RandomForestRegressor
2.262,3.94124,RandomForestRegressor
0.935,3.14729,RandomForestRegressor
7.877,6.894539999999998,RandomForestRegressor
7.046,5.398439999999999,RandomForestRegressor
0.827,2.1788799999999995,RandomForestRegressor
1.726,4.04764,RandomForestRegressor
0.347,1.01071875,AdaBoostRegressor
0.733,1.01071875,AdaBoostRegressor
0.81,1.0112500000000009,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,1.4724793388429742,AdaBoostRegressor
6.491,6.597155172413792,AdaBoostRegressor
1.612,1.3873493975903617,AdaBoostRegressor
0.129,1.0112500000000009,AdaBoostRegressor
10.0,6.7597042253521105,AdaBoostRegressor
0.599,1.4724793388429742,AdaBoostRegressor
2.334,1.01071875,AdaBoostRegressor
0.841,1.0112500000000009,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.339,1.01071875,AdaBoostRegressor
7.74,6.597155172413792,AdaBoostRegressor
2.262,1.0112500000000009,AdaBoostRegressor
0.935,1.0112500000000009,AdaBoostRegressor
7.877,6.484705882352938,AdaBoostRegressor
7.046,6.745473684210526,AdaBoostRegressor
0.827,1.3873493975903617,AdaBoostRegressor
1.726,1.3873493975903617,AdaBoostRegressor
0.347,3.3631773864307464,KNeighborsRegressor
0.733,0.48375942979453246,KNeighborsRegressor
0.81,2.418933544185298,KNeighborsRegressor
10.0,7.5630625247670995,KNeighborsRegressor
1.212,1.6862951481967412,KNeighborsRegressor
6.491,4.738463414891601,KNeighborsRegressor
1.612,3.9592191096289935,KNeighborsRegressor
0.129,1.2606806583840728,KNeighborsRegressor
10.0,5.259934810869954,KNeighborsRegressor
0.599,3.77481148924486,KNeighborsRegressor
2.334,4.588336349936284,KNeighborsRegressor
0.841,0.515589758499837,KNeighborsRegressor
10.0,6.584595005744096,KNeighborsRegressor
0.339,1.8349948757490206,KNeighborsRegressor
7.74,4.956335232506816,KNeighborsRegressor
2.262,4.87618119511912,KNeighborsRegressor
0.935,1.4596200407110247,KNeighborsRegressor
7.877,6.152271591542795,KNeighborsRegressor
7.046,6.542190634096173,KNeighborsRegressor
0.827,1.8038870281301755,KNeighborsRegressor
1.726,5.269162402518085,KNeighborsRegressor
0.347,0.9470906673780142,MLPRegressor
0.733,0.39761076513354127,MLPRegressor
0.81,1.4365588791264239,MLPRegressor
10.0,9.23692834494302,MLPRegressor
1.212,2.3339287022628934,MLPRegressor
6.491,6.391387216977533,MLPRegressor
1.612,0.7056170111566746,MLPRegressor
0.129,0.34550970763864935,MLPRegressor
10.0,9.92795674540103,MLPRegressor
0.599,0.41706449278610874,MLPRegressor
2.334,2.809314832070715,MLPRegressor
0.841,0.2657567721245922,MLPRegressor
10.0,9.910858210601752,MLPRegressor
0.339,0.548461496268287,MLPRegressor
7.74,7.71854916394048,MLPRegressor
2.262,5.029170270502366,MLPRegressor
0.935,0.23442090964702894,MLPRegressor
7.877,7.462450482414026,MLPRegressor
7.046,5.2788030392120024,MLPRegressor
0.827,0.7333576398978254,MLPRegressor
1.726,5.111268397997412,MLPRegressor
0.347,1.8753926294484333,ElasticNet
0.733,1.7529596970427697,ElasticNet
0.81,2.0538407054985655,ElasticNet
10.0,6.637202645466045,ElasticNet
1.212,3.122243868035763,ElasticNet
6.491,5.4136059151278335,ElasticNet
1.612,2.7448793279970434,ElasticNet
0.129,1.5370537099651727,ElasticNet
10.0,8.878711167114865,ElasticNet
0.599,3.0118727012583886,ElasticNet
2.334,2.9323082712990702,ElasticNet
0.841,2.0395088233363827,ElasticNet
10.0,7.985777543312426,ElasticNet
0.339,1.6134407267977733,ElasticNet
7.74,5.427017587292408,ElasticNet
2.262,3.4105468073920666,ElasticNet
0.935,2.7682020356693027,ElasticNet
7.877,5.413804577392653,ElasticNet
7.046,5.302653471355191,ElasticNet
0.827,2.2416640669382333,ElasticNet
1.726,3.833341311525603,ElasticNet
0.347,-1.7116925115989896,SGDRegressor
0.733,1.490203012845447,SGDRegressor
0.81,0.7155963451480631,SGDRegressor
10.0,13.7577658494968,SGDRegressor
1.212,0.7517022107272906,SGDRegressor
6.491,6.587933478528342,SGDRegressor
1.612,1.2361999602828746,SGDRegressor
0.129,0.5197374725434409,SGDRegressor
10.0,6.431447494941751,SGDRegressor
0.599,2.6056016001589564,SGDRegressor
2.334,-0.22685651169131793,SGDRegressor
0.841,0.5859318518802712,SGDRegressor
10.0,13.377391658229135,SGDRegressor
0.339,2.340486716173216,SGDRegressor
7.74,10.175097990874704,SGDRegressor
2.262,-1.4105898629795024,SGDRegressor
0.935,2.371836476160107,SGDRegressor
7.877,7.747996771840576,SGDRegressor
7.046,4.461743525328373,SGDRegressor
0.827,0.1085321018411971,SGDRegressor
1.726,2.3553101432510313,SGDRegressor
0.347,-1.104042839837624,BayesianRidge
0.733,0.4832168012727034,BayesianRidge
0.81,1.7874165621905824,BayesianRidge
10.0,8.741432696849982,BayesianRidge
1.212,3.765212032484468,BayesianRidge
6.491,6.974832660540346,BayesianRidge
1.612,1.0816819867651688,BayesianRidge
0.129,0.9950408658190515,BayesianRidge
10.0,11.53993938847282,BayesianRidge
0.599,2.097058534702577,BayesianRidge
2.334,1.8909187832811492,BayesianRidge
0.841,1.4041328323004252,BayesianRidge
10.0,11.224012728497232,BayesianRidge
0.339,1.9560790346855936,BayesianRidge
7.74,8.667243221540756,BayesianRidge
2.262,3.2889764535418533,BayesianRidge
0.935,1.769540102648072,BayesianRidge
7.877,7.467024013499437,BayesianRidge
7.046,5.0057339192804555,BayesianRidge
0.827,0.3180351262000287,BayesianRidge
1.726,4.823985762956065,BayesianRidge
0.347,0.5345852391808776,KernelRidge
0.733,2.554872192778266,KernelRidge
0.81,0.5083897189898678,KernelRidge
10.0,6.917339502990158,KernelRidge
1.212,3.7318385322672647,KernelRidge
6.491,4.534970297107317,KernelRidge
1.612,3.8318450939954687,KernelRidge
0.129,0.9773249010873641,KernelRidge
10.0,12.337772887490768,KernelRidge
0.599,1.5691606023056313,KernelRidge
2.334,0.37364644252784984,KernelRidge
0.841,1.155369426052692,KernelRidge
10.0,9.219617124179862,KernelRidge
0.339,2.9136099247366047,KernelRidge
7.74,6.51025748097992,KernelRidge
2.262,6.172592895514364,KernelRidge
0.935,5.406155662630134,KernelRidge
7.877,4.056867304847438,KernelRidge
7.046,4.616277874464586,KernelRidge
0.827,2.6575026618303745,KernelRidge
1.726,10.367185608164387,KernelRidge
0.347,1.1640167731565603,LinearRegression
0.733,1.1490497926967569,LinearRegression
0.81,1.963681624968709,LinearRegression
10.0,8.769816595819343,LinearRegression
1.212,2.387942360447984,LinearRegression
6.491,5.2308677744891785,LinearRegression
1.612,1.9602455968720138,LinearRegression
0.129,0.8125000132970857,LinearRegression
10.0,4.404697578634584,LinearRegression
0.599,1.1106356661752277,LinearRegression
2.334,1.5360783711174184,LinearRegression
0.841,1.5091593401826318,LinearRegression
10.0,13.219681879953887,LinearRegression
0.339,1.7239880562311167,LinearRegression
7.74,8.532165307447066,LinearRegression
2.262,4.575363179221794,LinearRegression
0.935,2.416312313809205,LinearRegression
7.877,7.5669220221992965,LinearRegression
7.046,5.955319136631127,LinearRegression
0.827,0.6905535530141869,LinearRegression
1.726,3.1315885750240047,LinearRegression
0.347,3.7335375481181448,RANSACRegressor
0.733,1.2226926671956186,RANSACRegressor
0.81,2.8899858729198358,RANSACRegressor
10.0,6.139851981599666,RANSACRegressor
1.212,3.6447574441291892,RANSACRegressor
6.491,6.782613131620888,RANSACRegressor
1.612,3.3465415674409202,RANSACRegressor
0.129,1.6111444379529147,RANSACRegressor
10.0,5.035910727935777,RANSACRegressor
0.599,5.512572603765254,RANSACRegressor
2.334,3.395439991346966,RANSACRegressor
0.841,3.223870146262723,RANSACRegressor
10.0,5.05280139652531,RANSACRegressor
