Actual,Predicted,Model
0.347,-1.3065659758487742,Ridge
0.733,0.46676533943597365,Ridge
0.81,1.2055476244237373,Ridge
10.0,8.375278344357888,Ridge
1.212,3.1197426326039537,Ridge
6.491,6.951838837493816,Ridge
1.612,1.1342479985691485,Ridge
0.129,1.2453643354361446,Ridge
10.0,12.10913852185068,Ridge
0.599,1.6306263095778748,Ridge
2.334,1.5455795883949612,Ridge
0.841,1.5065553684427706,Ridge
10.0,11.89656324445617,Ridge
0.339,2.1228270748247775,Ridge
7.74,9.183719251215955,Ridge
2.262,2.9646449048222614,Ridge
0.935,2.8746940384330846,Ridge
7.877,7.610561838255414,Ridge
7.046,5.37340459144688,Ridge
0.827,0.32672431093120036,Ridge
1.726,3.737321637507273,Ridge
0.347,0.049999999999999996,DecisionTreeRegressor
0.733,0.36933333333333335,DecisionTreeRegressor
0.81,5.4879999999999995,DecisionTreeRegressor
10.0,5.551,DecisionTreeRegressor
1.212,3.9895,DecisionTreeRegressor
6.491,5.739,DecisionTreeRegressor
1.612,1.2113333333333332,DecisionTreeRegressor
0.129,0.9864999999999999,DecisionTreeRegressor
10.0,1.7053333333333331,DecisionTreeRegressor
0.599,1.2930000000000001,DecisionTreeRegressor
2.334,1.7053333333333331,DecisionTreeRegressor
0.841,1.2930000000000001,DecisionTreeRegressor
10.0,6.194,DecisionTreeRegressor
0.339,0.184,DecisionTreeRegressor
7.74,7.144,DecisionTreeRegressor
2.262,3.9895,DecisionTreeRegressor
0.935,2.022,DecisionTreeRegressor
7.877,6.7379999999999995,DecisionTreeRegressor
7.046,7.514,DecisionTreeRegressor
0.827,3.4669999999999996,DecisionTreeRegressor
1.726,0.723,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.245848732458742,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.9242613084941214,GradientBoostingRegressor
0.935,1.9242613084941214,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.9242613084941214,GradientBoostingRegressor
1.726,1.9242613084941214,GradientBoostingRegressor
