Actual,Predicted,Model
0.347,-1.3211176309760768,Ridge
0.733,-0.3475833472692562,Ridge
0.81,1.8023245119666353,Ridge
10.0,8.578557839759661,Ridge
1.212,4.154596057769052,Ridge
6.491,6.996475521823026,Ridge
1.612,0.4573304035105381,Ridge
0.129,0.4961846335983937,Ridge
10.0,11.230181330724417,Ridge
0.599,2.0743065372906933,Ridge
2.334,1.5744948377990298,Ridge
0.841,1.47533773138592,Ridge
10.0,12.095736258283019,Ridge
0.339,1.9587699862422978,Ridge
7.74,8.430702160601644,Ridge
2.262,1.4766579584564572,Ridge
0.935,2.457475090702883,Ridge
7.877,7.4134086671083494,Ridge
7.046,5.0952933181120335,Ridge
0.827,-0.2884171344758837,Ridge
1.726,5.752011689632685,Ridge
0.347,5.237,DecisionTreeRegressor
0.733,3.90825,DecisionTreeRegressor
0.81,1.237,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,5.7755,DecisionTreeRegressor
6.491,6.682333333333333,DecisionTreeRegressor
1.612,3.394,DecisionTreeRegressor
0.129,-0.043333333333333335,DecisionTreeRegressor
10.0,0.8365,DecisionTreeRegressor
0.599,2.017,DecisionTreeRegressor
2.334,10.0,DecisionTreeRegressor
0.841,0.246,DecisionTreeRegressor
10.0,6.7575,DecisionTreeRegressor
0.339,0.2243333333333333,DecisionTreeRegressor
7.74,6.354749999999999,DecisionTreeRegressor
2.262,2.401,DecisionTreeRegressor
0.935,2.7195,DecisionTreeRegressor
7.877,6.587,DecisionTreeRegressor
7.046,6.056333333333334,DecisionTreeRegressor
0.827,1.1016666666666668,DecisionTreeRegressor
1.726,10.0,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.9242613084941214,GradientBoostingRegressor
0.935,1.9242613084941214,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.9242613084941214,GradientBoostingRegressor
1.726,1.9242613084941214,GradientBoostingRegressor
0.347,2.7191500000000004,RandomForestRegressor
0.733,0.5635000000000001,RandomForestRegressor
0.81,2.039,RandomForestRegressor
10.0,5.115399999999999,RandomForestRegressor
1.212,3.5519600000000002,RandomForestRegressor
6.491,6.08471,RandomForestRegressor
1.612,3.18853,RandomForestRegressor
0.129,0.6282500000000001,RandomForestRegressor
10.0,5.2926199999999985,RandomForestRegressor
0.599,4.414629999999999,RandomForestRegressor
2.334,2.6795200000000006,RandomForestRegressor
0.841,1.92508,RandomForestRegressor
10.0,7.055499999999999,RandomForestRegressor
0.339,1.04775,RandomForestRegressor
7.74,5.32296,RandomForestRegressor
2.262,3.259770000000001,RandomForestRegressor
0.935,2.76847,RandomForestRegressor
7.877,7.01541,RandomForestRegressor
7.046,5.81989,RandomForestRegressor
0.827,1.6736700000000004,RandomForestRegressor
1.726,4.55093,RandomForestRegressor
0.347,1.2016415094339628,AdaBoostRegressor
0.733,1.2039473684210527,AdaBoostRegressor
0.81,1.2482523364485965,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,1.2832338709677396,AdaBoostRegressor
6.491,6.8825714285714295,AdaBoostRegressor
1.612,1.2467500000000002,AdaBoostRegressor
0.129,1.1668555555555555,AdaBoostRegressor
10.0,6.488138888888887,AdaBoostRegressor
0.599,1.2193303571428573,AdaBoostRegressor
2.334,1.1668555555555555,AdaBoostRegressor
0.841,1.3001443298969075,AdaBoostRegressor
10.0,8.89525925925926,AdaBoostRegressor
0.339,1.2193303571428573,AdaBoostRegressor
7.74,6.843931034482759,AdaBoostRegressor
2.262,1.314712871287129,AdaBoostRegressor
0.935,1.2796162790697685,AdaBoostRegressor
7.877,6.685222222222223,AdaBoostRegressor
