Actual,Predicted,Model
0.347,-1.4702790696072858,Ridge
0.733,0.013937905707842368,Ridge
0.81,1.0249875682821736,Ridge
10.0,8.095685854437555,Ridge
1.212,3.936157017856912,Ridge
6.491,7.397592305346177,Ridge
1.612,0.5950536730980422,Ridge
0.129,0.7455865067948313,Ridge
10.0,12.45073372416876,Ridge
0.599,1.9824329247427523,Ridge
2.334,1.170272559088526,Ridge
0.841,1.990937222329929,Ridge
10.0,12.393368013294968,Ridge
0.339,1.874161562321503,Ridge
7.74,8.375619893546764,Ridge
2.262,2.1911276038121335,Ridge
0.935,3.365901826341805,Ridge
7.877,7.4254246326642805,Ridge
7.046,5.7481343067977235,Ridge
0.827,-0.08280420767827623,Ridge
1.726,3.5640632379757378,Ridge
0.347,-0.0685,DecisionTreeRegressor
0.733,0.7304999999999999,DecisionTreeRegressor
0.81,0.891,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,1.2225000000000001,DecisionTreeRegressor
6.491,6.396,DecisionTreeRegressor
1.612,0.596,DecisionTreeRegressor
0.129,0.6445000000000001,DecisionTreeRegressor
10.0,5.237,DecisionTreeRegressor
0.599,-0.099,DecisionTreeRegressor
2.334,1.9729999999999999,DecisionTreeRegressor
0.841,1.1145,DecisionTreeRegressor
10.0,6.475,DecisionTreeRegressor
0.339,0.6445000000000001,DecisionTreeRegressor
7.74,5.854,DecisionTreeRegressor
2.262,0.9085000000000001,DecisionTreeRegressor
0.935,1.8605,DecisionTreeRegressor
7.877,6.475,DecisionTreeRegressor
7.046,10.0,DecisionTreeRegressor
0.827,1.2225000000000001,DecisionTreeRegressor
1.726,2.744,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.217948571875185,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.9242613084941214,GradientBoostingRegressor
0.935,1.9242613084941214,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.9242613084941214,GradientBoostingRegressor
1.726,1.9242613084941214,GradientBoostingRegressor
0.347,2.322105,RandomForestRegressor
0.733,0.7133050000000002,RandomForestRegressor
0.81,2.02935,RandomForestRegressor
10.0,5.736180000000001,RandomForestRegressor
1.212,3.2290949999999987,RandomForestRegressor
6.491,5.43662,RandomForestRegressor
1.612,3.347265000000001,RandomForestRegressor
0.129,0.7654049999999999,RandomForestRegressor
10.0,4.946560000000002,RandomForestRegressor
0.599,3.163039999999998,RandomForestRegressor
2.334,2.7361750000000002,RandomForestRegressor
0.841,1.911185000000001,RandomForestRegressor
10.0,7.0763750000000005,RandomForestRegressor
0.339,1.310975,RandomForestRegressor
7.74,6.0139499999999995,RandomForestRegressor
