Actual,Predicted,Model
0.347,-1.390597814594031,Ridge
0.733,0.9195273562199944,Ridge
0.81,1.5272544954546663,Ridge
10.0,8.368196503908827,Ridge
1.212,3.380195087285102,Ridge
6.491,7.501490853323399,Ridge
1.612,0.9238206416146553,Ridge
0.129,1.1406635540993322,Ridge
10.0,12.127786006582427,Ridge
0.599,1.7167344864369316,Ridge
2.334,0.6150620008839298,Ridge
0.841,2.3407271589880216,Ridge
10.0,12.529767236102852,Ridge
0.339,1.5972031338474917,Ridge
7.74,8.477275143097945,Ridge
2.262,2.0504401045511176,Ridge
0.935,4.101219436462491,Ridge
7.877,7.853886777040593,Ridge
7.046,6.269959957766213,Ridge
0.827,0.0795885743971061,Ridge
1.726,4.114911474038142,Ridge
0.347,1.677,DecisionTreeRegressor
0.733,0.821,DecisionTreeRegressor
0.81,1.561,DecisionTreeRegressor
10.0,0.43599999999999994,DecisionTreeRegressor
1.212,10.0,DecisionTreeRegressor
6.491,3.049,DecisionTreeRegressor
1.612,5.85,DecisionTreeRegressor
0.129,3.9819999999999998,DecisionTreeRegressor
10.0,0.11599999999999999,DecisionTreeRegressor
0.599,6.38,DecisionTreeRegressor
2.334,7.742,DecisionTreeRegressor
0.841,6.643,DecisionTreeRegressor
10.0,6.933,DecisionTreeRegressor
0.339,0.27499999999999997,DecisionTreeRegressor
7.74,4.1035,DecisionTreeRegressor
2.262,1.677,DecisionTreeRegressor
0.935,5.85,DecisionTreeRegressor
7.877,5.308333333333334,DecisionTreeRegressor
7.046,7.290333333333333,DecisionTreeRegressor
0.827,0.543,DecisionTreeRegressor
1.726,1.0555,DecisionTreeRegressor
0.347,1.9262057180903596,GradientBoostingRegressor
0.733,1.9262057180903596,GradientBoostingRegressor
0.81,1.9262057180903596,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9262057180903596,GradientBoostingRegressor
6.491,5.623295151030536,GradientBoostingRegressor
1.612,1.9262057180903596,GradientBoostingRegressor
0.129,1.9262057180903596,GradientBoostingRegressor
10.0,5.245848732458742,GradientBoostingRegressor
0.599,1.9262057180903596,GradientBoostingRegressor
2.334,1.9262057180903596,GradientBoostingRegressor
0.841,1.9262057180903596,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9262057180903596,GradientBoostingRegressor
7.74,5.623295151030536,GradientBoostingRegressor
2.262,1.9262057180903596,GradientBoostingRegressor
0.935,1.9262057180903596,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030536,GradientBoostingRegressor
0.827,1.9262057180903596,GradientBoostingRegressor
1.726,1.9262057180903596,GradientBoostingRegressor
0.347,1.9628799999999993,RandomForestRegressor
0.733,0.9825850000000002,RandomForestRegressor
0.81,1.7588900000000003,RandomForestRegressor
10.0,5.888629999999997,RandomForestRegressor
1.212,3.4023400000000006,RandomForestRegressor
6.491,5.671860000000002,RandomForestRegressor
1.612,3.3200149999999984,RandomForestRegressor
0.129,0.70961,RandomForestRegressor
10.0,5.22409,RandomForestRegressor
0.599,2.982729999999999,RandomForestRegressor
2.334,2.8062699999999996,RandomForestRegressor
0.841,1.6982299999999997,RandomForestRegressor
10.0,7.24568,RandomForestRegressor
0.339,1.6625649999999996,RandomForestRegressor
7.74,5.621889999999999,RandomForestRegressor
2.262,3.7100349999999995,RandomForestRegressor
0.935,3.318785000000001,RandomForestRegressor
7.877,6.735060000000001,RandomForestRegressor
7.046,5.796039999999997,RandomForestRegressor
0.827,1.7244,RandomForestRegressor
1.726,4.119154999999998,RandomForestRegressor
0.347,0.969598039215687,AdaBoostRegressor
0.733,0.969598039215687,AdaBoostRegressor
0.81,0.969598039215687,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,0.969598039215687,AdaBoostRegressor
6.491,6.461704225352111,AdaBoostRegressor
1.612,0.969598039215687,AdaBoostRegressor
0.129,0.969598039215687,AdaBoostRegressor
10.0,6.461704225352111,AdaBoostRegressor
0.599,0.969598039215687,AdaBoostRegressor
2.334,0.969598039215687,AdaBoostRegressor
0.841,0.969598039215687,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.339,0.969598039215687,AdaBoostRegressor
