Actual,Predicted,Model
0.0,-0.15448654624183256,Ridge
0.0,-1.5178205154687028,Ridge
0.951,1.5553344265012639,Ridge
9.223,8.004862889738817,Ridge
7.666,8.488739234707516,Ridge
7.545,7.707857643763365,Ridge
6.632,8.367073732325753,Ridge
0.0,-1.154938644677065,Ridge
4.722,6.1154642687769485,Ridge
7.341,7.626331264115603,Ridge
5.001,5.1721669265987,Ridge
0.838,1.9135462736898363,Ridge
4.603,6.2759059392372,Ridge
0.901,0.586675513592994,Ridge
7.225,6.878311060603846,Ridge
5.447,6.162974606187749,Ridge
0.0,-1.7414399445908266,Ridge
8.771,6.500520946806072,Ridge
7.61,7.436608541199433,Ridge
5.111,4.24452751741309,Ridge
7.655,6.926922473480399,Ridge
0.0,0.22160000000000002,DecisionTreeRegressor
0.0,0.06306666666666666,DecisionTreeRegressor
0.951,1.099,DecisionTreeRegressor
9.223,3.611,DecisionTreeRegressor
7.666,7.714,DecisionTreeRegressor
7.545,4.504666666666666,DecisionTreeRegressor
6.632,7.4115,DecisionTreeRegressor
0.0,0.06306666666666666,DecisionTreeRegressor
4.722,7.7275,DecisionTreeRegressor
7.341,6.339,DecisionTreeRegressor
5.001,8.574666666666666,DecisionTreeRegressor
0.838,0.21259999999999998,DecisionTreeRegressor
4.603,4.3835,DecisionTreeRegressor
0.901,0.9925,DecisionTreeRegressor
7.225,7.1274999999999995,DecisionTreeRegressor
5.447,0.3155,DecisionTreeRegressor
0.0,0.473,DecisionTreeRegressor
8.771,7.348,DecisionTreeRegressor
7.61,7.047,DecisionTreeRegressor
5.111,0.06306666666666666,DecisionTreeRegressor
7.655,7.1274999999999995,DecisionTreeRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.951,2.202809795083683,GradientBoostingRegressor
9.223,6.513153600429972,GradientBoostingRegressor
7.666,6.475585151420827,GradientBoostingRegressor
7.545,6.040084862104496,GradientBoostingRegressor
6.632,6.0406821246082965,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
4.722,4.647464958546673,GradientBoostingRegressor
7.341,6.108639029530118,GradientBoostingRegressor
5.001,4.726394120056766,GradientBoostingRegressor
0.838,2.202809795083683,GradientBoostingRegressor
4.603,4.39714430717793,GradientBoostingRegressor
0.901,2.1967016860356083,GradientBoostingRegressor
7.225,6.394637979886613,GradientBoostingRegressor
5.447,5.648560557817033,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
8.771,6.475585151420827,GradientBoostingRegressor
7.61,6.394637979886613,GradientBoostingRegressor
5.111,4.647464958546673,GradientBoostingRegressor
7.655,6.432206428895759,GradientBoostingRegressor
0.0,1.8742900000000007,RandomForestRegressor
0.0,0.33055,RandomForestRegressor
0.951,1.8139500000000004,RandomForestRegressor
9.223,6.658200000000003,RandomForestRegressor
7.666,5.55367,RandomForestRegressor
7.545,6.915670000000006,RandomForestRegressor
6.632,6.096030000000004,RandomForestRegressor
0.0,0.14037,RandomForestRegressor
4.722,5.4439600000000015,RandomForestRegressor
7.341,5.8908400000000025,RandomForestRegressor
5.001,5.755140000000003,RandomForestRegressor
0.838,1.8067400000000005,RandomForestRegressor
4.603,6.252980000000001,RandomForestRegressor
0.901,0.8532199999999998,RandomForestRegressor
7.225,7.000460000000003,RandomForestRegressor
5.447,5.042370000000001,RandomForestRegressor
0.0,1.70137,RandomForestRegressor
8.771,7.254200000000003,RandomForestRegressor
7.61,6.9483999999999995,RandomForestRegressor
5.111,4.848750000000003,RandomForestRegressor
7.655,7.008489999999995,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.951,0.9590000000000002,AdaBoostRegressor
9.223,7.992074626865673,AdaBoostRegressor
7.666,7.680531250000001,AdaBoostRegressor
7.545,7.364253012048193,AdaBoostRegressor
6.632,7.487642857142858,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.722,4.599416666666668,AdaBoostRegressor
7.341,7.300483870967742,AdaBoostRegressor
5.001,4.8782499999999995,AdaBoostRegressor
0.838,0.9607500000000001,AdaBoostRegressor
4.603,4.486966666666666,AdaBoostRegressor
0.901,0.955,AdaBoostRegressor
7.225,7.569694117647061,AdaBoostRegressor
5.447,6.930835443037978,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
8.771,7.97697916666667,AdaBoostRegressor
7.61,7.680531250000001,AdaBoostRegressor
5.111,4.670767441860464,AdaBoostRegressor
7.655,7.588436363636364,AdaBoostRegressor
0.0,3.580638859751378,KNeighborsRegressor
0.0,0.7658833810323625,KNeighborsRegressor
0.951,4.40097978993645,KNeighborsRegressor
9.223,6.922061561326753,KNeighborsRegressor
7.666,4.3657121690366605,KNeighborsRegressor
7.545,6.7660002742434875,KNeighborsRegressor
6.632,6.005972029657384,KNeighborsRegressor
0.0,0.17601854035134856,KNeighborsRegressor
