Actual,Predicted,Model
0.0,-0.6196165742015793,Ridge
0.0,-1.6190666581951172,Ridge
0.951,1.7670651118923066,Ridge
9.223,8.39222178571734,Ridge
7.666,8.55228540876767,Ridge
7.545,7.842374203866912,Ridge
6.632,7.8159876434714555,Ridge
0.0,-0.6107786037332685,Ridge
4.722,6.277147222694773,Ridge
7.341,7.936342287642426,Ridge
5.001,6.055257690904906,Ridge
0.838,1.928776541482399,Ridge
4.603,5.952881558138107,Ridge
0.901,0.432261597898997,Ridge
7.225,8.00230675935179,Ridge
5.447,7.2383171377455495,Ridge
0.0,-2.0987694301593436,Ridge
8.771,7.740869045587983,Ridge
7.61,6.99883419069773,Ridge
5.111,4.218754610455828,Ridge
7.655,5.645619828162417,Ridge
0.0,5.85275,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.951,0.5165,DecisionTreeRegressor
9.223,8.427,DecisionTreeRegressor
7.666,7.132,DecisionTreeRegressor
7.545,6.0920000000000005,DecisionTreeRegressor
6.632,7.689666666666667,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.722,0.4865,DecisionTreeRegressor
7.341,8.4825,DecisionTreeRegressor
5.001,5.299499999999999,DecisionTreeRegressor
0.838,2.1012500000000003,DecisionTreeRegressor
4.603,1.542,DecisionTreeRegressor
0.901,0.8935,DecisionTreeRegressor
7.225,8.4825,DecisionTreeRegressor
5.447,6.489999999999999,DecisionTreeRegressor
0.0,2.1012500000000003,DecisionTreeRegressor
8.771,7.7090000000000005,DecisionTreeRegressor
7.61,7.034999999999999,DecisionTreeRegressor
5.111,0.9954999999999999,DecisionTreeRegressor
7.655,7.664,DecisionTreeRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.951,2.2028097950836836,GradientBoostingRegressor
9.223,6.4937469984183105,GradientBoostingRegressor
7.666,6.444035871485562,GradientBoostingRegressor
7.545,6.022421123939912,GradientBoostingRegressor
6.632,6.087223715204702,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
4.722,4.651280317684596,GradientBoostingRegressor
7.341,6.026441264450827,GradientBoostingRegressor
5.001,4.7227381084240205,GradientBoostingRegressor
0.838,2.2028097950836836,GradientBoostingRegressor
4.603,4.3920495224128935,GradientBoostingRegressor
0.901,2.196701686035609,GradientBoostingRegressor
7.225,6.444035871485562,GradientBoostingRegressor
5.447,5.615897840726304,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
8.771,6.444035871485562,GradientBoostingRegressor
7.61,6.444035871485562,GradientBoostingRegressor
5.111,4.651280317684596,GradientBoostingRegressor
7.655,6.4937469984183105,GradientBoostingRegressor
0.0,2.260185,RandomForestRegressor
0.0,0.408395,RandomForestRegressor
0.951,2.0840449999999997,RandomForestRegressor
9.223,6.794944999999997,RandomForestRegressor
7.666,5.8926250000000024,RandomForestRegressor
