Actual,Predicted,Model
0.0,-0.08335085607789416,Ridge
0.0,-0.8237221231617093,Ridge
0.951,1.7416885963734354,Ridge
9.223,8.369875287406284,Ridge
7.666,8.69915369659411,Ridge
7.545,7.535221838511001,Ridge
6.632,8.453293381930814,Ridge
0.0,-0.7536182768162982,Ridge
4.722,4.855720145437328,Ridge
7.341,7.5620118814955255,Ridge
5.001,5.744340199248948,Ridge
0.838,1.7327375651419734,Ridge
4.603,6.0642860493751725,Ridge
0.901,0.28702831159233444,Ridge
7.225,6.915253576419977,Ridge
5.447,6.741726045015209,Ridge
0.0,-1.9852932672703538,Ridge
8.771,7.373796029063703,Ridge
7.61,7.504806291913532,Ridge
5.111,4.1000737038661965,Ridge
7.655,7.218901573546416,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,1.009,DecisionTreeRegressor
0.951,8.507,DecisionTreeRegressor
9.223,6.284,DecisionTreeRegressor
7.666,5.076,DecisionTreeRegressor
7.545,7.918,DecisionTreeRegressor
6.632,7.209,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.722,9.056,DecisionTreeRegressor
7.341,3.611,DecisionTreeRegressor
5.001,8.507,DecisionTreeRegressor
0.838,1.081,DecisionTreeRegressor
4.603,8.014,DecisionTreeRegressor
0.901,0.922,DecisionTreeRegressor
7.225,7.714,DecisionTreeRegressor
5.447,7.777,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
8.771,6.032,DecisionTreeRegressor
7.61,7.597,DecisionTreeRegressor
5.111,3.677,DecisionTreeRegressor
7.655,4.528,DecisionTreeRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.951,2.2035162338919365,GradientBoostingRegressor
9.223,6.4937469984183105,GradientBoostingRegressor
7.666,6.444035871485562,GradientBoostingRegressor
7.545,6.022421123939912,GradientBoostingRegressor
6.632,6.087223715204702,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
4.722,4.654337024029519,GradientBoostingRegressor
7.341,6.026441264450827,GradientBoostingRegressor
5.001,4.715215893196252,GradientBoostingRegressor
0.838,2.2035162338919365,GradientBoostingRegressor
4.603,4.49708010270724,GradientBoostingRegressor
0.901,2.1962307268301062,GradientBoostingRegressor
7.225,6.444035871485562,GradientBoostingRegressor
5.447,5.615897840726304,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
8.771,6.444035871485562,GradientBoostingRegressor
7.61,6.444035871485562,GradientBoostingRegressor
5.111,4.654337024029519,GradientBoostingRegressor
7.655,6.4937469984183105,GradientBoostingRegressor
0.0,2.3915800000000007,RandomForestRegressor
0.0,0.4612799999999999,RandomForestRegressor
0.951,2.1493600000000006,RandomForestRegressor
9.223,6.788330000000001,RandomForestRegressor
7.666,5.58862,RandomForestRegressor
7.545,7.082139999999999,RandomForestRegressor
6.632,6.812600000000001,RandomForestRegressor
0.0,0.15046,RandomForestRegressor
4.722,5.6764899999999985,RandomForestRegressor
7.341,5.943610000000001,RandomForestRegressor
5.001,5.839439999999999,RandomForestRegressor
0.838,1.4099200000000005,RandomForestRegressor
4.603,5.830090000000005,RandomForestRegressor
0.901,0.5536000000000001,RandomForestRegressor
7.225,6.851110000000001,RandomForestRegressor
5.447,5.508420000000005,RandomForestRegressor
0.0,1.8051900000000005,RandomForestRegressor
8.771,7.509880000000005,RandomForestRegressor
7.61,6.915000000000001,RandomForestRegressor
5.111,4.205390000000001,RandomForestRegressor
7.655,6.693910000000001,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.951,0.9616842105263157,AdaBoostRegressor
9.223,7.8893620689655215,AdaBoostRegressor
7.666,7.644597014925378,AdaBoostRegressor
7.545,7.487346153846152,AdaBoostRegressor
6.632,7.629500000000002,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.722,4.616352941176468,AdaBoostRegressor
7.341,7.04314285714286,AdaBoostRegressor
5.001,4.958352941176469,AdaBoostRegressor
0.838,0.9610526315789475,AdaBoostRegressor
4.603,4.5841315789473684,AdaBoostRegressor
0.901,0.9574444444444443,AdaBoostRegressor
7.225,7.644597014925378,AdaBoostRegressor
5.447,7.04314285714286,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
8.771,7.941300000000001,AdaBoostRegressor
7.61,7.741224489795918,AdaBoostRegressor
5.111,4.659487804878051,AdaBoostRegressor
7.655,7.660250000000002,AdaBoostRegressor
0.0,5.036021298521612,KNeighborsRegressor
0.0,0.8234858294093163,KNeighborsRegressor
0.951,3.6928997618955464,KNeighborsRegressor
9.223,6.913874206737606,KNeighborsRegressor
7.666,4.492018884427506,KNeighborsRegressor
7.545,6.5177621208025975,KNeighborsRegressor
6.632,6.370792590588902,KNeighborsRegressor
0.0,0.17589616172347897,KNeighborsRegressor
4.722,7.4820655310660795,KNeighborsRegressor
7.341,5.9784504005004715,KNeighborsRegressor
5.001,7.223989796448271,KNeighborsRegressor
0.838,0.39520841522459454,KNeighborsRegressor
4.603,6.2955343369455035,KNeighborsRegressor
0.901,0.37726215101943683,KNeighborsRegressor
7.225,7.103478564915287,KNeighborsRegressor
5.447,6.879307717637377,KNeighborsRegressor
0.0,1.02723739347078,KNeighborsRegressor
8.771,8.516368741309897,KNeighborsRegressor
7.61,6.909079501419645,KNeighborsRegressor
5.111,3.4452907003914026,KNeighborsRegressor
7.655,7.704433812663873,KNeighborsRegressor
0.0,0.26489553206425887,MLPRegressor
0.0,0.3514970612301772,MLPRegressor
0.951,0.5105869527310097,MLPRegressor
9.223,7.998444215573345,MLPRegressor
7.666,7.883887008748298,MLPRegressor
7.545,8.404820323940113,MLPRegressor
6.632,8.66781520071197,MLPRegressor
0.0,-0.15880448236438827,MLPRegressor
4.722,6.102429256989351,MLPRegressor
7.341,6.443505344386146,MLPRegressor
5.001,5.6114914611666045,MLPRegressor
0.838,0.5759384781610474,MLPRegressor
4.603,7.359538664713726,MLPRegressor
0.901,0.2983011647007051,MLPRegressor
7.225,6.593234703818813,MLPRegressor
5.447,5.90906896466041,MLPRegressor
0.0,-0.10921287326783802,MLPRegressor
8.771,8.488682618346216,MLPRegressor
7.61,6.301129049574626,MLPRegressor
5.111,3.16696990653039,MLPRegressor
7.655,6.726780437796898,MLPRegressor
0.0,1.9452403681897126,ElasticNet
0.0,0.8127279980074773,ElasticNet
0.951,2.704166233558155,ElasticNet
9.223,5.9858948752112315,ElasticNet
7.666,5.6123541109048665,ElasticNet
7.545,7.505318203623154,ElasticNet
6.632,6.122008547594833,ElasticNet
0.0,0.7086491263445196,ElasticNet
4.722,5.512814249319856,ElasticNet
7.341,5.7036830093705895,ElasticNet
