Actual,Predicted,Model
0.0,-1.0562417460529794,Ridge
0.0,-0.9826683150626181,Ridge
0.0,3.3721646613848826,Ridge
3.882,5.776647932176697,Ridge
8.969,5.36351731998079,Ridge
7.156,7.006241296423752,Ridge
5.796,6.113831084417413,Ridge
0.0,-0.37503109536796586,Ridge
2.541,0.6189818540321248,Ridge
4.681,5.961539545002687,Ridge
3.634,4.177243373517648,Ridge
0.0,1.4884756101456453,Ridge
3.369,5.52407894362781,Ridge
0.0,-0.23759973239513954,Ridge
7.671,6.46741744175139,Ridge
6.807,6.0635464694368295,Ridge
0.0,-0.36292522176404063,Ridge
5.709,5.0301557496862195,Ridge
3.783,7.751439160288541,Ridge
5.042,2.181221694127398,Ridge
6.767,8.980112669026806,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,3.0195,DecisionTreeRegressor
3.882,3.01,DecisionTreeRegressor
8.969,5.337999999999999,DecisionTreeRegressor
7.156,-1412.7063333333333,DecisionTreeRegressor
5.796,2.7923333333333336,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,5.337999999999999,DecisionTreeRegressor
4.681,3.9285,DecisionTreeRegressor
3.634,7.4750000000000005,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
3.369,6.904,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,7.788500000000001,DecisionTreeRegressor
6.807,8.932,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.709,3.974,DecisionTreeRegressor
3.783,6.218500000000001,DecisionTreeRegressor
5.042,3.21875,DecisionTreeRegressor
6.767,3.01,DecisionTreeRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
3.882,3.3490227697568686,GradientBoostingRegressor
8.969,3.4593956387751845,GradientBoostingRegressor
7.156,3.4593956387751845,GradientBoostingRegressor
5.796,3.4593956387751845,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
2.541,3.25353218413846,GradientBoostingRegressor
4.681,3.25353218413846,GradientBoostingRegressor
3.634,3.25353218413846,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
3.369,3.2916893828883804,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
7.671,3.4593956387751845,GradientBoostingRegressor
6.807,3.4593956387751845,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
5.709,3.4593956387751845,GradientBoostingRegressor
3.783,3.4593956387751845,GradientBoostingRegressor
