Actual,Predicted,Model
0.0,0.3338706665069715,Ridge
0.0,2.6199850806310643,Ridge
0.0,4.405541313295945,Ridge
3.882,8.847902544856925,Ridge
8.969,-3.57525775156442,Ridge
7.156,1.5231484060305363,Ridge
5.796,10.832799699286365,Ridge
0.0,-0.3748640958331926,Ridge
2.541,-13.329973617817709,Ridge
4.681,7.726802415988189,Ridge
3.634,10.293206581552745,Ridge
0.0,3.108550824193742,Ridge
3.369,7.130514930108685,Ridge
0.0,3.156673510520214,Ridge
7.671,11.086958292723569,Ridge
6.807,7.184639789459755,Ridge
0.0,3.564016434260388,Ridge
5.709,2.8674031559447037,Ridge
3.783,13.52912074875271,Ridge
5.042,11.539327214581355,Ridge
6.767,11.986227323494031,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,6.857,DecisionTreeRegressor
3.882,0.0,DecisionTreeRegressor
8.969,0.0,DecisionTreeRegressor
7.156,6.9510000000000005,DecisionTreeRegressor
5.796,7.171,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,1.443,DecisionTreeRegressor
4.681,3.4295,DecisionTreeRegressor
3.634,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
3.369,8.264,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,7.6915,DecisionTreeRegressor
6.807,5.06,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.709,5.197,DecisionTreeRegressor
3.783,4.838,DecisionTreeRegressor
5.042,7.171,DecisionTreeRegressor
6.767,8.997,DecisionTreeRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
3.882,3.309511751340844,GradientBoostingRegressor
8.969,3.3653883254463244,GradientBoostingRegressor
7.156,3.3653883254463244,GradientBoostingRegressor
5.796,3.3653883254463244,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
2.541,3.261300070820627,GradientBoostingRegressor
4.681,3.286265925993731,GradientBoostingRegressor
3.634,3.286265925993731,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
3.369,3.280486563642374,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
7.671,3.3653883254463244,GradientBoostingRegressor
6.807,3.3653883254463244,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
5.709,3.3653883254463244,GradientBoostingRegressor
3.783,3.3653883254463244,GradientBoostingRegressor
5.042,3.280486563642374,GradientBoostingRegressor
6.767,3.3653883254463244,GradientBoostingRegressor
0.0,7.224,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,5.27,RandomForestRegressor
3.882,3.835,RandomForestRegressor
8.969,1.39,RandomForestRegressor
7.156,4.679,RandomForestRegressor
5.796,4.715,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.541,3.157,RandomForestRegressor
4.681,8.047,RandomForestRegressor
3.634,6.053999999999999,RandomForestRegressor
0.0,3.193,RandomForestRegressor
3.369,8.047,RandomForestRegressor
0.0,0.0,RandomForestRegressor
7.671,8.788,RandomForestRegressor
6.807,7.205,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.709,6.111,RandomForestRegressor
3.783,9.237,RandomForestRegressor
5.042,7.063,RandomForestRegressor
6.767,4.218,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
3.882,5.756666666666667,AdaBoostRegressor
8.969,8.050583333333334,AdaBoostRegressor
7.156,8.050583333333334,AdaBoostRegressor
5.796,8.050583333333334,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.541,2.76305,AdaBoostRegressor
4.681,3.094333333333333,AdaBoostRegressor
3.634,2.76305,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
3.369,2.76305,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
7.671,8.050583333333334,AdaBoostRegressor
6.807,8.050583333333334,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.709,5.756666666666667,AdaBoostRegressor
3.783,6.167461538461539,AdaBoostRegressor
5.042,4.013937500000001,AdaBoostRegressor
6.767,8.050583333333334,AdaBoostRegressor
0.0,2.552198063171884,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
0.0,1.7664737156699328,KNeighborsRegressor
3.882,4.82960727834846,KNeighborsRegressor
8.969,2.9182486720557503,KNeighborsRegressor
7.156,7.749595843120729,KNeighborsRegressor
5.796,3.2598737160577618,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
2.541,3.6925782085782983,KNeighborsRegressor
4.681,4.4606749008111635,KNeighborsRegressor
3.634,4.311103368421731,KNeighborsRegressor
0.0,1.1248858325257622,KNeighborsRegressor
3.369,4.570981324614974,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
7.671,7.415189180505446,KNeighborsRegressor
6.807,5.893617776988874,KNeighborsRegressor
0.0,2.43473902353302,KNeighborsRegressor
5.709,4.47735939953047,KNeighborsRegressor
3.783,5.83678645960744,KNeighborsRegressor
5.042,2.1091123948111203,KNeighborsRegressor
6.767,6.331619033435061,KNeighborsRegressor
0.0,-3.14360381176306,MLPRegressor
0.0,-0.9571769978827933,MLPRegressor
0.0,2.699427183242198,MLPRegressor
