Actual,Predicted,Model
0.0,-13.724310815642097,Ridge
0.0,7.9333193055813105,Ridge
0.0,-3.1477826162969027,Ridge
3.882,-2.0483404175733924,Ridge
8.969,3.8326707999440046,Ridge
7.156,0.10773860687016068,Ridge
5.796,8.530944117354146,Ridge
0.0,-4.435813136925146,Ridge
2.541,7.335294063552812,Ridge
4.681,4.536382386824549,Ridge
3.634,1.6053258343339785,Ridge
0.0,-10.457244956711794,Ridge
3.369,2.4123910759171245,Ridge
0.0,-2.5832875992484183,Ridge
7.671,3.2074507600373785,Ridge
6.807,7.404482064642927,Ridge
0.0,12.110875276194534,Ridge
5.709,-7.243887770891682,Ridge
3.783,-2.5630177484603855,Ridge
5.042,-3.5080252385654465,Ridge
6.767,1.6781619560187906,Ridge
0.0,1.154,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,1.317,DecisionTreeRegressor
3.882,1.215,DecisionTreeRegressor
8.969,0.0,DecisionTreeRegressor
7.156,4.207,DecisionTreeRegressor
5.796,5.933,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,1.39,DecisionTreeRegressor
4.681,6.857,DecisionTreeRegressor
3.634,0.0,DecisionTreeRegressor
0.0,4.022,DecisionTreeRegressor
3.369,7.054,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,6.857,DecisionTreeRegressor
6.807,0.0,DecisionTreeRegressor
0.0,1.5145,DecisionTreeRegressor
5.709,6.979,DecisionTreeRegressor
3.783,4.7385,DecisionTreeRegressor
5.042,0.0,DecisionTreeRegressor
6.767,4.965,DecisionTreeRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
3.882,3.425140878733516,GradientBoostingRegressor
8.969,3.6399802657014577,GradientBoostingRegressor
7.156,3.6399802657014577,GradientBoostingRegressor
5.796,3.6399802657014577,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
2.541,3.238819110635048,GradientBoostingRegressor
4.681,3.238819110635048,GradientBoostingRegressor
3.634,3.238819110635048,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
3.369,3.3158637588243973,GradientBoostingRegressor
