Actual,Predicted,Model
0.0,-1.1726093029047746,Ridge
0.0,-1.7403326849816807,Ridge
0.0,2.510004917991022,Ridge
3.882,5.538226172775232,Ridge
8.969,5.256344605910524,Ridge
7.156,6.904314808926564,Ridge
5.796,6.3095119078808075,Ridge
0.0,-0.6742360600065034,Ridge
2.541,-0.42056456351392413,Ridge
4.681,6.734696846162997,Ridge
3.634,5.558685912287125,Ridge
0.0,1.1560963307323817,Ridge
3.369,4.951672903916791,Ridge
0.0,0.2313069831136687,Ridge
7.671,6.863802292617237,Ridge
6.807,5.040948070592801,Ridge
0.0,0.37420919469088787,Ridge
5.709,3.5186546900431637,Ridge
3.783,6.899110678928107,Ridge
5.042,2.223358764335444,Ridge
6.767,8.234288497115866,Ridge
0.0,4.6785,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
3.882,8.3675,DecisionTreeRegressor
8.969,2.634,DecisionTreeRegressor
7.156,8.448,DecisionTreeRegressor
5.796,7.933,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,4.679,DecisionTreeRegressor
4.681,0.0,DecisionTreeRegressor
3.634,9.211,DecisionTreeRegressor
0.0,2.868,DecisionTreeRegressor
3.369,6.622,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,8.012,DecisionTreeRegressor
6.807,8.311,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.709,6.4445,DecisionTreeRegressor
3.783,3.056,DecisionTreeRegressor
5.042,9.211,DecisionTreeRegressor
6.767,7.205,DecisionTreeRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
3.882,3.425140878733516,GradientBoostingRegressor
8.969,3.6405010419623096,GradientBoostingRegressor
7.156,3.6405010419623096,GradientBoostingRegressor
5.796,3.6405010419623096,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
2.541,3.238819110635048,GradientBoostingRegressor
4.681,3.238819110635048,GradientBoostingRegressor
3.634,3.238819110635048,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
3.369,3.313271651592126,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
7.671,3.6405010419623096,GradientBoostingRegressor
6.807,3.6405010419623096,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
5.709,3.6405010419623096,GradientBoostingRegressor
3.783,3.6405010419623096,GradientBoostingRegressor
5.042,3.313271651592126,GradientBoostingRegressor
6.767,3.6405010419623096,GradientBoostingRegressor
0.0,8.311,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,7.641,RandomForestRegressor
3.882,5.745,RandomForestRegressor
8.969,7.263,RandomForestRegressor
7.156,6.550000000000001,RandomForestRegressor
5.796,5.745,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.541,4.7364999999999995,RandomForestRegressor
4.681,3.069,RandomForestRegressor
3.634,4.7685,RandomForestRegressor
0.0,4.715,RandomForestRegressor
3.369,4.7364999999999995,RandomForestRegressor
0.0,0.0,RandomForestRegressor
7.671,7.641,RandomForestRegressor
6.807,5.167,RandomForestRegressor
0.0,2.868,RandomForestRegressor
5.709,4.501,RandomForestRegressor
3.783,3.155,RandomForestRegressor
5.042,0.0,RandomForestRegressor
6.767,5.167,RandomForestRegressor
0.0,0.029861111111111116,AdaBoostRegressor
0.0,0.029861111111111116,AdaBoostRegressor
0.0,0.029861111111111116,AdaBoostRegressor
3.882,6.557058823529407,AdaBoostRegressor
8.969,6.557058823529407,AdaBoostRegressor
7.156,6.557058823529407,AdaBoostRegressor
5.796,6.557058823529407,AdaBoostRegressor
0.0,0.029861111111111116,AdaBoostRegressor
2.541,3.9010689655172404,AdaBoostRegressor
4.681,6.557058823529407,AdaBoostRegressor
3.634,3.9010689655172404,AdaBoostRegressor
0.0,0.029861111111111116,AdaBoostRegressor
3.369,3.9010689655172404,AdaBoostRegressor
0.0,0.029861111111111116,AdaBoostRegressor
7.671,6.557058823529407,AdaBoostRegressor
6.807,6.557058823529407,AdaBoostRegressor
0.0,0.029861111111111116,AdaBoostRegressor
5.709,6.557058823529407,AdaBoostRegressor
3.783,6.557058823529407,AdaBoostRegressor
