Actual,Predicted,Model
0.0,-2.2994739857349735,Ridge
0.0,-1.447462183192119,Ridge
0.0,3.5346337849675677,Ridge
3.882,5.453267863865186,Ridge
8.969,5.739050568829136,Ridge
7.156,6.09248587983619,Ridge
5.796,5.794152035696843,Ridge
0.0,-0.8364255859788692,Ridge
2.541,0.9513006167210385,Ridge
4.681,6.712615587667024,Ridge
3.634,3.474252474508681,Ridge
0.0,0.6715055980319669,Ridge
3.369,4.362593828438818,Ridge
0.0,0.14997475759360057,Ridge
7.671,8.533264243765629,Ridge
6.807,7.570397584507781,Ridge
0.0,-0.2901132373644053,Ridge
5.709,3.5477550396736,Ridge
3.783,7.711831566152128,Ridge
5.042,2.305378885628624,Ridge
6.767,7.984336574563859,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,5.3260000000000005,DecisionTreeRegressor
3.882,6.28,DecisionTreeRegressor
8.969,3.8349999999999995,DecisionTreeRegressor
7.156,6.28,DecisionTreeRegressor
5.796,-4256.491,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,5.142,DecisionTreeRegressor
4.681,6.28,DecisionTreeRegressor
3.634,5.3260000000000005,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
3.369,8.1375,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,6.7065,DecisionTreeRegressor
6.807,7.581333333333333,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.709,6.3103333333333325,DecisionTreeRegressor
3.783,8.1375,DecisionTreeRegressor
5.042,0.0,DecisionTreeRegressor
6.767,4.933666666666666,DecisionTreeRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
3.882,3.3490227697568686,GradientBoostingRegressor
8.969,3.4593956387751845,GradientBoostingRegressor
7.156,3.4593956387751845,GradientBoostingRegressor
5.796,3.4593956387751845,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
2.541,3.25353218413846,GradientBoostingRegressor
4.681,3.25353218413846,GradientBoostingRegressor
3.634,3.25353218413846,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
3.369,3.2916893828883804,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
7.671,3.4593956387751845,GradientBoostingRegressor
