Actual,Predicted,Model
0.0,-1.3311075203766087,Ridge
0.0,-1.371501734036336,Ridge
0.0,3.5520914163552675,Ridge
3.882,5.717633661022987,Ridge
8.969,6.224854327208167,Ridge
7.156,6.287274746484247,Ridge
5.796,6.2213554669717155,Ridge
0.0,-0.5829817239440587,Ridge
2.541,1.1140429204256321,Ridge
4.681,6.765760380274614,Ridge
3.634,4.0295087300989,Ridge
0.0,0.8807854924354821,Ridge
3.369,4.706219662813314,Ridge
0.0,0.10635761586995329,Ridge
7.671,7.660449891437757,Ridge
6.807,7.238350848796713,Ridge
0.0,-0.7533572293750552,Ridge
5.709,3.711767234153882,Ridge
3.783,7.509691747521259,Ridge
5.042,2.161238485172948,Ridge
6.767,8.599702809645027,Ridge
0.0,3.157,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,5.745,DecisionTreeRegressor
3.882,8.813,DecisionTreeRegressor
8.969,4.5255,DecisionTreeRegressor
7.156,6.856,DecisionTreeRegressor
5.796,4.168,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,1.505,DecisionTreeRegressor
4.681,3.745,DecisionTreeRegressor
3.634,4.488,DecisionTreeRegressor
0.0,3.613,DecisionTreeRegressor
3.369,6.351000000000001,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,3.745,DecisionTreeRegressor
6.807,7.445,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.709,6.6545000000000005,DecisionTreeRegressor
3.783,8.448,DecisionTreeRegressor
5.042,2.2555,DecisionTreeRegressor
6.767,3.974,DecisionTreeRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
3.882,3.425140878733516,GradientBoostingRegressor
8.969,3.6405010419623096,GradientBoostingRegressor
7.156,3.6405010419623096,GradientBoostingRegressor
5.796,3.6405010419623096,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
2.541,3.238819110635048,GradientBoostingRegressor
4.681,3.238819110635048,GradientBoostingRegressor
3.634,3.238819110635048,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
3.369,3.313271651592126,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
7.671,3.6405010419623096,GradientBoostingRegressor
6.807,3.6405010419623096,GradientBoostingRegressor
0.0,2.9577655289147144,GradientBoostingRegressor
5.709,3.6405010419623096,GradientBoostingRegressor
3.783,3.6405010419623096,GradientBoostingRegressor
5.042,3.313271651592126,GradientBoostingRegressor
6.767,3.6405010419623096,GradientBoostingRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
3.882,5.15,RandomForestRegressor
8.969,9.792,RandomForestRegressor
7.156,9.792,RandomForestRegressor
5.796,7.012,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.541,3.269,RandomForestRegressor
4.681,3.157,RandomForestRegressor
3.634,6.174,RandomForestRegressor
0.0,0.0,RandomForestRegressor
3.369,9.792,RandomForestRegressor
0.0,3.029,RandomForestRegressor
7.671,9.233,RandomForestRegressor
6.807,4.909,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.709,7.979,RandomForestRegressor
3.783,7.054,RandomForestRegressor
5.042,5.281,RandomForestRegressor
6.767,7.263,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
3.882,7.4852567567567565,AdaBoostRegressor
8.969,7.4852567567567565,AdaBoostRegressor
7.156,7.4852567567567565,AdaBoostRegressor
5.796,7.4852567567567565,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.541,3.3230512820512823,AdaBoostRegressor
4.681,3.79625,AdaBoostRegressor
3.634,3.3230512820512823,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
3.369,3.3230512820512823,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
7.671,7.4852567567567565,AdaBoostRegressor
6.807,7.4852567567567565,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.709,3.79625,AdaBoostRegressor
3.783,7.4852567567567565,AdaBoostRegressor
5.042,3.3230512820512823,AdaBoostRegressor
6.767,7.4852567567567565,AdaBoostRegressor
0.0,2.2903775340544428,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
0.0,1.8382886450687606,KNeighborsRegressor
3.882,4.136072447770103,KNeighborsRegressor
8.969,4.380901169262119,KNeighborsRegressor
7.156,7.742156130802781,KNeighborsRegressor
5.796,3.3304172694598444,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
2.541,4.5573349355414,KNeighborsRegressor
4.681,4.221283469262904,KNeighborsRegressor
3.634,5.64888713880224,KNeighborsRegressor
0.0,0.9319040911266955,KNeighborsRegressor
3.369,4.844942883702741,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
7.671,7.429779092743053,KNeighborsRegressor
6.807,5.073258902608877,KNeighborsRegressor
0.0,0.9078061616340435,KNeighborsRegressor
5.709,5.098659537166823,KNeighborsRegressor
3.783,5.676441664975183,KNeighborsRegressor
5.042,2.05711235541484,KNeighborsRegressor
6.767,6.0813182552646845,KNeighborsRegressor
0.0,-2.144266515095249,MLPRegressor
0.0,-1.965367605773411,MLPRegressor
0.0,2.928390179791389,MLPRegressor
3.882,4.664945528414954,MLPRegressor
8.969,7.272244896987256,MLPRegressor
7.156,7.483205804302072,MLPRegressor
5.796,6.0516886746109275,MLPRegressor
0.0,-0.78949102697054,MLPRegressor
2.541,2.6322089389083683,MLPRegressor
4.681,5.923922805550422,MLPRegressor
3.634,3.8121749476747127,MLPRegressor
0.0,1.2435150661122498,MLPRegressor
3.369,4.369462867428788,MLPRegressor
0.0,0.5574677729237547,MLPRegressor
7.671,5.995669622213349,MLPRegressor
6.807,8.135150609926612,MLPRegressor
0.0,-0.7226964567978365,MLPRegressor
5.709,3.8500978263121857,MLPRegressor
3.783,6.365690857557915,MLPRegressor
5.042,1.206240250225858,MLPRegressor
6.767,8.024507835391033,MLPRegressor
0.0,89.8990910767977,ElasticNet
0.0,3.8924947370589345,ElasticNet
0.0,29.25932393811644,ElasticNet
