Actual,Predicted,Model
0.0,-1.2671324594649462,Ridge
0.0,-1.0195763628926855,Ridge
0.0,3.710345635147114,Ridge
3.882,5.841982497892065,Ridge
8.969,6.090733469699249,Ridge
7.156,6.413560515006008,Ridge
5.796,6.305035321596183,Ridge
0.0,-0.5018988684805343,Ridge
2.541,1.0128979545129795,Ridge
4.681,6.782859031546604,Ridge
3.634,3.7303252750767477,Ridge
0.0,0.9734446681018945,Ridge
3.369,5.09495691475,Ridge
0.0,-0.28494363604043116,Ridge
7.671,7.269382173888296,Ridge
6.807,7.195661598019942,Ridge
0.0,-0.37855713756852793,Ridge
5.709,4.213546333754227,Ridge
3.783,7.690933784567655,Ridge
5.042,2.3785350759367248,Ridge
6.767,8.347771206194846,Ridge
0.0,7.063,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,7.641,DecisionTreeRegressor
3.882,2.079,DecisionTreeRegressor
8.969,8.126,DecisionTreeRegressor
7.156,6.111,DecisionTreeRegressor
5.796,6.61,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,5.139,DecisionTreeRegressor
4.681,3.613,DecisionTreeRegressor
3.634,6.857,DecisionTreeRegressor
0.0,6.923,DecisionTreeRegressor
3.369,2.634,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,0.0,DecisionTreeRegressor
6.807,3.155,DecisionTreeRegressor
0.0,2.868,DecisionTreeRegressor
5.709,8.853,DecisionTreeRegressor
3.783,0.0,DecisionTreeRegressor
5.042,6.029,DecisionTreeRegressor
6.767,8.448,DecisionTreeRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
3.882,3.3490227697568686,GradientBoostingRegressor
8.969,3.4593956387751845,GradientBoostingRegressor
7.156,3.4593956387751845,GradientBoostingRegressor
5.796,3.4593956387751845,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
2.541,3.25353218413846,GradientBoostingRegressor
4.681,3.25353218413846,GradientBoostingRegressor
3.634,3.25353218413846,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
3.369,3.2916893828883804,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
7.671,3.4593956387751845,GradientBoostingRegressor
6.807,3.4593956387751845,GradientBoostingRegressor
0.0,3.1094911985760953,GradientBoostingRegressor
5.709,3.4593956387751845,GradientBoostingRegressor
3.783,3.4593956387751845,GradientBoostingRegressor
5.042,3.2916893828883804,GradientBoostingRegressor
6.767,3.4593956387751845,GradientBoostingRegressor
0.0,3.155,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,6.029,RandomForestRegressor
3.882,2.95,RandomForestRegressor
8.969,7.979,RandomForestRegressor
7.156,6.755,RandomForestRegressor
5.796,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.541,0.0,RandomForestRegressor
4.681,0.0,RandomForestRegressor
3.634,3.155,RandomForestRegressor
0.0,2.95,RandomForestRegressor
3.369,2.358,RandomForestRegressor
0.0,0.0,RandomForestRegressor
7.671,6.174,RandomForestRegressor
6.807,5.138,RandomForestRegressor
0.0,2.95,RandomForestRegressor
5.709,7.641,RandomForestRegressor
3.783,2.845,RandomForestRegressor
5.042,0.0,RandomForestRegressor
6.767,7.979,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
3.882,7.01509090909091,AdaBoostRegressor
8.969,7.01509090909091,AdaBoostRegressor
7.156,7.01509090909091,AdaBoostRegressor
5.796,7.01509090909091,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.541,3.9047391304347827,AdaBoostRegressor
4.681,3.9047391304347827,AdaBoostRegressor
3.634,3.9047391304347827,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
3.369,7.01509090909091,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
7.671,7.01509090909091,AdaBoostRegressor
6.807,7.01509090909091,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.709,7.01509090909091,AdaBoostRegressor
3.783,3.9047391304347827,AdaBoostRegressor
5.042,7.01509090909091,AdaBoostRegressor
6.767,7.01509090909091,AdaBoostRegressor
0.0,2.8117577513805743,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
0.0,2.379260907804678,KNeighborsRegressor
3.882,3.999391333470707,KNeighborsRegressor
8.969,4.361040126610733,KNeighborsRegressor
7.156,7.740104125009712,KNeighborsRegressor
5.796,3.7037644444883115,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
2.541,4.558788547521344,KNeighborsRegressor
4.681,4.149847272353543,KNeighborsRegressor
3.634,5.2299145857062115,KNeighborsRegressor
0.0,0.933161629144461,KNeighborsRegressor
3.369,4.108664262344515,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
7.671,7.4290712788438835,KNeighborsRegressor
6.807,5.041650195663444,KNeighborsRegressor
0.0,0.7282088206315799,KNeighborsRegressor
5.709,4.245591724505273,KNeighborsRegressor
3.783,5.890788436831885,KNeighborsRegressor
5.042,2.047321180974657,KNeighborsRegressor
6.767,5.887706255318424,KNeighborsRegressor
0.0,-1.7389084263727925,MLPRegressor
0.0,-1.692580466764626,MLPRegressor
0.0,3.1634937195397193,MLPRegressor
3.882,4.934255963347618,MLPRegressor
8.969,6.433169041032404,MLPRegressor
7.156,7.391731815912484,MLPRegressor
5.796,6.448084132182769,MLPRegressor
0.0,-0.6635774995845752,MLPRegressor
2.541,2.0017903054905273,MLPRegressor
4.681,5.685679185924776,MLPRegressor
3.634,3.762945479407404,MLPRegressor
0.0,1.3425564479202188,MLPRegressor
3.369,4.702423820120439,MLPRegressor
0.0,0.27223355117826686,MLPRegressor
7.671,6.111934921640842,MLPRegressor
6.807,8.191846903244654,MLPRegressor
0.0,-0.7628656458271365,MLPRegressor
5.709,4.544060197172737,MLPRegressor
3.783,6.667453652762967,MLPRegressor
5.042,1.4905175751224413,MLPRegressor
6.767,8.12375729331765,MLPRegressor
0.0,88.01474802216495,ElasticNet
0.0,-2.849226998163671,ElasticNet
0.0,28.768075949701803,ElasticNet
3.882,6.079630389884636,ElasticNet
8.969,18.229413106713007,ElasticNet
7.156,-44.50141531559433,ElasticNet
5.796,-4.332507938378299,ElasticNet
0.0,1.6867745935436287,ElasticNet
2.541,28.11622960905637,ElasticNet
4.681,50.70826335151159,ElasticNet
3.634,28.069588746767575,ElasticNet
0.0,25.38330454567329,ElasticNet
3.369,62.61750274090322,ElasticNet
0.0,-23.75516256548813,ElasticNet
7.671,47.435084493432974,ElasticNet
6.807,-102.01669552963709,ElasticNet
0.0,87.24596759633864,ElasticNet
5.709,10.008585033938918,ElasticNet
3.783,6.780459130284922,ElasticNet
5.042,52.14194520815205,ElasticNet
6.767,62.16986465580461,ElasticNet
0.0,-1.6918773559796478,SGDRegressor
0.0,-9.36495111916729,SGDRegressor
0.0,-0.9716599416503181,SGDRegressor
3.882,21.60224816936419,SGDRegressor
8.969,6.143866563544583,SGDRegressor
7.156,11.437762670694,SGDRegressor
5.796,2.8164873663804775,SGDRegressor
0.0,-9.449547886389611,SGDRegressor
2.541,0.4705384927871805,SGDRegressor
4.681,7.239081859860157,SGDRegressor
3.634,5.267611399838557,SGDRegressor
0.0,-2.7858640587993397,SGDRegressor
3.369,2.1072986219060676,SGDRegressor
0.0,-3.63575361158395,SGDRegressor
7.671,17.549416152821657,SGDRegressor
6.807,-7.923759635250253,SGDRegressor
0.0,-15.145342812890448,SGDRegressor
5.709,5.346441719846174,SGDRegressor
3.783,16.41189160765951,SGDRegressor
5.042,8.893238190498499,SGDRegressor
6.767,16.65046075621062,SGDRegressor
0.0,-1.7339536144338012,BayesianRidge
0.0,-1.683597295973101,BayesianRidge
0.0,3.1699341280672044,BayesianRidge
3.882,4.946217370601278,BayesianRidge
8.969,6.428632481183914,BayesianRidge
7.156,7.378428939127424,BayesianRidge
5.796,6.4473398023277575,BayesianRidge
0.0,-0.6600598792034162,BayesianRidge
2.541,1.9922156538288789,BayesianRidge
4.681,5.699401636780674,BayesianRidge
3.634,3.7641813283810173,BayesianRidge
0.0,1.3374583560714193,BayesianRidge
3.369,4.70749754930614,BayesianRidge
0.0,0.26694123085124133,BayesianRidge
7.671,6.123599787308599,BayesianRidge
6.807,8.186369475567055,BayesianRidge
0.0,-0.7592632549409046,BayesianRidge
5.709,4.540824455137557,BayesianRidge
3.783,6.679215028912296,BayesianRidge
5.042,1.501668233537231,BayesianRidge
6.767,8.122059145804037,BayesianRidge
0.0,-1.7336488586151972,KernelRidge
0.0,-1.6831562577281147,KernelRidge
0.0,3.1702949041500688,KernelRidge
3.882,4.9468129791202955,KernelRidge
8.969,6.428413796791574,KernelRidge
7.156,7.37779690354364,KernelRidge
5.796,6.44724477751879,KernelRidge
0.0,-0.6599506428756285,KernelRidge
2.541,1.9915675048250705,KernelRidge
4.681,5.700118293869309,KernelRidge
3.634,3.76416636040085,KernelRidge
0.0,1.337220782210352,KernelRidge
3.369,4.707752788846847,KernelRidge
0.0,0.26658018212765455,KernelRidge
7.671,6.124352530110627,KernelRidge
6.807,8.185734892904293,KernelRidge
0.0,-0.7590168834722135,KernelRidge
5.709,4.540606987022329,KernelRidge
3.783,6.679889855033252,KernelRidge
5.042,1.5022423169575632,KernelRidge
6.767,8.122211260197219,KernelRidge
0.0,-1.7392796602844207,LinearRegression
0.0,-1.6913145649849142,LinearRegression
0.0,3.163624128632062,LinearRegression
3.882,4.935789047241112,LinearRegression
8.969,6.4324843403212135,LinearRegression
7.156,7.389529657943768,LinearRegression
5.796,6.449024222878567,LinearRegression
0.0,-0.6619588109863841,LinearRegression
2.541,2.0036003021710975,LinearRegression
4.681,5.686851082635368,LinearRegression
3.634,3.7644600084654414,LinearRegression
0.0,1.3416418798184289,LinearRegression
3.369,4.703039278210433,LinearRegression
