Actual,Predicted,Model
10.0,11.308050214244982,Ridge
10.0,8.728540639361182,Ridge
10.0,6.6229139619626,Ridge
4.814,3.233764835801103,Ridge
1.801,4.282584195164004,Ridge
1.741,-0.07349573194317394,Ridge
1.549,3.3267114276089025,Ridge
6.399,7.770795330618056,Ridge
4.206,3.7346265401207073,Ridge
2.601,1.8700589221189898,Ridge
2.145,1.7288175814000732,Ridge
10.0,9.727005196262581,Ridge
3.684,5.794771683482514,Ridge
6.399,5.619088493549972,Ridge
2.077,0.5535443602057715,Ridge
1.472,3.778312041779788,Ridge
5.678,8.308314690852024,Ridge
2.905,3.281887038117561,Ridge
3.862,3.826258102237151,Ridge
2.458,5.020789879502906,Ridge
4.516,2.26750204247255,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,3.923666666666667,DecisionTreeRegressor
1.801,3.8806666666666665,DecisionTreeRegressor
1.741,2.0895,DecisionTreeRegressor
1.549,1.0270000000000001,DecisionTreeRegressor
6.399,4.957666666666667,DecisionTreeRegressor
4.206,5.297,DecisionTreeRegressor
2.601,2.8945,DecisionTreeRegressor
2.145,1.61,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,2.08,DecisionTreeRegressor
6.399,8.199,DecisionTreeRegressor
2.077,3.707,DecisionTreeRegressor
1.472,7.559,DecisionTreeRegressor
5.678,10.0,DecisionTreeRegressor
2.905,3.8806666666666665,DecisionTreeRegressor
3.862,3.707,DecisionTreeRegressor
2.458,4.41075,DecisionTreeRegressor
4.516,2.92875,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.289873276106213,GradientBoostingRegressor
1.801,3.0743080929398303,GradientBoostingRegressor
1.741,3.3756830494657883,GradientBoostingRegressor
1.549,3.2062960628654587,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
