Actual,Predicted,Model
10.0,12.010887774135412,Ridge
10.0,10.846351279546056,Ridge
10.0,7.1973540705861865,Ridge
4.814,3.3958436009362156,Ridge
1.801,4.320419513861626,Ridge
1.741,-0.9335235428555944,Ridge
1.549,4.122693557880908,Ridge
6.399,8.069302938487741,Ridge
4.206,3.677496063942559,Ridge
2.601,-0.47886198228677834,Ridge
2.145,2.5821849912464665,Ridge
10.0,10.198061772073023,Ridge
3.684,4.811341865196126,Ridge
6.399,5.4022062413274945,Ridge
2.077,-0.28537701628996004,Ridge
1.472,1.554270963062104,Ridge
5.678,10.9330304798943,Ridge
2.905,3.4843240553297,Ridge
3.862,2.555161959147115,Ridge
2.458,3.891483724781234,Ridge
4.516,1.506704628962508,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,8.019,DecisionTreeRegressor
4.814,2.648,DecisionTreeRegressor
1.801,0.054,DecisionTreeRegressor
1.741,1.3865,DecisionTreeRegressor
1.549,3.8415,DecisionTreeRegressor
6.399,10.0,DecisionTreeRegressor
4.206,5.2005,DecisionTreeRegressor
2.601,3.517,DecisionTreeRegressor
2.145,0.5825,DecisionTreeRegressor
10.0,3.888,DecisionTreeRegressor
3.684,1.309,DecisionTreeRegressor
6.399,10.0,DecisionTreeRegressor
2.077,4.706,DecisionTreeRegressor
1.472,2.402,DecisionTreeRegressor
5.678,10.0,DecisionTreeRegressor
2.905,1.309,DecisionTreeRegressor
3.862,4.148999999999999,DecisionTreeRegressor
2.458,3.361,DecisionTreeRegressor
4.516,4.418,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.361142757643217,GradientBoostingRegressor
1.801,2.9948532621016115,GradientBoostingRegressor
1.741,3.324162453423474,GradientBoostingRegressor
1.549,3.1052365146818808,GradientBoostingRegressor
6.399,6.0912888544047386,GradientBoostingRegressor
4.206,4.135982814270177,GradientBoostingRegressor
2.601,3.4259270070029926,GradientBoostingRegressor
2.145,3.0780985808671573,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.4361694341232707,GradientBoostingRegressor
6.399,6.0912888544047386,GradientBoostingRegressor
2.077,3.715943060430693,GradientBoostingRegressor
1.472,3.0355999488550784,GradientBoostingRegressor
5.678,5.943629319144348,GradientBoostingRegressor
2.905,3.4274319184747664,GradientBoostingRegressor
3.862,4.086761916444098,GradientBoostingRegressor
2.458,2.8656435283389783,GradientBoostingRegressor
4.516,4.086761916444098,GradientBoostingRegressor
10.0,8.7028,RandomForestRegressor
10.0,9.26266,RandomForestRegressor
10.0,7.03116,RandomForestRegressor
4.814,4.005999999999999,RandomForestRegressor
1.801,2.7470200000000005,RandomForestRegressor
1.741,2.5010200000000005,RandomForestRegressor
1.549,2.0159800000000003,RandomForestRegressor
6.399,6.6290400000000025,RandomForestRegressor
4.206,4.65476,RandomForestRegressor
2.601,3.15108,RandomForestRegressor
2.145,2.0060200000000004,RandomForestRegressor
10.0,8.21664,RandomForestRegressor
3.684,3.0159,RandomForestRegressor
6.399,6.616500000000001,RandomForestRegressor
2.077,3.1507599999999996,RandomForestRegressor
1.472,5.147539999999998,RandomForestRegressor
5.678,5.684379999999999,RandomForestRegressor
2.905,3.220020000000001,RandomForestRegressor
3.862,3.257660000000001,RandomForestRegressor
2.458,4.07296,RandomForestRegressor
4.516,3.3146000000000004,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,3.6327999999999987,AdaBoostRegressor
1.801,1.8545000000000003,AdaBoostRegressor
1.741,2.473954545454546,AdaBoostRegressor
1.549,1.6452799999999999,AdaBoostRegressor
6.399,7.102409090909092,AdaBoostRegressor
4.206,3.218189189189189,AdaBoostRegressor
2.601,3.359446153846154,AdaBoostRegressor
2.145,1.4392499999999997,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.86608888888889,AdaBoostRegressor
6.399,7.168235294117647,AdaBoostRegressor
2.077,1.8862999999999999,AdaBoostRegressor
1.472,2.9021509433962285,AdaBoostRegressor
5.678,6.999,AdaBoostRegressor
2.905,3.359446153846154,AdaBoostRegressor
3.862,2.9009444444444448,AdaBoostRegressor
2.458,1.373,AdaBoostRegressor
4.516,2.7781333333333333,AdaBoostRegressor
10.0,7.625153523541128,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,3.0967801354530358,KNeighborsRegressor
4.814,4.187437368929623,KNeighborsRegressor
1.801,4.840249718065977,KNeighborsRegressor
1.741,1.9017556346685345,KNeighborsRegressor
1.549,2.784356090288893,KNeighborsRegressor
6.399,8.671954378015258,KNeighborsRegressor
4.206,5.46182346892797,KNeighborsRegressor
2.601,2.6853165337624954,KNeighborsRegressor
2.145,1.516098538064631,KNeighborsRegressor
10.0,8.41236121921731,KNeighborsRegressor
3.684,3.0767265270987334,KNeighborsRegressor
6.399,9.138086292121427,KNeighborsRegressor
2.077,1.9678375926884835,KNeighborsRegressor
1.472,3.046323051255402,KNeighborsRegressor
5.678,6.788932027802804,KNeighborsRegressor
2.905,3.0820708790159905,KNeighborsRegressor
3.862,3.323787156663821,KNeighborsRegressor
2.458,6.557363598095733,KNeighborsRegressor
4.516,2.7308141527595047,KNeighborsRegressor
10.0,10.396133208212401,MLPRegressor
10.0,9.896827264818238,MLPRegressor
10.0,6.949640849011231,MLPRegressor
4.814,4.4252955221152055,MLPRegressor
1.801,1.3417006613414826,MLPRegressor
1.741,1.9000849383857124,MLPRegressor
1.549,1.9943397856662584,MLPRegressor
6.399,5.703157923957203,MLPRegressor
4.206,4.087105407277988,MLPRegressor
2.601,1.999879977399849,MLPRegressor
2.145,0.6001658173206408,MLPRegressor
10.0,10.031601376668595,MLPRegressor
3.684,3.5908571683801935,MLPRegressor
6.399,5.186367763787132,MLPRegressor
2.077,2.0376373858695715,MLPRegressor
1.472,2.061940534525815,MLPRegressor
5.678,10.266520011656072,MLPRegressor
2.905,3.3735839670397842,MLPRegressor
3.862,3.7315146652238966,MLPRegressor
2.458,2.228529397100197,MLPRegressor
4.516,3.6218362171254133,MLPRegressor
10.0,7.569133596438709,ElasticNet
10.0,7.650914802251541,ElasticNet
10.0,6.0712649557877745,ElasticNet
4.814,3.7167870594536208,ElasticNet
1.801,2.5773818954638026,ElasticNet
1.741,1.9344617495835883,ElasticNet
1.549,3.452084516305702,ElasticNet
6.399,7.156753062655366,ElasticNet
4.206,4.701749834927436,ElasticNet
2.601,2.6182978141375792,ElasticNet
2.145,3.4389957260931663,ElasticNet
10.0,6.949573490994272,ElasticNet
3.684,4.697994775843501,ElasticNet
6.399,6.756436548377226,ElasticNet
2.077,2.3545708220787667,ElasticNet
1.472,4.295567824163942,ElasticNet
5.678,6.576952958209034,ElasticNet
2.905,2.6249519344449217,ElasticNet
3.862,3.8051610578500563,ElasticNet
2.458,3.2575801995374194,ElasticNet
4.516,3.914485141395273,ElasticNet
10.0,10.63991746103316,SGDRegressor
10.0,10.358404160470627,SGDRegressor
10.0,7.572516821608911,SGDRegressor
4.814,3.895205579163384,SGDRegressor
1.801,4.092082880907704,SGDRegressor
1.741,-1.0761860617913968,SGDRegressor
1.549,4.415050222537592,SGDRegressor
6.399,8.142748236663003,SGDRegressor
4.206,3.100520104351954,SGDRegressor
2.601,-0.06307229888644983,SGDRegressor
2.145,3.1231078746908545,SGDRegressor
10.0,9.709061810814308,SGDRegressor
3.684,3.3936859894418774,SGDRegressor
6.399,5.917225539608545,SGDRegressor
2.077,0.09017844550311516,SGDRegressor
1.472,-0.01542981871798954,SGDRegressor
5.678,10.935115340928778,SGDRegressor
2.905,2.1504877527527753,SGDRegressor
3.862,2.02095439342718,SGDRegressor
2.458,3.9146477078274025,SGDRegressor
4.516,3.4396429898652716,SGDRegressor
10.0,10.589796121114848,BayesianRidge
10.0,9.783321727378242,BayesianRidge
10.0,6.359363514881402,BayesianRidge
4.814,4.760938787529038,BayesianRidge
1.801,2.841683322350373,BayesianRidge
1.741,-0.3831458443447646,BayesianRidge
1.549,3.3560449062334543,BayesianRidge
6.399,7.686480416517259,BayesianRidge
4.206,4.149029693333741,BayesianRidge
2.601,1.2715926799305408,BayesianRidge
2.145,2.9680576886315575,BayesianRidge
10.0,9.697136921123189,BayesianRidge
3.684,4.695764743122461,BayesianRidge
6.399,6.410550313876403,BayesianRidge
2.077,0.8967062197922235,BayesianRidge
1.472,2.1907085957933967,BayesianRidge
5.678,9.231460155343395,BayesianRidge
2.905,2.831737850610203,BayesianRidge
3.862,2.9556697031735464,BayesianRidge
2.458,3.709609992361911,BayesianRidge
4.516,3.131669209815292,BayesianRidge
10.0,7.3636593283272935,KernelRidge
10.0,10.843974869287843,KernelRidge
10.0,6.249663496225093,KernelRidge
4.814,3.9749014753910736,KernelRidge
1.801,2.8384254524523667,KernelRidge
1.741,0.9077618151142182,KernelRidge
1.549,2.7396452126351813,KernelRidge
6.399,8.201847731860259,KernelRidge
4.206,2.9010025356425384,KernelRidge
2.601,1.8749816909974086,KernelRidge
2.145,2.064015142898423,KernelRidge
10.0,8.53146809643945,KernelRidge
3.684,4.616715985187746,KernelRidge
6.399,6.7739740445737,KernelRidge
2.077,1.0349775693868934,KernelRidge
1.472,1.5508923276224564,KernelRidge
5.678,5.857909281918621,KernelRidge
2.905,3.246791116933422,KernelRidge
3.862,3.2441522463009376,KernelRidge
2.458,4.56514341560705,KernelRidge
4.516,2.5322678443341498,KernelRidge
10.0,6.720956256461517,LinearRegression
10.0,5.354957904930083,LinearRegression
10.0,1.8288983111487815,LinearRegression
4.814,1.1615513714428152,LinearRegression
1.801,-2.1666944778231643,LinearRegression
1.741,-4.1604350443837355,LinearRegression
1.549,-0.607818164855435,LinearRegression
6.399,2.84124084820295,LinearRegression
4.206,-0.5807578977611944,LinearRegression
2.601,-4.658970540319916,LinearRegression
2.145,-2.0174211082056606,LinearRegression
