Actual,Predicted,Model
10.0,13.330716482407688,Ridge
10.0,9.835650063988076,Ridge
10.0,7.719727668045056,Ridge
4.814,2.4611441013912545,Ridge
1.801,2.4049864832494476,Ridge
1.741,0.851214189149343,Ridge
1.549,3.3336859227399103,Ridge
6.399,8.277885779371147,Ridge
4.206,1.8511996041362648,Ridge
2.601,-1.497016833468753,Ridge
2.145,1.5537346230769282,Ridge
10.0,10.756843022596492,Ridge
3.684,4.513232040217126,Ridge
6.399,6.410570186697409,Ridge
2.077,-0.7427200826705773,Ridge
1.472,2.948702554788838,Ridge
5.678,10.457869150114874,Ridge
2.905,3.7499099539415695,Ridge
3.862,3.63232895147414,Ridge
2.458,4.312155256961741,Ridge
4.516,2.8779079495788,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,4.291,DecisionTreeRegressor
1.801,0.54,DecisionTreeRegressor
1.741,3.265,DecisionTreeRegressor
1.549,1.612,DecisionTreeRegressor
6.399,6.038,DecisionTreeRegressor
4.206,4.91,DecisionTreeRegressor
2.601,3.361,DecisionTreeRegressor
2.145,3.361,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,2.924,DecisionTreeRegressor
6.399,3.517,DecisionTreeRegressor
2.077,3.595,DecisionTreeRegressor
1.472,3.265,DecisionTreeRegressor
5.678,10.0,DecisionTreeRegressor
2.905,2.924,DecisionTreeRegressor
3.862,3.817,DecisionTreeRegressor
2.458,5.104,DecisionTreeRegressor
4.516,3.817,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.2859336518549895,GradientBoostingRegressor
1.801,3.0706464784427774,GradientBoostingRegressor
1.741,3.3795715959590935,GradientBoostingRegressor
1.549,3.214721739539604,GradientBoostingRegressor
6.399,6.083686116138424,GradientBoostingRegressor
4.206,4.058188093645094,GradientBoostingRegressor
2.601,3.4152716682633955,GradientBoostingRegressor
2.145,3.1312455096642076,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.4651693147663543,GradientBoostingRegressor
6.399,6.083686116138424,GradientBoostingRegressor
2.077,3.771949643976776,GradientBoostingRegressor
1.472,3.112747609762419,GradientBoostingRegressor
5.678,5.995087656132424,GradientBoostingRegressor
2.905,3.4294692424620523,GradientBoostingRegressor
3.862,4.2342456893797715,GradientBoostingRegressor
2.458,2.8648578093419723,GradientBoostingRegressor
4.516,4.2342456893797715,GradientBoostingRegressor
10.0,7.84962,RandomForestRegressor
10.0,9.40912,RandomForestRegressor
10.0,6.933600000000001,RandomForestRegressor
4.814,4.304970000000001,RandomForestRegressor
1.801,3.2542,RandomForestRegressor
1.741,2.569680000000001,RandomForestRegressor
1.549,2.4378200000000003,RandomForestRegressor
6.399,6.965180000000003,RandomForestRegressor
4.206,4.29292,RandomForestRegressor
2.601,3.686619999999999,RandomForestRegressor
2.145,1.7463799999999998,RandomForestRegressor
10.0,8.328140000000001,RandomForestRegressor
3.684,3.0816100000000004,RandomForestRegressor
6.399,7.073260000000001,RandomForestRegressor
2.077,3.234480000000001,RandomForestRegressor
1.472,4.166919999999999,RandomForestRegressor
5.678,6.134000000000001,RandomForestRegressor
2.905,3.74536,RandomForestRegressor
3.862,3.06178,RandomForestRegressor
2.458,4.01204,RandomForestRegressor
4.516,3.6863399999999995,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,3.3039420289855075,AdaBoostRegressor
1.801,2.7206111111111118,AdaBoostRegressor
1.741,2.6537027027027027,AdaBoostRegressor
1.549,1.818045454545455,AdaBoostRegressor
6.399,6.97475,AdaBoostRegressor
4.206,3.272059523809524,AdaBoostRegressor
2.601,2.9491500000000004,AdaBoostRegressor
2.145,1.6671684210526319,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.178263157894738,AdaBoostRegressor
6.399,6.97475,AdaBoostRegressor
2.077,2.659714285714285,AdaBoostRegressor
1.472,2.9557999999999995,AdaBoostRegressor
5.678,6.84875,AdaBoostRegressor
2.905,2.9983333333333326,AdaBoostRegressor
3.862,3.0091428571428573,AdaBoostRegressor
2.458,1.8052261904761906,AdaBoostRegressor
4.516,2.9579767441860474,AdaBoostRegressor
10.0,7.721224833989272,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,6.313919937057874,KNeighborsRegressor
4.814,4.190122525073394,KNeighborsRegressor
1.801,3.9888666720898582,KNeighborsRegressor
1.741,2.274640602271126,KNeighborsRegressor
1.549,1.5223941985928546,KNeighborsRegressor
6.399,8.683646639201157,KNeighborsRegressor
4.206,5.569205769902416,KNeighborsRegressor
2.601,2.875607169659552,KNeighborsRegressor
2.145,1.2064644177609851,KNeighborsRegressor
10.0,8.352520733404702,KNeighborsRegressor
3.684,2.9534765614836886,KNeighborsRegressor
6.399,9.236133206750164,KNeighborsRegressor
2.077,2.0292353185987704,KNeighborsRegressor
1.472,2.8176370902082026,KNeighborsRegressor
5.678,8.330970351661273,KNeighborsRegressor
2.905,3.175949769414159,KNeighborsRegressor
3.862,3.105253609233122,KNeighborsRegressor
2.458,3.3475990420152444,KNeighborsRegressor
4.516,2.8958998171908026,KNeighborsRegressor
10.0,10.47429468890611,MLPRegressor
10.0,9.948325280155483,MLPRegressor
10.0,7.326437495947832,MLPRegressor
4.814,4.281606237852839,MLPRegressor
1.801,1.1181942267623004,MLPRegressor
1.741,1.7503688142666856,MLPRegressor
1.549,1.5906692077054387,MLPRegressor
6.399,7.016240297706397,MLPRegressor
4.206,2.964298031868193,MLPRegressor
2.601,1.1832966305381696,MLPRegressor
2.145,0.802827796700144,MLPRegressor
10.0,10.505416111972375,MLPRegressor
3.684,3.6095268628226815,MLPRegressor
6.399,7.789198557043735,MLPRegressor
2.077,1.9210683769019121,MLPRegressor
1.472,2.1251448725826423,MLPRegressor
5.678,10.404887368999157,MLPRegressor
2.905,3.3065510938697917,MLPRegressor
3.862,3.7857410552553854,MLPRegressor
2.458,3.0666846901058573,MLPRegressor
4.516,3.6967688781489243,MLPRegressor
10.0,7.562441351500555,ElasticNet
10.0,7.6565400671318855,ElasticNet
10.0,6.137233319209694,ElasticNet
4.814,3.7078951077200397,ElasticNet
1.801,2.661420430702378,ElasticNet
1.741,1.9933855813672472,ElasticNet
1.549,3.4794296735988874,ElasticNet
6.399,7.1276957931420615,ElasticNet
4.206,4.663056329703874,ElasticNet
2.601,2.5584099950529753,ElasticNet
2.145,3.4706192087664434,ElasticNet
