Actual,Predicted,Model
10.0,10.486632233549974,Ridge
10.0,9.596639672268797,Ridge
10.0,6.827654045791716,Ridge
4.814,3.5411659283306243,Ridge
1.801,4.0887298222188235,Ridge
1.741,-0.013262539841007559,Ridge
1.549,2.3873266337114343,Ridge
6.399,8.076732308339336,Ridge
4.206,2.6220697151431906,Ridge
2.601,0.9504093792075796,Ridge
2.145,1.1872516918676554,Ridge
10.0,9.821219934306672,Ridge
3.684,5.564222107310473,Ridge
6.399,6.180575230436393,Ridge
2.077,-0.07688892184137508,Ridge
1.472,4.330788229950646,Ridge
5.678,9.316634884348359,Ridge
2.905,2.363605436982357,Ridge
3.862,3.148134852321853,Ridge
2.458,5.243954729739562,Ridge
4.516,2.381653570260982,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,4.931,DecisionTreeRegressor
1.801,4.855,DecisionTreeRegressor
1.741,0.709,DecisionTreeRegressor
1.549,1.2465,DecisionTreeRegressor
6.399,7.659000000000001,DecisionTreeRegressor
4.206,4.3919999999999995,DecisionTreeRegressor
2.601,2.905,DecisionTreeRegressor
2.145,1.1575,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,3.265,DecisionTreeRegressor
6.399,6.399,DecisionTreeRegressor
2.077,3.7785,DecisionTreeRegressor
1.472,4.598,DecisionTreeRegressor
5.678,2.437,DecisionTreeRegressor
2.905,2.101,DecisionTreeRegressor
3.862,2.5605,DecisionTreeRegressor
2.458,2.472,DecisionTreeRegressor
4.516,2.738,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.254560232225087,GradientBoostingRegressor
1.801,3.1197004443957406,GradientBoostingRegressor
1.741,3.4063461420384664,GradientBoostingRegressor
1.549,3.095557205994048,GradientBoostingRegressor
6.399,6.083686116138424,GradientBoostingRegressor
4.206,4.022597539985278,GradientBoostingRegressor
2.601,3.409641720053937,GradientBoostingRegressor
2.145,3.001912056365113,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.4959847893919855,GradientBoostingRegressor
6.399,6.083686116138424,GradientBoostingRegressor
2.077,3.738329387160074,GradientBoostingRegressor
1.472,3.1598643183644164,GradientBoostingRegressor
5.678,5.995087656132424,GradientBoostingRegressor
2.905,3.486385461224509,GradientBoostingRegressor
3.862,4.185798989869424,GradientBoostingRegressor
2.458,2.824618038904014,GradientBoostingRegressor
4.516,4.185798989869424,GradientBoostingRegressor
10.0,8.24764173809524,RandomForestRegressor
10.0,9.271374166666666,RandomForestRegressor
10.0,7.033360690476189,RandomForestRegressor
4.814,3.907814235569985,RandomForestRegressor
1.801,3.2203800992063467,RandomForestRegressor
1.741,2.5706469942002452,RandomForestRegressor
1.549,2.3848072579365085,RandomForestRegressor
6.399,6.622917714285717,RandomForestRegressor
4.206,4.365911880952381,RandomForestRegressor
2.601,3.2399442976190485,RandomForestRegressor
2.145,2.6581380010822517,RandomForestRegressor
10.0,7.7014438015873,RandomForestRegressor
3.684,3.1416244051226543,RandomForestRegressor
6.399,6.411858869047619,RandomForestRegressor
2.077,3.076144128066378,RandomForestRegressor
1.472,4.748858630952382,RandomForestRegressor
