Actual,Predicted,Model
10.0,11.635457743322425,Ridge
10.0,9.028957699858386,Ridge
10.0,6.38530906241038,Ridge
4.814,0.9464911527909021,Ridge
1.801,1.8129984601820106,Ridge
1.741,0.7235087375232188,Ridge
1.549,3.163720368360642,Ridge
6.399,6.9183619562480345,Ridge
4.206,4.055117710668986,Ridge
2.601,-1.3876691353146917,Ridge
2.145,1.5699470908277409,Ridge
10.0,10.616713136741952,Ridge
3.684,3.878970197259176,Ridge
6.399,6.344116705598167,Ridge
2.077,-1.9416208557301147,Ridge
1.472,1.366838490325521,Ridge
5.678,10.389685835414113,Ridge
2.905,2.8633748650661515,Ridge
3.862,2.4955555659627464,Ridge
2.458,3.8789681628625803,Ridge
4.516,1.8279406686222233,Ridge
10.0,8.3195,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,6.218500000000001,DecisionTreeRegressor
4.814,4.856000000000001,DecisionTreeRegressor
1.801,0.766,DecisionTreeRegressor
1.741,2.115,DecisionTreeRegressor
1.549,1.675,DecisionTreeRegressor
6.399,5.798000000000001,DecisionTreeRegressor
4.206,5.2005,DecisionTreeRegressor
2.601,2.9739999999999998,DecisionTreeRegressor
2.145,1.2435,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,3.313,DecisionTreeRegressor
6.399,5.798000000000001,DecisionTreeRegressor
2.077,3.0410000000000004,DecisionTreeRegressor
1.472,4.958,DecisionTreeRegressor
5.678,6.218500000000001,DecisionTreeRegressor
2.905,3.888,DecisionTreeRegressor
3.862,3.7896666666666667,DecisionTreeRegressor
2.458,10.0,DecisionTreeRegressor
4.516,3.7896666666666667,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.294493923418925,GradientBoostingRegressor
1.801,3.036720703343892,GradientBoostingRegressor
1.741,3.3361791783845622,GradientBoostingRegressor
1.549,3.1675721601335183,GradientBoostingRegressor
6.399,6.072344656254485,GradientBoostingRegressor
4.206,4.056249835686041,GradientBoostingRegressor
2.601,3.428707333111182,GradientBoostingRegressor
2.145,3.091354061782489,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.470351616291966,GradientBoostingRegressor
6.399,6.072344656254485,GradientBoostingRegressor
2.077,3.791136065982133,GradientBoostingRegressor
1.472,3.12969181678254,GradientBoostingRegressor
5.678,6.044055636074504,GradientBoostingRegressor
2.905,3.461868119552977,GradientBoostingRegressor
3.862,4.250167852980484,GradientBoostingRegressor
2.458,2.8895446621096155,GradientBoostingRegressor
4.516,4.250167852980484,GradientBoostingRegressor
10.0,7.2904599999999995,RandomForestRegressor
10.0,9.43412,RandomForestRegressor
10.0,5.9988600000000005,RandomForestRegressor
4.814,3.9921999999999995,RandomForestRegressor
1.801,2.4617400000000003,RandomForestRegressor
1.741,2.3111,RandomForestRegressor
1.549,2.67142,RandomForestRegressor
6.399,6.590300000000002,RandomForestRegressor
4.206,4.627000000000001,RandomForestRegressor
2.601,3.3111800000000007,RandomForestRegressor
2.145,2.0270000000000006,RandomForestRegressor
10.0,7.9520800000000005,RandomForestRegressor
3.684,3.330720000000001,RandomForestRegressor
6.399,6.794740000000002,RandomForestRegressor
2.077,2.9565600000000005,RandomForestRegressor
1.472,3.9776599999999998,RandomForestRegressor
5.678,6.62478,RandomForestRegressor
2.905,3.539600000000002,RandomForestRegressor
3.862,3.4936799999999995,RandomForestRegressor
2.458,3.4979199999999993,RandomForestRegressor
4.516,3.501700000000001,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,3.9613823529411767,AdaBoostRegressor
1.801,2.8079393939393937,AdaBoostRegressor
1.741,2.6796842105263154,AdaBoostRegressor
1.549,2.14104411764706,AdaBoostRegressor
6.399,6.853473684210527,AdaBoostRegressor
4.206,3.800525423728815,AdaBoostRegressor
2.601,2.723818181818181,AdaBoostRegressor
2.145,2.0595633802816904,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,2.938028571428572,AdaBoostRegressor
6.399,6.853473684210527,AdaBoostRegressor
2.077,2.911833333333334,AdaBoostRegressor
1.472,2.938028571428572,AdaBoostRegressor
5.678,6.853473684210527,AdaBoostRegressor
2.905,2.8972368421052637,AdaBoostRegressor
3.862,3.37025,AdaBoostRegressor
2.458,1.647807692307693,AdaBoostRegressor
4.516,3.2538045977011496,AdaBoostRegressor
10.0,6.744420699441602,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,6.028696184493026,KNeighborsRegressor
4.814,4.168272907012328,KNeighborsRegressor
1.801,4.781417795241569,KNeighborsRegressor
1.741,2.228032546913029,KNeighborsRegressor
1.549,3.7171978318531873,KNeighborsRegressor
6.399,8.696835030256967,KNeighborsRegressor
4.206,5.584328864610528,KNeighborsRegressor
2.601,2.884262773246126,KNeighborsRegressor
2.145,1.2330649295962874,KNeighborsRegressor
10.0,8.381975328284963,KNeighborsRegressor
3.684,2.939368534177373,KNeighborsRegressor
6.399,8.700476598281725,KNeighborsRegressor
2.077,1.9614847994076003,KNeighborsRegressor
1.472,2.79709920499643,KNeighborsRegressor
5.678,7.813764732183767,KNeighborsRegressor
2.905,3.0640724688552927,KNeighborsRegressor
3.862,3.313258036375778,KNeighborsRegressor
2.458,5.129604053963074,KNeighborsRegressor
4.516,2.8048416391172566,KNeighborsRegressor
10.0,9.996583923574448,MLPRegressor
10.0,9.958622523292455,MLPRegressor
10.0,9.06680976668967,MLPRegressor
4.814,4.436214081486173,MLPRegressor
1.801,1.4017645491107076,MLPRegressor
1.741,2.1034856460780076,MLPRegressor
1.549,1.400758144414452,MLPRegressor
6.399,5.1883853814141725,MLPRegressor
4.206,3.476098595367792,MLPRegressor
2.601,1.7054884622304343,MLPRegressor
2.145,1.0258207596865387,MLPRegressor
10.0,10.052747889412142,MLPRegressor
3.684,4.177081711124036,MLPRegressor
6.399,4.927930822891321,MLPRegressor
2.077,1.879064008330094,MLPRegressor
1.472,1.9417324897788852,MLPRegressor
5.678,10.038344967283097,MLPRegressor
2.905,3.1554242098466645,MLPRegressor
3.862,4.196869824945927,MLPRegressor
2.458,4.398245883956276,MLPRegressor
4.516,3.575698476976271,MLPRegressor
10.0,7.506446590764002,ElasticNet
10.0,7.60159301681049,ElasticNet
10.0,6.1874111224083865,ElasticNet
4.814,3.6523664994924987,ElasticNet
1.801,2.7028510892651028,ElasticNet
1.741,2.0070677431517185,ElasticNet
1.549,3.5433867782788453,ElasticNet
6.399,7.049102696023784,ElasticNet
4.206,4.603822553161062,ElasticNet
2.601,2.481874401607815,ElasticNet
2.145,3.512581788832813,ElasticNet
10.0,6.884347209094029,ElasticNet
3.684,4.6002071981214705,ElasticNet
6.399,6.64645790267129,ElasticNet
2.077,2.359502828589109,ElasticNet
1.472,3.893778665714689,ElasticNet
5.678,6.734501681659817,ElasticNet
2.905,2.4545833646558646,ElasticNet
3.862,3.873763910727935,ElasticNet
2.458,3.4260823160330434,ElasticNet
4.516,3.804178801596498,ElasticNet
10.0,14.809599563777297,SGDRegressor
10.0,10.163771303462433,SGDRegressor
10.0,6.081291510383989,SGDRegressor
4.814,-3.3811369714215322,SGDRegressor
1.801,0.3869085532629244,SGDRegressor
1.741,3.4665194722657966,SGDRegressor
1.549,0.8516376612392973,SGDRegressor
6.399,10.762226614508467,SGDRegressor
4.206,-3.258293438982789,SGDRegressor
2.601,-0.0762213220163348,SGDRegressor
2.145,2.7952289643293575,SGDRegressor
10.0,13.302819015283127,SGDRegressor
3.684,1.6546471824742146,SGDRegressor
6.399,10.093441492172797,SGDRegressor
2.077,2.683463953349326,SGDRegressor
1.472,4.788254401348393,SGDRegressor
5.678,12.549879356787194,SGDRegressor
2.905,-1.567101464380113,SGDRegressor
3.862,11.842427910133544,SGDRegressor
2.458,2.433338052391552,SGDRegressor
4.516,2.9576738036061916,SGDRegressor
10.0,10.535228655922307,BayesianRidge
10.0,9.760411343502152,BayesianRidge
10.0,6.450361218288908,BayesianRidge
4.814,4.205634657151936,BayesianRidge
1.801,1.8503737354672878,BayesianRidge
1.741,-0.0995822601568861,BayesianRidge
1.549,3.1273120939899646,BayesianRidge
6.399,7.41343225363415,BayesianRidge
4.206,3.604480142048436,BayesianRidge
2.601,0.9271914671673103,BayesianRidge
2.145,2.781272231196513,BayesianRidge
10.0,10.220251624742065,BayesianRidge
3.684,4.144088717099883,BayesianRidge
6.399,6.729472573520287,BayesianRidge
2.077,0.7097686537602428,BayesianRidge
1.472,2.377144764101296,BayesianRidge
5.678,9.278609515660527,BayesianRidge
2.905,2.1446056644898777,BayesianRidge
3.862,3.3868167852785946,BayesianRidge
2.458,4.0598108544515235,BayesianRidge
4.516,3.3586843725790674,BayesianRidge
10.0,7.173436389003621,KernelRidge
10.0,10.255897987357512,KernelRidge
10.0,6.711837281575955,KernelRidge
4.814,3.8198926447426693,KernelRidge
1.801,2.5561059465112645,KernelRidge
1.741,0.9498758443787159,KernelRidge
1.549,2.944605189123929,KernelRidge
6.399,7.710648238100298,KernelRidge
4.206,2.813120057035748,KernelRidge
2.601,1.8235083598667727,KernelRidge
2.145,2.126890976098706,KernelRidge
10.0,8.660727673102116,KernelRidge
3.684,3.8197465930024745,KernelRidge
6.399,6.3300943117759605,KernelRidge
2.077,1.148990660545994,KernelRidge
1.472,1.4358966229074515,KernelRidge
5.678,5.993106733109115,KernelRidge
2.905,2.9890679909832247,KernelRidge
3.862,3.369873846185458,KernelRidge
2.458,4.354608034081732,KernelRidge
4.516,3.2755884350884235,KernelRidge
10.0,7.118740602002606,LinearRegression
10.0,5.94083882368138,LinearRegression
10.0,2.555833542539209,LinearRegression
4.814,-0.06295856506107193,LinearRegression
1.801,-3.411697771531469,LinearRegression
1.741,-3.4231851436665757,LinearRegression
1.549,-1.2408404249678358,LinearRegression
6.399,2.4744376608762417,LinearRegression
4.206,-1.722442545022141,LinearRegression
2.601,-4.667814049972978,LinearRegression
2.145,-2.282424604318308,LinearRegression
10.0,5.2469343889012166,LinearRegression
3.684,1.7762638682580605,LinearRegression
6.399,2.263796041713991,LinearRegression
2.077,-3.3224265676467604,LinearRegression
1.472,0.9489677990952939,LinearRegression
5.678,3.6024362008463746,LinearRegression
2.905,-2.9982719232560973,LinearRegression
3.862,-0.6338199950027167,LinearRegression
2.458,-2.0875823869078634,LinearRegression
4.516,-0.9205607191761765,LinearRegression
10.0,7.413970221896541,RANSACRegressor
10.0,3.467385085785595,RANSACRegressor
10.0,3.5289180461211984,RANSACRegressor
4.814,4.280923158226618,RANSACRegressor
1.801,1.7721019129146742,RANSACRegressor
1.741,1.2693549171886547,RANSACRegressor
1.549,2.306007758974227,RANSACRegressor
6.399,2.0300534894884636,RANSACRegressor
4.206,1.1017716840093195,RANSACRegressor
2.601,2.27688718844864,RANSACRegressor
2.145,2.482404003498961,RANSACRegressor
10.0,6.583483105724061,RANSACRegressor
3.684,4.835510864054431,RANSACRegressor
6.399,2.713754045924435,RANSACRegressor
2.077,3.387049582875994,RANSACRegressor
1.472,-1.3592666777952398,RANSACRegressor
5.678,4.94490760562972,RANSACRegressor
2.905,3.850639552868608,RANSACRegressor
3.862,5.091934654920859,RANSACRegressor
2.458,1.926830950232633,RANSACRegressor
4.516,7.187680816433227,RANSACRegressor
10.0,10.608269131739469,TheilSenRegressor
10.0,9.983847179963469,TheilSenRegressor
10.0,9.166420734004255,TheilSenRegressor
4.814,3.740885476341992,TheilSenRegressor
1.801,2.44754831722578,TheilSenRegressor
1.741,1.511548197603048,TheilSenRegressor
