Actual,Predicted,Model
10.0,11.721171905532552,Ridge
10.0,9.151274488949582,Ridge
10.0,6.551964261262808,Ridge
4.814,2.570881870204214,Ridge
1.801,2.2160521490392133,Ridge
1.741,-0.44185338094825877,Ridge
1.549,3.873704585629164,Ridge
6.399,6.853016705973225,Ridge
4.206,3.6054693289456896,Ridge
2.601,-1.0139847963628519,Ridge
2.145,2.220203612648875,Ridge
10.0,10.172336308408347,Ridge
3.684,4.3069258307261,Ridge
6.399,6.233163851471774,Ridge
2.077,-0.8955705919540708,Ridge
1.472,0.8888514769098599,Ridge
5.678,10.256231166709473,Ridge
2.905,1.992748564525594,Ridge
3.862,2.235026301767598,Ridge
2.458,4.3331139032148895,Ridge
4.516,1.6001822457053687,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,4.931,DecisionTreeRegressor
1.801,1.1276666666666666,DecisionTreeRegressor
1.741,2.3503333333333334,DecisionTreeRegressor
1.549,1.737,DecisionTreeRegressor
6.399,5.4385,DecisionTreeRegressor
4.206,5.1306666666666665,DecisionTreeRegressor
2.601,2.484,DecisionTreeRegressor
2.145,3.1125,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,3.2703333333333333,DecisionTreeRegressor
6.399,3.517,DecisionTreeRegressor
2.077,4.4175,DecisionTreeRegressor
1.472,2.501666666666667,DecisionTreeRegressor
5.678,5.798000000000001,DecisionTreeRegressor
2.905,2.214,DecisionTreeRegressor
3.862,2.501666666666667,DecisionTreeRegressor
2.458,1.04,DecisionTreeRegressor
4.516,4.152333333333334,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.28417548191671,GradientBoostingRegressor
1.801,3.065381996991586,GradientBoostingRegressor
1.741,3.3864492753070916,GradientBoostingRegressor
1.549,3.1922432516318153,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,4.0477260304314715,GradientBoostingRegressor
2.601,3.4134029802628874,GradientBoostingRegressor
2.145,3.0958267038889686,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.467753513641052,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.777940772592742,GradientBoostingRegressor
1.472,3.1221118339803886,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
