Actual,Predicted,Model
10.0,12.0956966970959,Ridge
10.0,9.83004477531427,Ridge
10.0,6.722109331730701,Ridge
4.814,3.238112070861745,Ridge
1.801,2.826401917314154,Ridge
1.741,-0.45862009797265824,Ridge
1.549,4.729440753815043,Ridge
6.399,7.144169560278742,Ridge
4.206,2.889871047130443,Ridge
2.601,-1.2305834461796499,Ridge
2.145,2.172815899297998,Ridge
10.0,10.361140882954667,Ridge
3.684,4.6037599658406325,Ridge
6.399,5.79091132514965,Ridge
2.077,-0.6649024591323176,Ridge
1.472,0.6515288922242357,Ridge
5.678,10.57737866543415,Ridge
2.905,3.179207120151511,Ridge
3.862,2.3193564783039142,Ridge
2.458,4.599058778350489,Ridge
4.516,1.4159167980369438,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,0.881,DecisionTreeRegressor
4.814,5.104,DecisionTreeRegressor
1.801,2.905,DecisionTreeRegressor
1.741,3.006,DecisionTreeRegressor
1.549,3.141,DecisionTreeRegressor
6.399,6.399,DecisionTreeRegressor
4.206,3.935,DecisionTreeRegressor
2.601,2.257,DecisionTreeRegressor
2.145,1.04,DecisionTreeRegressor
10.0,4.91,DecisionTreeRegressor
3.684,1.483,DecisionTreeRegressor
6.399,3.517,DecisionTreeRegressor
2.077,2.581,DecisionTreeRegressor
1.472,3.226,DecisionTreeRegressor
5.678,3.517,DecisionTreeRegressor
2.905,2.214,DecisionTreeRegressor
3.862,2.54,DecisionTreeRegressor
2.458,3.241,DecisionTreeRegressor
4.516,2.485,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.361142757643217,GradientBoostingRegressor
1.801,2.994853262101611,GradientBoostingRegressor
1.741,3.3241624534234733,GradientBoostingRegressor
1.549,3.1052365146818803,GradientBoostingRegressor
6.399,6.0912888544047386,GradientBoostingRegressor
4.206,4.135982814270177,GradientBoostingRegressor
2.601,3.425927007002992,GradientBoostingRegressor
2.145,3.078098580867157,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.4361694341232702,GradientBoostingRegressor
6.399,6.0912888544047386,GradientBoostingRegressor
2.077,3.6991590547713002,GradientBoostingRegressor
1.472,3.0355999488550784,GradientBoostingRegressor
5.678,5.943629319144348,GradientBoostingRegressor
2.905,3.427431918474766,GradientBoostingRegressor
3.862,4.086761916444098,GradientBoostingRegressor
2.458,2.8656435283389787,GradientBoostingRegressor
