Actual,Predicted,Model
-0.096,5.083269202474112,Ridge
0.229,0.062017733314311485,Ridge
0.279,4.676821737818921,Ridge
11.453,15.063634727805333,Ridge
0.542,-4.999436225407207,Ridge
4.57,2.613317121624305,Ridge
0.231,-1.2283962748699633,Ridge
-0.167,-0.5093626790256507,Ridge
11.453,-1.662620150890045,Ridge
0.141,5.406669206444095,Ridge
1.276,3.8666665237897466,Ridge
0.3,3.867294556918791,Ridge
11.453,15.824084997776577,Ridge
-0.029,1.5444875756020413,Ridge
5.387,8.035015645782364,Ridge
0.766,-2.8552743487290386,Ridge
0.361,6.1245161620090816,Ridge
5.185,9.26391237765347,Ridge
4.933,10.138128453375634,Ridge
0.29,5.533230107850496,Ridge
1.076,10.227802025449625,Ridge
-0.096,0.209,DecisionTreeRegressor
0.229,0.556,DecisionTreeRegressor
0.279,0.2485,DecisionTreeRegressor
11.453,3.8945,DecisionTreeRegressor
0.542,3.749,DecisionTreeRegressor
4.57,4.2965,DecisionTreeRegressor
0.231,8.1145,DecisionTreeRegressor
-0.167,0.556,DecisionTreeRegressor
11.453,0.195,DecisionTreeRegressor
0.141,0.343,DecisionTreeRegressor
1.276,0.229,DecisionTreeRegressor
0.3,5.9905,DecisionTreeRegressor
11.453,4.364,DecisionTreeRegressor
-0.029,-0.28400000000000003,DecisionTreeRegressor
5.387,4.906000000000001,DecisionTreeRegressor
0.766,4.611,DecisionTreeRegressor
0.361,11.453,DecisionTreeRegressor
5.185,4.078,DecisionTreeRegressor
4.933,4.364,DecisionTreeRegressor
0.29,0.277,DecisionTreeRegressor
1.076,4.078,DecisionTreeRegressor
-0.096,0.8012929514974939,GradientBoostingRegressor
0.229,0.8012929514974939,GradientBoostingRegressor
0.279,0.8012929514974939,GradientBoostingRegressor
11.453,1.0768076356800207,GradientBoostingRegressor
0.542,0.8012929514974939,GradientBoostingRegressor
4.57,0.9196207356926144,GradientBoostingRegressor
0.231,0.8012929514974939,GradientBoostingRegressor
-0.167,0.8012929514974939,GradientBoostingRegressor
11.453,0.8968073607220002,GradientBoostingRegressor
0.141,0.8012929514974939,GradientBoostingRegressor
1.276,0.8012929514974939,GradientBoostingRegressor
0.3,0.8012929514974939,GradientBoostingRegressor
11.453,0.9196207356926144,GradientBoostingRegressor
-0.029,0.8012929514974939,GradientBoostingRegressor
5.387,0.9196207356926144,GradientBoostingRegressor
0.766,0.8012929514974939,GradientBoostingRegressor
0.361,0.8012929514974939,GradientBoostingRegressor
5.185,0.8968073607220002,GradientBoostingRegressor
4.933,0.9196207356926144,GradientBoostingRegressor
0.29,0.8012929514974939,GradientBoostingRegressor
1.076,0.8012929514974939,GradientBoostingRegressor
-0.096,0.322,RandomForestRegressor
0.229,11.452999999999998,RandomForestRegressor
0.279,0.8,RandomForestRegressor
11.453,0.08,RandomForestRegressor
0.542,0.556,RandomForestRegressor
4.57,4.914,RandomForestRegressor
0.231,0.08,RandomForestRegressor
-0.167,-0.167,RandomForestRegressor
11.453,4.229,RandomForestRegressor
0.141,0.149,RandomForestRegressor
1.276,1.012,RandomForestRegressor
0.3,0.528,RandomForestRegressor
11.453,4.24,RandomForestRegressor
-0.029,0.122,RandomForestRegressor
5.387,4.141,RandomForestRegressor
0.766,0.774,RandomForestRegressor
0.361,1.079,RandomForestRegressor
5.185,11.453,RandomForestRegressor
4.933,4.498,RandomForestRegressor
0.29,0.116,RandomForestRegressor
1.076,0.876,RandomForestRegressor
-0.096,0.8817407407407409,AdaBoostRegressor
0.229,0.8817407407407409,AdaBoostRegressor
0.279,0.8817407407407409,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
0.542,0.8817407407407409,AdaBoostRegressor
4.57,4.447930555555556,AdaBoostRegressor
0.231,0.8817407407407409,AdaBoostRegressor
-0.167,0.8817407407407409,AdaBoostRegressor
11.453,4.447930555555556,AdaBoostRegressor
0.141,0.8817407407407409,AdaBoostRegressor
1.276,0.8817407407407409,AdaBoostRegressor
0.3,0.8817407407407409,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
-0.029,0.8817407407407409,AdaBoostRegressor
5.387,4.447930555555556,AdaBoostRegressor
0.766,0.8817407407407409,AdaBoostRegressor
0.361,0.8817407407407409,AdaBoostRegressor
5.185,4.447930555555556,AdaBoostRegressor
4.933,4.447930555555556,AdaBoostRegressor
0.29,0.8817407407407409,AdaBoostRegressor
1.076,0.8817407407407409,AdaBoostRegressor
-0.096,2.5896,KNeighborsRegressor
0.229,0.16899999999999998,KNeighborsRegressor
0.279,1.0011999999999999,KNeighborsRegressor
11.453,7.081999999999999,KNeighborsRegressor
0.542,0.3174,KNeighborsRegressor
4.57,2.6472,KNeighborsRegressor
0.231,1.416,KNeighborsRegressor
-0.167,0.04119999999999999,KNeighborsRegressor
11.453,3.8442,KNeighborsRegressor
0.141,1.682,KNeighborsRegressor
1.276,3.5757999999999996,KNeighborsRegressor
0.3,-0.1234,KNeighborsRegressor
11.453,4.148,KNeighborsRegressor
-0.029,0.041199999999999994,KNeighborsRegressor
5.387,3.9629999999999996,KNeighborsRegressor
0.766,4.690199999999999,KNeighborsRegressor
0.361,0.08700000000000001,KNeighborsRegressor
5.185,5.282,KNeighborsRegressor
4.933,4.642,KNeighborsRegressor
0.29,1.7979999999999996,KNeighborsRegressor
1.076,3.5436,KNeighborsRegressor
-0.096,-0.5558329946904204,MLPRegressor
0.229,-0.870202720911639,MLPRegressor
0.279,1.785776543824411,MLPRegressor
11.453,10.355700930705645,MLPRegressor
0.542,1.8372213348408972,MLPRegressor
4.57,5.70706740475683,MLPRegressor
0.231,-0.5327352219780321,MLPRegressor
-0.167,0.6256244591559866,MLPRegressor
11.453,9.695826258655853,MLPRegressor
0.141,2.210956303641847,MLPRegressor
1.276,0.902720306873381,MLPRegressor
0.3,1.5303536063011116,MLPRegressor
11.453,13.785980041317796,MLPRegressor
-0.029,1.4329284123836545,MLPRegressor
5.387,5.570721774960538,MLPRegressor
0.766,0.4427156788718132,MLPRegressor
0.361,2.769825646577751,MLPRegressor
5.185,6.254748777570201,MLPRegressor
4.933,4.631911050358892,MLPRegressor
0.29,-0.6923158196760772,MLPRegressor
1.076,5.605213552460626,MLPRegressor
-0.096,12.691084858636803,ElasticNet
0.229,4.166737083763775,ElasticNet
0.279,13.17787618910101,ElasticNet
11.453,13.430574709561034,ElasticNet
0.542,0.23282962390919415,ElasticNet
4.57,-0.7284855112004937,ElasticNet
0.231,15.112683352205458,ElasticNet
-0.167,5.546986464086763,ElasticNet
11.453,2.7363203747859797,ElasticNet
0.141,8.421862213247334,ElasticNet
1.276,10.681474728264703,ElasticNet
0.3,12.823358252982338,ElasticNet
11.453,23.392245713670526,ElasticNet
-0.029,4.267690896237774,ElasticNet
5.387,10.963565038435277,ElasticNet
0.766,-14.539221121376787,ElasticNet
0.361,16.840423406771492,ElasticNet
5.185,8.694056574428249,ElasticNet
4.933,8.687482340519662,ElasticNet
0.29,15.62924314335023,ElasticNet
1.076,6.356623736222889,ElasticNet
-0.096,0.1124655320733341,SGDRegressor
0.229,-0.14979940317890583,SGDRegressor
0.279,0.9104603986853891,SGDRegressor
11.453,11.33642418606946,SGDRegressor
0.542,1.1269252966711047,SGDRegressor
4.57,4.866117909837637,SGDRegressor
0.231,-0.5525782496062712,SGDRegressor
-0.167,0.025319903609743122,SGDRegressor
11.453,11.335153893688032,SGDRegressor
0.141,1.0742085327817292,SGDRegressor
1.276,1.323617770203716,SGDRegressor
0.3,0.5209303666275529,SGDRegressor
11.453,14.105974889514313,SGDRegressor
-0.029,0.6917482733590039,SGDRegressor
5.387,5.507980035847354,SGDRegressor
0.766,0.46013474285998845,SGDRegressor
0.361,2.0946022569639378,SGDRegressor
5.185,5.761815887073761,SGDRegressor
4.933,4.739356231856936,SGDRegressor
0.29,0.20667576788255126,SGDRegressor
1.076,3.756966134615824,SGDRegressor
-0.096,-0.6085622046505503,BayesianRidge
0.229,-0.849225954901593,BayesianRidge
0.279,1.7730508593196062,BayesianRidge
11.453,10.308756494565412,BayesianRidge
0.542,1.823333149020737,BayesianRidge
4.57,5.800559190131945,BayesianRidge
0.231,-0.5379045600764867,BayesianRidge
-0.167,0.6218879755537374,BayesianRidge
11.453,9.706129360234222,BayesianRidge
0.141,2.0462286655297364,BayesianRidge
1.276,0.7835373366190934,BayesianRidge
0.3,1.6394988897297074,BayesianRidge
11.453,13.777042417152408,BayesianRidge
-0.029,1.5090584255509283,BayesianRidge
5.387,6.080446290262768,BayesianRidge
0.766,0.3477608623700892,BayesianRidge
0.361,2.6584481463192873,BayesianRidge
5.185,6.35363497742394,BayesianRidge
4.933,4.601806709622379,BayesianRidge
0.29,-0.5949522597308428,BayesianRidge
1.076,5.468168104222582,BayesianRidge
-0.096,2.65639668779113,KernelRidge
0.229,-0.5286779008695817,KernelRidge
0.279,3.472478241914928,KernelRidge
11.453,13.346435475132694,KernelRidge
0.542,-1.8228743345699172,KernelRidge
4.57,3.3154532688736253,KernelRidge
0.231,-0.31798780162165485,KernelRidge
-0.167,-0.4421583375396949,KernelRidge
11.453,3.3659125598730384,KernelRidge
0.141,3.7012693726830435,KernelRidge
1.276,2.5523059764684604,KernelRidge
0.3,2.621096678394281,KernelRidge
11.453,15.3015196697678,KernelRidge
-0.029,1.4138454955943018,KernelRidge
5.387,7.4522699752255335,KernelRidge
0.766,-2.2934825748094454,KernelRidge
0.361,5.362598316933543,KernelRidge
5.185,8.184756588853816,KernelRidge
4.933,7.18247982174438,KernelRidge
0.29,3.3439506300152857,KernelRidge
1.076,7.943558532019779,KernelRidge
-0.096,-0.6423716849614047,LinearRegression
0.229,-0.8532039370992308,LinearRegression
0.279,1.75547884424744,LinearRegression
11.453,10.278196184208106,LinearRegression
0.542,1.8626206382515802,LinearRegression
4.57,5.824232397579171,LinearRegression
0.231,-0.538158781329555,LinearRegression
-0.167,0.6310424438762707,LinearRegression
11.453,9.772352997004436,LinearRegression
0.141,2.0276829990391017,LinearRegression
1.276,0.7647638589498102,LinearRegression
0.3,1.628373507839199,LinearRegression
11.453,13.763529184789256,LinearRegression
-0.029,1.509259935922425,LinearRegression
5.387,6.065337914123432,LinearRegression
0.766,0.3736991304660249,LinearRegression
0.361,2.6323902329122726,LinearRegression
5.185,6.3365104649291135,LinearRegression
4.933,4.572975141214186,LinearRegression
0.29,-0.6330461313738085,LinearRegression
1.076,5.440021648587597,LinearRegression
-0.096,-0.6425653691295348,RANSACRegressor
0.229,0.11383203726027863,RANSACRegressor
0.279,-0.6749654132374423,RANSACRegressor
11.453,0.7477425761063863,RANSACRegressor
0.542,1.4180241336751755,RANSACRegressor
4.57,-0.1886215129130061,RANSACRegressor
0.231,-1.0533340319014879,RANSACRegressor
-0.167,0.3817336724897331,RANSACRegressor
11.453,-1.6099412391212546,RANSACRegressor
0.141,0.49782972615559357,RANSACRegressor
1.276,1.3979726616864232,RANSACRegressor
0.3,-0.35501015817744874,RANSACRegressor
11.453,-0.5459284721202672,RANSACRegressor
-0.029,0.22154921353076332,RANSACRegressor
5.387,0.264739423136413,RANSACRegressor
0.766,0.7402663862439631,RANSACRegressor
0.361,0.46619326162895136,RANSACRegressor
5.185,2.2230279225620624,RANSACRegressor
4.933,0.08547172117445079,RANSACRegressor
0.29,0.5505584237367203,RANSACRegressor
1.076,-0.09036357472243839,RANSACRegressor
-0.096,-1.5071137851630922,TheilSenRegressor
0.229,0.030679650368912625,TheilSenRegressor
0.279,0.7737748370975348,TheilSenRegressor
11.453,9.767400602783521,TheilSenRegressor
0.542,3.155132033849574,TheilSenRegressor
4.57,5.3205668787420946,TheilSenRegressor
0.231,-0.7243882506019244,TheilSenRegressor
-0.167,1.2112614157636008,TheilSenRegressor
11.453,10.698744650576383,TheilSenRegressor
0.141,1.189240067596363,TheilSenRegressor
1.276,1.254723011573283,TheilSenRegressor
0.3,0.3954654486402278,TheilSenRegressor
11.453,14.54648972882098,TheilSenRegressor
-0.029,0.9712472747477623,TheilSenRegressor
5.387,4.286335834110753,TheilSenRegressor
0.766,-0.19572487110093384,TheilSenRegressor
0.361,1.473955964596536,TheilSenRegressor
5.185,6.2293131002573086,TheilSenRegressor
4.933,4.333729059888237,TheilSenRegressor
0.29,0.8954906405005136,TheilSenRegressor
1.076,2.871614375849221,TheilSenRegressor
-0.096,-1.676208257675171,TensorFlow
0.229,-0.2721960246562958,TensorFlow
0.279,1.1570100784301758,TensorFlow
11.453,5.777217864990234,TensorFlow
0.542,-0.36854907870292664,TensorFlow
4.57,1.0128495693206787,TensorFlow
0.231,0.8542035222053528,TensorFlow
-0.167,-1.752410888671875,TensorFlow
11.453,5.744270324707031,TensorFlow
0.141,1.9489185810089111,TensorFlow
1.276,2.853978395462036,TensorFlow
0.3,2.4344379901885986,TensorFlow
11.453,8.160088539123535,TensorFlow
-0.029,0.45357683300971985,TensorFlow
5.387,-0.9818939566612244,TensorFlow
0.766,-83.34272766113281,TensorFlow
0.361,1.3587617874145508,TensorFlow
5.185,4.906743049621582,TensorFlow
4.933,4.355841636657715,TensorFlow
