Actual,Predicted,Model
-0.096,-1.8227801199885472,Ridge
0.229,0.4341439735939163,Ridge
0.279,-0.05071110914738419,Ridge
11.453,9.49080338091559,Ridge
0.542,2.442082022618685,Ridge
4.57,3.6893991423944783,Ridge
0.231,0.4223433168354127,Ridge
-0.167,-0.15408705154409175,Ridge
11.453,15.908460591516356,Ridge
0.141,0.2247426711414322,Ridge
1.276,0.5004952344012539,Ridge
0.3,1.834693105501076,Ridge
11.453,11.781444489307873,Ridge
-0.029,1.4084423212923989,Ridge
5.387,7.407920100969926,Ridge
0.766,-0.3667328804101504,Ridge
0.361,4.317716921656976,Ridge
5.185,4.950386171082376,Ridge
4.933,5.019996025434634,Ridge
0.29,-0.8033146514955964,Ridge
1.076,2.0824755284682492,Ridge
-0.096,4.672,DecisionTreeRegressor
0.229,0.446,DecisionTreeRegressor
0.279,4.508,DecisionTreeRegressor
11.453,-0.259,DecisionTreeRegressor
0.542,4.672,DecisionTreeRegressor
4.57,4.095,DecisionTreeRegressor
0.231,5.8705,DecisionTreeRegressor
-0.167,-0.346,DecisionTreeRegressor
11.453,4.141500000000001,DecisionTreeRegressor
0.141,0.751,DecisionTreeRegressor
1.276,4.560499999999999,DecisionTreeRegressor
0.3,-0.0795,DecisionTreeRegressor
11.453,4.672,DecisionTreeRegressor
-0.029,-0.21000000000000002,DecisionTreeRegressor
5.387,1.079,DecisionTreeRegressor
0.766,4.364,DecisionTreeRegressor
0.361,0.446,DecisionTreeRegressor
5.185,4.768,DecisionTreeRegressor
4.933,3.3070000000000004,DecisionTreeRegressor
0.29,0.9420000000000001,DecisionTreeRegressor
1.076,0.2145,DecisionTreeRegressor
-0.096,0.7977705971762594,GradientBoostingRegressor
0.229,0.7977705971762594,GradientBoostingRegressor
0.279,0.7977705971762594,GradientBoostingRegressor
11.453,0.9548907616355444,GradientBoostingRegressor
0.542,0.7977705971762594,GradientBoostingRegressor
4.57,0.9049538222176743,GradientBoostingRegressor
0.231,0.7977705971762594,GradientBoostingRegressor
-0.167,0.7977705971762594,GradientBoostingRegressor
11.453,0.9049538222176743,GradientBoostingRegressor
0.141,0.7977705971762594,GradientBoostingRegressor
1.276,0.8100723363029303,GradientBoostingRegressor
0.3,0.7977705971762594,GradientBoostingRegressor
11.453,0.9049538222176743,GradientBoostingRegressor
-0.029,0.7977705971762594,GradientBoostingRegressor
5.387,0.9049538222176743,GradientBoostingRegressor
0.766,0.7977705971762594,GradientBoostingRegressor
0.361,0.7977705971762594,GradientBoostingRegressor
5.185,0.9049538222176743,GradientBoostingRegressor
4.933,0.9049538222176743,GradientBoostingRegressor
0.29,0.7977705971762594,GradientBoostingRegressor
1.076,0.8206696175987971,GradientBoostingRegressor
-0.096,11.453,RandomForestRegressor
0.229,0.02900000000000001,RandomForestRegressor
0.279,0.02900000000000001,RandomForestRegressor
11.453,4.094571428571428,RandomForestRegressor
0.542,0.49933333333333335,RandomForestRegressor
4.57,4.366,RandomForestRegressor
0.231,-1225.688,RandomForestRegressor
-0.167,-0.20339999999999997,RandomForestRegressor
11.453,4.845,RandomForestRegressor
0.141,4.141857142857143,RandomForestRegressor
1.276,-0.117,RandomForestRegressor
0.3,0.22866666666666666,RandomForestRegressor
11.453,0.329,RandomForestRegressor
-0.029,0.04225,RandomForestRegressor
5.387,5.602,RandomForestRegressor
0.766,2.0294,RandomForestRegressor
0.361,5.2943999999999996,RandomForestRegressor
5.185,4.884,RandomForestRegressor
4.933,0.04225,RandomForestRegressor
0.29,0.9065000000000001,RandomForestRegressor
1.076,5.602,RandomForestRegressor
-0.096,0.7668771929824555,AdaBoostRegressor
0.229,0.7668771929824555,AdaBoostRegressor
0.279,0.7668771929824555,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
0.542,0.7668771929824555,AdaBoostRegressor
4.57,4.457451612903226,AdaBoostRegressor
0.231,0.7668771929824555,AdaBoostRegressor
-0.167,0.7668771929824555,AdaBoostRegressor
11.453,4.457451612903226,AdaBoostRegressor
0.141,0.7668771929824555,AdaBoostRegressor
1.276,0.7668771929824555,AdaBoostRegressor
0.3,0.7668771929824555,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
-0.029,0.7668771929824555,AdaBoostRegressor
5.387,4.457451612903226,AdaBoostRegressor
0.766,0.7668771929824555,AdaBoostRegressor
0.361,0.7668771929824555,AdaBoostRegressor
5.185,4.457451612903226,AdaBoostRegressor
4.933,4.457451612903226,AdaBoostRegressor
0.29,0.7668771929824555,AdaBoostRegressor
1.076,0.7668771929824555,AdaBoostRegressor
-0.096,1.3062798978461494,KNeighborsRegressor
0.229,-0.03637718339487242,KNeighborsRegressor
0.279,1.4410073171860918,KNeighborsRegressor
11.453,6.638123400150695,KNeighborsRegressor
0.542,1.7942744897330765,KNeighborsRegressor
4.57,3.377593186217813,KNeighborsRegressor
0.231,0.9987411591372303,KNeighborsRegressor
-0.167,-0.031534480834390644,KNeighborsRegressor
11.453,4.9152166361797285,KNeighborsRegressor
0.141,2.9390256564584365,KNeighborsRegressor
1.276,2.8704434782918917,KNeighborsRegressor
0.3,0.4389070975644502,KNeighborsRegressor
11.453,5.007705458524839,KNeighborsRegressor
-0.029,-0.06480142893242877,KNeighborsRegressor
5.387,3.3420663078840867,KNeighborsRegressor
0.766,3.245345169727519,KNeighborsRegressor
0.361,0.5495032806775292,KNeighborsRegressor
5.185,4.460815990118308,KNeighborsRegressor
4.933,3.528199118951759,KNeighborsRegressor
0.29,2.1518975664942626,KNeighborsRegressor
1.076,2.718166277919258,KNeighborsRegressor
-0.096,-2.4055011797604533,MLPRegressor
