Actual,Predicted,Model
-0.096,2.633067972368681,Ridge
0.229,1.5581359779103687,Ridge
0.279,-0.6662252572710097,Ridge
11.453,9.17107658733236,Ridge
0.542,-6.27097634738705,Ridge
4.57,3.7416879535086824,Ridge
0.231,3.606400045828134,Ridge
-0.167,-1.7434184676537292,Ridge
11.453,8.70024158262136,Ridge
0.141,-1.6924499560917203,Ridge
1.276,2.634218006291734,Ridge
0.3,0.39264590351583273,Ridge
11.453,12.89686202365427,Ridge
-0.029,2.0125898494098635,Ridge
5.387,5.836272502585681,Ridge
0.766,-9.186105530033872,Ridge
0.361,3.899643700618916,Ridge
5.185,4.492413160814763,Ridge
4.933,8.465955488172014,Ridge
0.29,2.579336811300898,Ridge
1.076,7.75657168659747,Ridge
-0.096,4.341,DecisionTreeRegressor
0.229,4.953,DecisionTreeRegressor
0.279,0.343,DecisionTreeRegressor
11.453,4.101,DecisionTreeRegressor
0.542,0.155,DecisionTreeRegressor
4.57,0.458,DecisionTreeRegressor
0.231,5.174,DecisionTreeRegressor
-0.167,4.364,DecisionTreeRegressor
11.453,0.219,DecisionTreeRegressor
0.141,-0.044,DecisionTreeRegressor
1.276,4.997,DecisionTreeRegressor
0.3,0.387,DecisionTreeRegressor
11.453,4.257,DecisionTreeRegressor
-0.029,-0.161,DecisionTreeRegressor
5.387,4.552,DecisionTreeRegressor
0.766,4.498,DecisionTreeRegressor
0.361,-0.316,DecisionTreeRegressor
5.185,0.107,DecisionTreeRegressor
4.933,4.914,DecisionTreeRegressor
0.29,0.277,DecisionTreeRegressor
1.076,0.876,DecisionTreeRegressor
-0.096,0.8012929514974939,GradientBoostingRegressor
0.229,0.8012929514974939,GradientBoostingRegressor
0.279,0.8012929514974939,GradientBoostingRegressor
11.453,1.0768076356800207,GradientBoostingRegressor
0.542,0.8012929514974939,GradientBoostingRegressor
4.57,0.9196149079309512,GradientBoostingRegressor
0.231,0.8012929514974939,GradientBoostingRegressor
-0.167,0.8012929514974939,GradientBoostingRegressor
11.453,0.8968073607220002,GradientBoostingRegressor
0.141,0.8012929514974939,GradientBoostingRegressor
1.276,0.8012929514974939,GradientBoostingRegressor
0.3,0.8012929514974939,GradientBoostingRegressor
11.453,0.9196149079309512,GradientBoostingRegressor
-0.029,0.8012929514974939,GradientBoostingRegressor
5.387,0.9196149079309512,GradientBoostingRegressor
0.766,0.8012929514974939,GradientBoostingRegressor
0.361,0.8012929514974939,GradientBoostingRegressor
5.185,0.8968073607220002,GradientBoostingRegressor
4.933,0.9196149079309512,GradientBoostingRegressor
0.29,0.8012929514974939,GradientBoostingRegressor
1.076,0.8012929514974939,GradientBoostingRegressor
-0.096,0.876,RandomForestRegressor
0.229,0.229,RandomForestRegressor
0.279,0.387,RandomForestRegressor
11.453,11.453,RandomForestRegressor
0.542,0.387,RandomForestRegressor
4.57,4.496,RandomForestRegressor
0.231,0.116,RandomForestRegressor
-0.167,0.24,RandomForestRegressor
11.453,4.579,RandomForestRegressor
0.141,4.166,RandomForestRegressor
1.276,0.438,RandomForestRegressor
0.3,4.663,RandomForestRegressor
11.453,4.559,RandomForestRegressor
-0.029,-0.287,RandomForestRegressor
5.387,0.288,RandomForestRegressor
0.766,4.97,RandomForestRegressor
0.361,0.387,RandomForestRegressor
5.185,4.559,RandomForestRegressor
4.933,0.139,RandomForestRegressor
0.29,0.556,RandomForestRegressor
1.076,5.535,RandomForestRegressor
-0.096,0.3651717171717172,AdaBoostRegressor
0.229,0.3651717171717172,AdaBoostRegressor
0.279,0.3651717171717172,AdaBoostRegressor
11.453,11.453000000000001,AdaBoostRegressor
0.542,0.3651717171717172,AdaBoostRegressor
4.57,4.552661971830986,AdaBoostRegressor
0.231,0.3651717171717172,AdaBoostRegressor
-0.167,0.3651717171717172,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
0.141,0.3651717171717172,AdaBoostRegressor
1.276,0.3651717171717172,AdaBoostRegressor
0.3,0.3651717171717172,AdaBoostRegressor
11.453,11.453000000000001,AdaBoostRegressor
-0.029,0.3651717171717172,AdaBoostRegressor
5.387,4.552661971830986,AdaBoostRegressor
0.766,0.3651717171717172,AdaBoostRegressor
0.361,0.3651717171717172,AdaBoostRegressor
5.185,4.552661971830986,AdaBoostRegressor
4.933,4.552661971830986,AdaBoostRegressor
0.29,0.3651717171717172,AdaBoostRegressor
1.076,0.3651717171717172,AdaBoostRegressor
-0.096,1.7132134210719412,KNeighborsRegressor
0.229,0.029961917120450293,KNeighborsRegressor
0.279,1.741435997612515,KNeighborsRegressor
11.453,5.6326604597112855,KNeighborsRegressor
0.542,1.9357123605706896,KNeighborsRegressor
4.57,4.001562622164097,KNeighborsRegressor
0.231,0.8907271393420053,KNeighborsRegressor
-0.167,0.0442313994926232,KNeighborsRegressor
11.453,2.3230691444816687,KNeighborsRegressor
0.141,1.6737917246138734,KNeighborsRegressor
1.276,2.8149794710446625,KNeighborsRegressor
0.3,-0.0838546858296973,KNeighborsRegressor
11.453,3.399262652182763,KNeighborsRegressor
-0.029,-0.048111081597475285,KNeighborsRegressor
5.387,3.0722856035206756,KNeighborsRegressor
0.766,3.672515824800791,KNeighborsRegressor
0.361,-0.012456978795112334,KNeighborsRegressor
5.185,5.904615830148693,KNeighborsRegressor
4.933,4.5659771636568225,KNeighborsRegressor
0.29,1.8619178661492923,KNeighborsRegressor
1.076,3.091512604750687,KNeighborsRegressor
-0.096,0.5579040708941095,MLPRegressor
0.229,1.6337711756306206,MLPRegressor
0.279,0.5883789627913859,MLPRegressor
11.453,9.687746606053482,MLPRegressor
0.542,-3.9944214864401335,MLPRegressor
4.57,3.1283565256085097,MLPRegressor
0.231,1.3009563920917249,MLPRegressor
-0.167,-0.1347663623584646,MLPRegressor
11.453,8.572258066614715,MLPRegressor
0.141,0.6619864036411802,MLPRegressor
1.276,0.7607541385626543,MLPRegressor
0.3,-1.5010030364842148,MLPRegressor
11.453,13.334295480380847,MLPRegressor
-0.029,4.087186807694092,MLPRegressor
5.387,8.265764443321958,MLPRegressor
0.766,-4.087081204454979,MLPRegressor
0.361,0.6080307542533404,MLPRegressor
5.185,3.2200570083546993,MLPRegressor
4.933,9.230586167364818,MLPRegressor
0.29,3.23004808277912,MLPRegressor
1.076,5.208829553769062,MLPRegressor
-0.096,14.915122223513734,ElasticNet
0.229,2.3489082056727497,ElasticNet
0.279,8.674326842202198,ElasticNet
11.453,10.176248201296676,ElasticNet
0.542,0.601337701173135,ElasticNet
4.57,4.797011486596307,ElasticNet
0.231,18.88746902745618,ElasticNet
-0.167,0.369866538648265,ElasticNet
11.453,6.677051352475551,ElasticNet
0.141,-0.6514052113510123,ElasticNet
1.276,12.790186119089784,ElasticNet
0.3,11.820713646923892,ElasticNet
11.453,13.428825474018076,ElasticNet
-0.029,2.018556332898271,ElasticNet
5.387,10.574059734252101,ElasticNet
0.766,-56.854611020741785,ElasticNet
0.361,18.53388214509353,ElasticNet
5.185,12.108627029836171,ElasticNet
4.933,9.33344959112143,ElasticNet
0.29,10.285943991126361,ElasticNet
1.076,17.16417946730993,ElasticNet
-0.096,-0.3544168764521962,SGDRegressor
0.229,0.5123893295866457,SGDRegressor
0.279,-0.10852217628164151,SGDRegressor
11.453,10.645156511298936,SGDRegressor
0.542,0.6562633472553399,SGDRegressor
4.57,4.671034509315865,SGDRegressor
0.231,0.6973630803505286,SGDRegressor
-0.167,0.23337604458555017,SGDRegressor
11.453,15.528891809983932,SGDRegressor
0.141,-0.16323985572254518,SGDRegressor
1.276,1.034597280034241,SGDRegressor
0.3,-0.11605180235656354,SGDRegressor
11.453,14.563230477863279,SGDRegressor
-0.029,0.7616683218673124,SGDRegressor
5.387,4.68330763473525,SGDRegressor
0.766,0.9846386131472233,SGDRegressor
0.361,0.434441255264284,SGDRegressor
5.185,5.0259502034616865,SGDRegressor
4.933,4.400310871943427,SGDRegressor
0.29,0.5466559932920432,SGDRegressor
1.076,1.3274767446731373,SGDRegressor
-0.096,-2.293914569391066,BayesianRidge
0.229,0.632119008663806,BayesianRidge
0.279,0.8810079722301545,BayesianRidge
11.453,9.571500573057481,BayesianRidge
0.542,1.6477570071313083,BayesianRidge
4.57,4.960081007987136,BayesianRidge
0.231,-0.465150107843046,BayesianRidge
-0.167,0.07880862460641902,BayesianRidge
11.453,13.782357359619162,BayesianRidge
0.141,0.16320929215070556,BayesianRidge
1.276,0.12014858237690396,BayesianRidge
0.3,1.2658874432416862,BayesianRidge
11.453,13.122180957038317,BayesianRidge
-0.029,1.909208756254925,BayesianRidge
