Actual,Predicted,Model
-0.096,0.14340724270017535,Ridge
0.229,-0.2540745891613634,Ridge
0.279,1.0705519154659848,Ridge
11.453,10.721981238361085,Ridge
0.542,-0.9473742251642374,Ridge
4.57,3.6390078766609557,Ridge
0.231,0.38180710969420506,Ridge
-0.167,-0.7267804450964364,Ridge
11.453,8.973794734199359,Ridge
0.141,1.6404990548444118,Ridge
1.276,1.1663452047397804,Ridge
0.3,1.425820517287427,Ridge
11.453,13.865420270578642,Ridge
-0.029,1.2029065663500829,Ridge
5.387,6.749790376660152,Ridge
0.766,-2.8507451784777382,Ridge
0.361,2.777419045380646,Ridge
5.185,5.211494949335022,Ridge
4.933,5.373024886854286,Ridge
0.29,2.241650407009624,Ridge
1.076,6.856827666952857,Ridge
-0.096,0.491,DecisionTreeRegressor
0.229,0.11299999999999999,DecisionTreeRegressor
0.279,0.528,DecisionTreeRegressor
11.453,7.852499999999999,DecisionTreeRegressor
0.542,0.504,DecisionTreeRegressor
4.57,4.215999999999999,DecisionTreeRegressor
0.231,-0.299,DecisionTreeRegressor
-0.167,11.453,DecisionTreeRegressor
11.453,4.308,DecisionTreeRegressor
0.141,-0.299,DecisionTreeRegressor
1.276,0.528,DecisionTreeRegressor
0.3,2.516,DecisionTreeRegressor
11.453,0.556,DecisionTreeRegressor
-0.029,6.0089999999999995,DecisionTreeRegressor
5.387,4.366,DecisionTreeRegressor
0.766,4.7085,DecisionTreeRegressor
0.361,0.569,DecisionTreeRegressor
5.185,0.8,DecisionTreeRegressor
4.933,7.852499999999999,DecisionTreeRegressor
0.29,0.22599999999999998,DecisionTreeRegressor
1.076,7.852499999999999,DecisionTreeRegressor
-0.096,0.8012929514974939,GradientBoostingRegressor
0.229,0.8012929514974939,GradientBoostingRegressor
0.279,0.8012929514974939,GradientBoostingRegressor
11.453,1.0768076356800207,GradientBoostingRegressor
0.542,0.8012929514974939,GradientBoostingRegressor
4.57,0.9196207356926144,GradientBoostingRegressor
0.231,0.8012929514974939,GradientBoostingRegressor
