Actual,Predicted,Model
-0.096,-0.544511025518069,Ridge
0.229,-0.7573622941221556,Ridge
0.279,1.2561516722215402,Ridge
11.453,10.943453086811452,Ridge
0.542,1.7114618985118084,Ridge
4.57,3.8475975466521715,Ridge
0.231,-0.5671065945985516,Ridge
-0.167,-0.4701501549168676,Ridge
11.453,10.614537659358637,Ridge
0.141,2.261593641946113,Ridge
1.276,0.9476518121021864,Ridge
0.3,0.9233494965872144,Ridge
11.453,13.852829893746463,Ridge
-0.029,1.2388394045553048,Ridge
5.387,6.781924521603413,Ridge
0.766,-2.419614772976151,Ridge
0.361,1.604658579348619,Ridge
5.185,4.431788060074011,Ridge
4.933,4.582489085105157,Ridge
0.29,0.4930032495996506,Ridge
1.076,6.2525187179205375,Ridge
-0.096,-0.259,DecisionTreeRegressor
0.229,-0.346,DecisionTreeRegressor
0.279,0.04,DecisionTreeRegressor
11.453,4.645,DecisionTreeRegressor
0.542,0.277,DecisionTreeRegressor
4.57,4.859,DecisionTreeRegressor
0.231,0.422,DecisionTreeRegressor
-0.167,-0.092,DecisionTreeRegressor
11.453,4.043,DecisionTreeRegressor
0.141,4.135,DecisionTreeRegressor
1.276,-0.044,DecisionTreeRegressor
0.3,-0.316,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
-0.029,-0.092,DecisionTreeRegressor
5.387,4.776,DecisionTreeRegressor
0.766,0.139,DecisionTreeRegressor
0.361,0.047,DecisionTreeRegressor
5.185,4.21,DecisionTreeRegressor
4.933,4.859,DecisionTreeRegressor
0.29,0.139,DecisionTreeRegressor
1.076,0.155,DecisionTreeRegressor
-0.096,0.7977705971762594,GradientBoostingRegressor
0.229,0.7977705971762594,GradientBoostingRegressor
0.279,0.7977705971762594,GradientBoostingRegressor
11.453,1.0768076356800207,GradientBoostingRegressor
0.542,0.7977705971762594,GradientBoostingRegressor
4.57,0.9049538222176743,GradientBoostingRegressor
0.231,0.7977705971762594,GradientBoostingRegressor
-0.167,0.7977705971762594,GradientBoostingRegressor
11.453,0.9049538222176743,GradientBoostingRegressor
0.141,0.7977705971762594,GradientBoostingRegressor
1.276,0.8136788702637616,GradientBoostingRegressor
0.3,0.7977705971762594,GradientBoostingRegressor
11.453,0.9049538222176743,GradientBoostingRegressor
-0.029,0.7977705971762594,GradientBoostingRegressor
5.387,0.9049538222176743,GradientBoostingRegressor
0.766,0.7977705971762594,GradientBoostingRegressor
0.361,0.7977705971762594,GradientBoostingRegressor
5.185,0.9049538222176743,GradientBoostingRegressor
4.933,0.9049538222176743,GradientBoostingRegressor
0.29,0.7977705971762594,GradientBoostingRegressor
1.076,0.8136788702637616,GradientBoostingRegressor
-0.096,0.122,RandomForestRegressor
0.229,0.876,RandomForestRegressor
0.279,1.103,RandomForestRegressor
11.453,0.322,RandomForestRegressor
0.542,0.132,RandomForestRegressor
4.57,4.523,RandomForestRegressor
0.231,0.24,RandomForestRegressor
-0.167,0.087,RandomForestRegressor
11.453,-0.025,RandomForestRegressor
0.141,-0.044,RandomForestRegressor
1.276,4.205,RandomForestRegressor
0.3,-0.117,RandomForestRegressor
11.453,4.762,RandomForestRegressor
-0.029,0.087,RandomForestRegressor
5.387,4.141,RandomForestRegressor
0.766,0.155,RandomForestRegressor
0.361,0.528,RandomForestRegressor
5.185,4.229,RandomForestRegressor
4.933,4.884,RandomForestRegressor
0.29,11.453,RandomForestRegressor
1.076,0.155,RandomForestRegressor
-0.096,0.5603214285714285,AdaBoostRegressor
0.229,0.5603214285714285,AdaBoostRegressor
0.279,0.5603214285714285,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
0.542,0.5603214285714285,AdaBoostRegressor
4.57,4.60606153846154,AdaBoostRegressor
0.231,0.5603214285714285,AdaBoostRegressor
-0.167,0.5603214285714285,AdaBoostRegressor
11.453,4.60606153846154,AdaBoostRegressor
0.141,0.5603214285714285,AdaBoostRegressor
1.276,0.5603214285714285,AdaBoostRegressor
0.3,0.5603214285714285,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
-0.029,0.5603214285714285,AdaBoostRegressor
5.387,4.60606153846154,AdaBoostRegressor
0.766,0.5603214285714285,AdaBoostRegressor
