Actual,Predicted,Model
7.461,8.003261737091929,Ridge
5.479,6.861484166880196,Ridge
6.023,4.486406759819408,Ridge
3.006,2.4996061052322682,Ridge
1.364,2.310851065335635,Ridge
1.306,1.6345432646349343,Ridge
0.602,-0.5521077228562046,Ridge
8.221,7.495880235732547,Ridge
4.329,1.1902335089539684,Ridge
2.136,2.913332593755141,Ridge
4.211,1.5577037365556334,Ridge
8.094,6.636418753813031,Ridge
5.567,4.64670261177628,Ridge
8.221,6.811873997045912,Ridge
1.472,-1.3823255507100143,Ridge
-0.69,-0.9733047402438384,Ridge
10.395,14.951094827755755,Ridge
1.642,3.2328078456337104,Ridge
2.04,0.6079376997638595,Ridge
2.875,4.581019115544753,Ridge
2.097,5.214792669949702,Ridge
7.461,7.085333333333334,DecisionTreeRegressor
5.479,9.407,DecisionTreeRegressor
6.023,5.702999999999999,DecisionTreeRegressor
3.006,2.5703333333333336,DecisionTreeRegressor
1.364,1.6063333333333334,DecisionTreeRegressor
1.306,3.832333333333333,DecisionTreeRegressor
0.602,2.3345000000000002,DecisionTreeRegressor
8.221,7.957666666666667,DecisionTreeRegressor
4.329,4.031333333333333,DecisionTreeRegressor
2.136,1.593,DecisionTreeRegressor
4.211,3.4095,DecisionTreeRegressor
8.094,7.733333333333334,DecisionTreeRegressor
5.567,4.229,DecisionTreeRegressor
8.221,7.957666666666667,DecisionTreeRegressor
1.472,2.9115,DecisionTreeRegressor
-0.69,0.138,DecisionTreeRegressor
10.395,9.209,DecisionTreeRegressor
1.642,1.172,DecisionTreeRegressor
2.04,2.9115,DecisionTreeRegressor
2.875,2.319,DecisionTreeRegressor
2.097,1.419,DecisionTreeRegressor
7.461,5.7462452139586295,GradientBoostingRegressor
5.479,5.64730588090651,GradientBoostingRegressor
6.023,5.7462452139586295,GradientBoostingRegressor
3.006,2.9725996257435905,GradientBoostingRegressor
1.364,2.625111916455353,GradientBoostingRegressor
1.306,2.625111916455353,GradientBoostingRegressor
0.602,2.2215601549341732,GradientBoostingRegressor
8.221,6.6292509995244115,GradientBoostingRegressor
4.329,4.51008670562238,GradientBoostingRegressor
2.136,2.9598138369866214,GradientBoostingRegressor
4.211,4.470952635053044,GradientBoostingRegressor
8.094,5.7462452139586295,GradientBoostingRegressor
5.567,4.403650197811091,GradientBoostingRegressor
8.221,6.636587492407526,GradientBoostingRegressor
1.472,2.625111916455353,GradientBoostingRegressor
-0.69,1.6935558229652494,GradientBoostingRegressor
10.395,6.7173750972353625,GradientBoostingRegressor
1.642,2.625111916455353,GradientBoostingRegressor
2.04,2.792993539423908,GradientBoostingRegressor
2.875,4.2925364965169965,GradientBoostingRegressor
2.097,2.637897705212322,GradientBoostingRegressor
7.461,5.743243027777776,RandomForestRegressor
5.479,6.206013242063491,RandomForestRegressor
6.023,5.282662658730159,RandomForestRegressor
3.006,2.798483642857143,RandomForestRegressor
1.364,2.3729378243145742,RandomForestRegressor
1.306,2.1679980317460315,RandomForestRegressor
0.602,1.7192001071428575,RandomForestRegressor
8.221,7.480323317460318,RandomForestRegressor
4.329,3.864605022366524,RandomForestRegressor
2.136,2.960698190476191,RandomForestRegressor
4.211,3.2610096937229427,RandomForestRegressor
8.094,6.211848130952379,RandomForestRegressor
5.567,3.4617863733766234,RandomForestRegressor
8.221,7.582136277777779,RandomForestRegressor
1.472,1.8654161089466095,RandomForestRegressor
-0.69,2.590909972222222,RandomForestRegressor
10.395,7.246296988095237,RandomForestRegressor
1.642,2.551553516178265,RandomForestRegressor
2.04,1.749107721861472,RandomForestRegressor
2.875,3.5593591580086583,RandomForestRegressor
2.097,2.0208507875180386,RandomForestRegressor
7.461,6.527454545454546,AdaBoostRegressor
5.479,6.500931034482758,AdaBoostRegressor
6.023,6.500931034482758,AdaBoostRegressor
3.006,2.453538461538462,AdaBoostRegressor
1.364,1.801277777777778,AdaBoostRegressor
1.306,1.801277777777778,AdaBoostRegressor
0.602,1.2141875,AdaBoostRegressor
8.221,8.217719298245614,AdaBoostRegressor
4.329,4.500636363636364,AdaBoostRegressor
2.136,2.3056315789473683,AdaBoostRegressor
4.211,4.470129032258064,AdaBoostRegressor
8.094,6.650499999999999,AdaBoostRegressor
5.567,4.470129032258064,AdaBoostRegressor
8.221,8.217719298245614,AdaBoostRegressor
1.472,1.801277777777778,AdaBoostRegressor
-0.69,0.8181904761904759,AdaBoostRegressor
10.395,8.40993333333333,AdaBoostRegressor
1.642,1.8340606060606057,AdaBoostRegressor
2.04,1.801277777777778,AdaBoostRegressor
2.875,4.470129032258064,AdaBoostRegressor
2.097,1.8300625000000001,AdaBoostRegressor
7.461,5.097438796113722,KNeighborsRegressor
5.479,6.299008004710239,KNeighborsRegressor
6.023,4.095773638268473,KNeighborsRegressor
3.006,2.598794163792974,KNeighborsRegressor
1.364,4.802925388383786,KNeighborsRegressor
1.306,1.7390907895264198,KNeighborsRegressor
0.602,3.3438601156850227,KNeighborsRegressor
8.221,6.986470126502375,KNeighborsRegressor
4.329,3.1675486198999847,KNeighborsRegressor
2.136,3.3357269614456673,KNeighborsRegressor
4.211,2.6496786858463226,KNeighborsRegressor
8.094,5.453260213738793,KNeighborsRegressor
5.567,2.635031870461776,KNeighborsRegressor
8.221,7.004716887337379,KNeighborsRegressor
1.472,1.4469382310377081,KNeighborsRegressor
-0.69,2.1481125247855903,KNeighborsRegressor
10.395,6.783674712617681,KNeighborsRegressor
1.642,3.4687983955445754,KNeighborsRegressor
2.04,1.881863395865671,KNeighborsRegressor
2.875,3.679407978263299,KNeighborsRegressor
2.097,1.7319990782713441,KNeighborsRegressor
7.461,5.393951249422852,MLPRegressor
5.479,6.934743116337898,MLPRegressor
6.023,5.481664605740018,MLPRegressor
3.006,2.7348753188867914,MLPRegressor
