Actual,Predicted,Model
7.461,9.02997137187586,Ridge
5.479,7.8102052138397,Ridge
6.023,4.274668997375686,Ridge
3.006,2.88704365492202,Ridge
1.364,1.7610614465326266,Ridge
1.306,1.8903251955748157,Ridge
0.602,-0.7072012409187787,Ridge
8.221,7.421367849188313,Ridge
4.329,0.8268591509788155,Ridge
2.136,1.2533308230248164,Ridge
4.211,1.644483892189466,Ridge
8.094,6.843430636353695,Ridge
5.567,4.293831683203322,Ridge
8.221,6.48589883753238,Ridge
1.472,-1.2862704284204378,Ridge
-0.69,-0.9400464830491133,Ridge
10.395,15.57775929222554,Ridge
1.642,3.4317941292787286,Ridge
2.04,1.1369287210413606,Ridge
2.875,2.4794411499904534,Ridge
2.097,4.445718788742493,Ridge
7.461,1.112,DecisionTreeRegressor
5.479,6.546,DecisionTreeRegressor
6.023,6.349,DecisionTreeRegressor
3.006,2.94,DecisionTreeRegressor
1.364,3.397,DecisionTreeRegressor
1.306,1.806,DecisionTreeRegressor
0.602,0.895,DecisionTreeRegressor
8.221,4.269,DecisionTreeRegressor
4.329,1.903,DecisionTreeRegressor
2.136,2.476,DecisionTreeRegressor
4.211,0.516,DecisionTreeRegressor
8.094,6.546,DecisionTreeRegressor
5.567,4.368,DecisionTreeRegressor
8.221,6.64,DecisionTreeRegressor
1.472,1.806,DecisionTreeRegressor
-0.69,1.112,DecisionTreeRegressor
10.395,9.209,DecisionTreeRegressor
1.642,3.635,DecisionTreeRegressor
2.04,1.736,DecisionTreeRegressor
2.875,4.403,DecisionTreeRegressor
2.097,5.125,DecisionTreeRegressor
7.461,5.70280638855171,GradientBoostingRegressor
5.479,5.669754219789395,GradientBoostingRegressor
6.023,5.70280638855171,GradientBoostingRegressor
3.006,2.972979770639826,GradientBoostingRegressor
1.364,2.6267084993233216,GradientBoostingRegressor
1.306,2.6267084993233216,GradientBoostingRegressor
0.602,2.2214116205430674,GradientBoostingRegressor
8.221,6.668382288830186,GradientBoostingRegressor
4.329,4.513906159929997,GradientBoostingRegressor
2.136,2.9686886457932253,GradientBoostingRegressor
4.211,4.483963266934338,GradientBoostingRegressor
8.094,5.70280638855171,GradientBoostingRegressor
5.567,4.400048699816038,GradientBoostingRegressor
8.221,6.668382288830186,GradientBoostingRegressor
1.472,2.6267084993233216,GradientBoostingRegressor
-0.69,1.7434728258054957,GradientBoostingRegressor
10.395,6.668382288830186,GradientBoostingRegressor
1.642,2.6267084993233216,GradientBoostingRegressor
2.04,2.816658273572785,GradientBoostingRegressor
2.875,4.293567909171083,GradientBoostingRegressor
2.097,2.6309996241699225,GradientBoostingRegressor
7.461,5.763054463924964,RandomForestRegressor
5.479,6.264062432539683,RandomForestRegressor
6.023,5.082873376984126,RandomForestRegressor
3.006,2.7369660753968255,RandomForestRegressor
1.364,2.4570227460317478,RandomForestRegressor
1.306,1.9108394880952377,RandomForestRegressor
0.602,1.4872647777777777,RandomForestRegressor
8.221,7.6128556096681095,RandomForestRegressor
4.329,3.7039543809523803,RandomForestRegressor
2.136,2.8558806111111106,RandomForestRegressor
4.211,3.0366039029581513,RandomForestRegressor
8.094,6.560371683399932,RandomForestRegressor
5.567,3.433197904761904,RandomForestRegressor
8.221,7.658645900793648,RandomForestRegressor
1.472,1.7638745119047625,RandomForestRegressor
-0.69,2.5436542936507935,RandomForestRegressor
10.395,7.224919876984126,RandomForestRegressor
1.642,2.4351800873015863,RandomForestRegressor
2.04,1.8226745753968256,RandomForestRegressor
2.875,3.5339763452380932,RandomForestRegressor
2.097,2.0796198690476193,RandomForestRegressor
7.461,6.444588235294116,AdaBoostRegressor
5.479,6.475444444444444,AdaBoostRegressor
6.023,6.439134146341461,AdaBoostRegressor
3.006,2.2747826086956526,AdaBoostRegressor
1.364,1.9362380952380953,AdaBoostRegressor
1.306,1.7624545454545457,AdaBoostRegressor
0.602,1.1026923076923076,AdaBoostRegressor
8.221,8.323773809523805,AdaBoostRegressor
4.329,4.369363636363636,AdaBoostRegressor
2.136,2.2747826086956526,AdaBoostRegressor
4.211,4.348692307692309,AdaBoostRegressor
8.094,6.47797142857143,AdaBoostRegressor
5.567,4.387064516129032,AdaBoostRegressor
8.221,8.321382978723408,AdaBoostRegressor
1.472,1.826045454545454,AdaBoostRegressor
-0.69,0.645625,AdaBoostRegressor
10.395,8.316530612244899,AdaBoostRegressor
1.642,1.9360714285714284,AdaBoostRegressor
2.04,1.8034736842105266,AdaBoostRegressor
2.875,4.336961538461538,AdaBoostRegressor
2.097,1.826045454545454,AdaBoostRegressor
7.461,5.386056461861119,KNeighborsRegressor
5.479,6.3978242685996705,KNeighborsRegressor
6.023,3.932769784613443,KNeighborsRegressor
3.006,2.7272710458055274,KNeighborsRegressor
1.364,4.5606626138424,KNeighborsRegressor
1.306,1.6833160066504622,KNeighborsRegressor
0.602,1.9529924734063695,KNeighborsRegressor
8.221,7.014199128942904,KNeighborsRegressor
4.329,3.4542461402947544,KNeighborsRegressor
2.136,3.3665117691575124,KNeighborsRegressor
4.211,2.365091817012179,KNeighborsRegressor
8.094,5.568002657295764,KNeighborsRegressor
5.567,2.6394479556108355,KNeighborsRegressor
8.221,7.0683473892757664,KNeighborsRegressor
