Actual,Predicted,Model
7.461,8.516302935783383,Ridge
5.479,6.853835468331209,Ridge
6.023,4.348476035450851,Ridge
3.006,2.036736918736086,Ridge
1.364,2.0780495551930964,Ridge
1.306,2.1452763760640763,Ridge
0.602,-0.9831762314608863,Ridge
8.221,7.825776536720711,Ridge
4.329,2.5033827397246347,Ridge
2.136,1.993858093259179,Ridge
4.211,0.9821568449144671,Ridge
8.094,6.679582817088384,Ridge
5.567,3.540403441128019,Ridge
8.221,6.660180054139834,Ridge
1.472,-1.9996238613984945,Ridge
-0.69,-0.7024263517254878,Ridge
10.395,14.883464572825709,Ridge
1.642,2.9671579479216312,Ridge
2.04,-0.14973942305199728,Ridge
2.875,2.8534232510273116,Ridge
2.097,5.197021979410126,Ridge
7.461,6.903,DecisionTreeRegressor
5.479,6.678,DecisionTreeRegressor
6.023,5.479,DecisionTreeRegressor
3.006,2.693,DecisionTreeRegressor
1.364,0.618,DecisionTreeRegressor
1.306,1.8033333333333335,DecisionTreeRegressor
0.602,1.844,DecisionTreeRegressor
8.221,8.287,DecisionTreeRegressor
4.329,4.703333333333334,DecisionTreeRegressor
2.136,7.063,DecisionTreeRegressor
4.211,0.806,DecisionTreeRegressor
8.094,6.532,DecisionTreeRegressor
5.567,5.157333333333333,DecisionTreeRegressor
8.221,6.521666666666666,DecisionTreeRegressor
1.472,0.7799999999999999,DecisionTreeRegressor
-0.69,1.155,DecisionTreeRegressor
10.395,9.308,DecisionTreeRegressor
1.642,2.2416666666666667,DecisionTreeRegressor
2.04,1.155,DecisionTreeRegressor
2.875,3.7866666666666666,DecisionTreeRegressor
2.097,1.457,DecisionTreeRegressor
7.461,5.692914491741249,GradientBoostingRegressor
5.479,5.659655016447088,GradientBoostingRegressor
6.023,5.692914491741249,GradientBoostingRegressor
3.006,2.9725996257435905,GradientBoostingRegressor
1.364,2.6251119164553525,GradientBoostingRegressor
1.306,2.6251119164553525,GradientBoostingRegressor
0.602,2.2215601549341732,GradientBoostingRegressor
8.221,6.480051660800125,GradientBoostingRegressor
4.329,4.520008912062839,GradientBoostingRegressor
2.136,2.9598138369866214,GradientBoostingRegressor
4.211,4.4894325441785785,GradientBoostingRegressor
8.094,5.692914491741249,GradientBoostingRegressor
5.567,4.406478120515183,GradientBoostingRegressor
8.221,6.480051660800125,GradientBoostingRegressor
1.472,2.6251119164553525,GradientBoostingRegressor
-0.69,1.76232411703479,GradientBoostingRegressor
10.395,6.480051660800125,GradientBoostingRegressor
1.642,2.6251119164553525,GradientBoostingRegressor
2.04,2.792993539423907,GradientBoostingRegressor
2.875,4.28704850804496,GradientBoostingRegressor
2.097,2.6378977052123216,GradientBoostingRegressor
7.461,5.584006928571427,RandomForestRegressor
5.479,6.110650133477633,RandomForestRegressor
6.023,5.132133162698413,RandomForestRegressor
3.006,2.6776377896825405,RandomForestRegressor
1.364,2.468836773448774,RandomForestRegressor
1.306,1.8743820919913423,RandomForestRegressor
0.602,2.0037444777167273,RandomForestRegressor
8.221,7.691998388888885,RandomForestRegressor
4.329,4.070258464285712,RandomForestRegressor
2.136,2.950800786435787,RandomForestRegressor
4.211,3.5190682380952385,RandomForestRegressor
8.094,6.0908677499999975,RandomForestRegressor
5.567,3.777495238095239,RandomForestRegressor
8.221,7.590434075396827,RandomForestRegressor
1.472,1.909478071428571,RandomForestRegressor
-0.69,2.9418881403318897,RandomForestRegressor
10.395,7.05492137301587,RandomForestRegressor
1.642,2.4276212063492055,RandomForestRegressor
2.04,2.0238866803751794,RandomForestRegressor
2.875,3.960883043650793,RandomForestRegressor
2.097,1.8315776482683994,RandomForestRegressor
7.461,6.61727868852459,AdaBoostRegressor
5.479,6.61727868852459,AdaBoostRegressor
6.023,6.641933333333332,AdaBoostRegressor
3.006,2.3886562499999995,AdaBoostRegressor
1.364,1.974542857142857,AdaBoostRegressor
1.306,1.974542857142857,AdaBoostRegressor
0.602,0.9963793103448279,AdaBoostRegressor
8.221,7.108532258064516,AdaBoostRegressor
4.329,4.537108108108109,AdaBoostRegressor
2.136,2.3329166666666663,AdaBoostRegressor
4.211,4.446135135135136,AdaBoostRegressor
8.094,6.61727868852459,AdaBoostRegressor
5.567,4.520199999999998,AdaBoostRegressor
8.221,7.108532258064516,AdaBoostRegressor
1.472,1.9401999999999997,AdaBoostRegressor
-0.69,0.46807999999999994,AdaBoostRegressor
10.395,8.071333333333333,AdaBoostRegressor
1.642,1.8529999999999998,AdaBoostRegressor
2.04,1.9919130434782606,AdaBoostRegressor
2.875,4.39408108108108,AdaBoostRegressor
2.097,1.974542857142857,AdaBoostRegressor
7.461,4.2215869622343725,KNeighborsRegressor
5.479,6.199760037598567,KNeighborsRegressor
6.023,3.6277473644092164,KNeighborsRegressor
3.006,2.937957067809986,KNeighborsRegressor
1.364,2.6889989138554973,KNeighborsRegressor
1.306,1.4096364918877287,KNeighborsRegressor
0.602,2.0557973584737,KNeighborsRegressor
8.221,7.40993717056289,KNeighborsRegressor
4.329,3.2361590675916077,KNeighborsRegressor
2.136,3.679735639163718,KNeighborsRegressor
4.211,2.6026980106522584,KNeighborsRegressor
8.094,6.129395027047802,KNeighborsRegressor
5.567,3.7009881882381226,KNeighborsRegressor
8.221,7.127450122497222,KNeighborsRegressor
1.472,1.5023958036170983,KNeighborsRegressor
-0.69,1.93247394401287,KNeighborsRegressor
10.395,6.965882848921188,KNeighborsRegressor
1.642,2.2198200300398323,KNeighborsRegressor
2.04,1.685763517274865,KNeighborsRegressor
2.875,3.146236836152689,KNeighborsRegressor
2.097,1.2452644691177015,KNeighborsRegressor
7.461,2.184899362459287,MLPRegressor
5.479,6.788864779263859,MLPRegressor
6.023,4.211866827480271,MLPRegressor
3.006,2.119435052375505,MLPRegressor
1.364,1.9204256505328585,MLPRegressor
1.306,0.8305526959681309,MLPRegressor
0.602,-0.07781164625354009,MLPRegressor
8.221,7.36706783199249,MLPRegressor
4.329,1.5614844176338807,MLPRegressor
2.136,3.3289295183935836,MLPRegressor
4.211,1.248605411419551,MLPRegressor
8.094,7.558702958013342,MLPRegressor
5.567,2.3509300571042475,MLPRegressor
8.221,7.460506827860327,MLPRegressor
1.472,1.2866532727033995,MLPRegressor
-0.69,0.8896121130794603,MLPRegressor
10.395,10.506297926227575,MLPRegressor
1.642,2.5439798127078133,MLPRegressor
2.04,1.0469578833425153,MLPRegressor
2.875,2.532684536954223,MLPRegressor
2.097,2.657472734601124,MLPRegressor
7.461,5.736017441786001,ElasticNet
5.479,6.8735041283594,ElasticNet
6.023,4.5966437882714795,ElasticNet
3.006,3.3783821524950324,ElasticNet
1.364,3.403165197777125,ElasticNet
1.306,1.8222000349992906,ElasticNet
0.602,2.6168895819987106,ElasticNet
8.221,7.207601290394413,ElasticNet
4.329,3.3578025697053246,ElasticNet
2.136,3.1769259207785727,ElasticNet
4.211,2.95143984986157,ElasticNet
8.094,5.614453507048866,ElasticNet
5.567,3.4701968991484042,ElasticNet
8.221,6.831283548958167,ElasticNet
1.472,1.8089137004668303,ElasticNet
-0.69,2.3871124403957067,ElasticNet
10.395,7.071359219319427,ElasticNet
1.642,2.248488262036043,ElasticNet
2.04,2.179871307078369,ElasticNet
2.875,3.57443292590163,ElasticNet
2.097,2.7829301327740046,ElasticNet
7.461,8.421928581085936,SGDRegressor
5.479,5.7448580930837,SGDRegressor
6.023,7.304968342423936,SGDRegressor
3.006,1.8160680088549164,SGDRegressor
1.364,3.791894823609817,SGDRegressor
1.306,2.46023162692451,SGDRegressor
0.602,-4.7840252531877985,SGDRegressor
8.221,8.001132809187174,SGDRegressor
4.329,-0.9782123237785445,SGDRegressor
2.136,2.6096873615964897,SGDRegressor
4.211,1.8098553696064608,SGDRegressor
8.094,6.17853537284409,SGDRegressor
5.567,0.9518941151951248,SGDRegressor
8.221,6.717305446458271,SGDRegressor
1.472,2.261633076117029,SGDRegressor
-0.69,0.34270045732507626,SGDRegressor
10.395,18.581804410942834,SGDRegressor
1.642,-0.7333604192066723,SGDRegressor
2.04,1.9768834901194352,SGDRegressor
2.875,4.153124682033278,SGDRegressor
2.097,5.078180146072491,SGDRegressor
7.461,6.817957893368119,BayesianRidge
5.479,7.034961060012401,BayesianRidge
6.023,4.778377701935528,BayesianRidge
3.006,2.9166561092234247,BayesianRidge
1.364,2.711581941462148,BayesianRidge
1.306,1.1554389178336981,BayesianRidge
0.602,0.30327054657314223,BayesianRidge
8.221,7.400281788729627,BayesianRidge
4.329,2.0899101536942735,BayesianRidge
2.136,2.816632103467616,BayesianRidge
4.211,1.37681710682521,BayesianRidge
8.094,7.238726930571151,BayesianRidge
5.567,3.317431432841087,BayesianRidge
8.221,7.132291848562955,BayesianRidge
1.472,-0.40629594504818733,BayesianRidge
-0.69,0.8549118591783595,BayesianRidge
10.395,12.274009451099651,BayesianRidge
1.642,1.9924222226191954,BayesianRidge
2.04,1.1140371726632559,BayesianRidge
2.875,3.438264916337036,BayesianRidge
2.097,3.920573364765687,BayesianRidge
7.461,4.434630458664916,KernelRidge
5.479,6.918694167769675,KernelRidge
6.023,4.576780444876604,KernelRidge
3.006,2.678715443973556,KernelRidge
1.364,3.2328113745704155,KernelRidge
1.306,1.271370757949719,KernelRidge
0.602,1.3265758342609049,KernelRidge
8.221,7.781067329544115,KernelRidge
4.329,1.6323740288106943,KernelRidge
2.136,3.5323909057724294,KernelRidge
