Actual,Predicted,Model
7.461,8.45384069315714,Ridge
5.479,7.061889043340798,Ridge
6.023,4.239040450465205,Ridge
3.006,3.02159950168736,Ridge
1.364,2.916484065061163,Ridge
1.306,1.2638936307450468,Ridge
0.602,-0.47032431317640455,Ridge
8.221,7.440144837144647,Ridge
4.329,0.7228660320958342,Ridge
2.136,2.209229885017442,Ridge
4.211,1.7842382598971813,Ridge
8.094,6.810930854483058,Ridge
5.567,4.605788572538575,Ridge
8.221,6.669666546726523,Ridge
1.472,-0.794426359826157,Ridge
-0.69,-1.5154007875875202,Ridge
10.395,14.458193796063119,Ridge
1.642,3.041677189783921,Ridge
2.04,1.1233001178929554,Ridge
2.875,3.6186168618301604,Ridge
2.097,3.8200561800033954,Ridge
7.461,0.738,DecisionTreeRegressor
5.479,5.4915,DecisionTreeRegressor
6.023,3.5835,DecisionTreeRegressor
3.006,2.3964999999999996,DecisionTreeRegressor
1.364,5.306,DecisionTreeRegressor
1.306,1.6124999999999998,DecisionTreeRegressor
0.602,1.2610000000000001,DecisionTreeRegressor
8.221,9.209,DecisionTreeRegressor
4.329,4.403,DecisionTreeRegressor
2.136,2.94,DecisionTreeRegressor
4.211,3.734,DecisionTreeRegressor
8.094,5.1525,DecisionTreeRegressor
5.567,5.1739999999999995,DecisionTreeRegressor
8.221,9.209,DecisionTreeRegressor
1.472,1.587,DecisionTreeRegressor
-0.69,0.8765000000000001,DecisionTreeRegressor
10.395,0.155,DecisionTreeRegressor
1.642,1.172,DecisionTreeRegressor
2.04,0.738,DecisionTreeRegressor
2.875,5.1825,DecisionTreeRegressor
2.097,4.368,DecisionTreeRegressor
7.461,5.700110724932945,GradientBoostingRegressor
5.479,5.670824855434369,GradientBoostingRegressor
6.023,5.700110724932945,GradientBoostingRegressor
3.006,3.0041568257753903,GradientBoostingRegressor
1.364,2.6795807152935445,GradientBoostingRegressor
1.306,2.6218548245642745,GradientBoostingRegressor
0.602,2.221432519500962,GradientBoostingRegressor
8.221,6.644705911698968,GradientBoostingRegressor
4.329,4.517190039421587,GradientBoostingRegressor
2.136,2.9464309350461204,GradientBoostingRegressor
4.211,4.477890059935651,GradientBoostingRegressor
8.094,5.700110724932945,GradientBoostingRegressor
5.567,4.403323933844701,GradientBoostingRegressor
8.221,6.644705911698968,GradientBoostingRegressor
1.472,2.6436092984367643,GradientBoostingRegressor
-0.69,1.6558739243648677,GradientBoostingRegressor
10.395,6.652226652865149,GradientBoostingRegressor
1.642,2.6436092984367643,GradientBoostingRegressor
