Actual,Predicted,Model
7.461,7.558179253363945,Ridge
5.479,7.750494789957076,Ridge
6.023,4.336259367287233,Ridge
3.006,1.8357554173719497,Ridge
1.364,2.8114889752673884,Ridge
1.306,1.8767031050698795,Ridge
0.602,-0.3160533130188581,Ridge
8.221,6.906544782788966,Ridge
4.329,0.9358220303694713,Ridge
2.136,1.7903459996997766,Ridge
4.211,1.31622931954311,Ridge
8.094,6.373518124798718,Ridge
5.567,4.088700065361821,Ridge
8.221,7.282046850688898,Ridge
1.472,-2.2382772332518304,Ridge
-0.69,-2.6918457412727665,Ridge
10.395,15.643319591711192,Ridge
1.642,2.5600886777558856,Ridge
2.04,1.3371008782717482,Ridge
2.875,3.6953493292954858,Ridge
2.097,6.929894956120923,Ridge
7.461,1.1446666666666667,DecisionTreeRegressor
5.479,6.3486666666666665,DecisionTreeRegressor
6.023,5.46175,DecisionTreeRegressor
3.006,3.77,DecisionTreeRegressor
1.364,3.4589999999999996,DecisionTreeRegressor
1.306,2.617666666666667,DecisionTreeRegressor
0.602,2.447,DecisionTreeRegressor
8.221,8.67575,DecisionTreeRegressor
4.329,5.125,DecisionTreeRegressor
2.136,2.887,DecisionTreeRegressor
4.211,2.8994999999999997,DecisionTreeRegressor
8.094,7.364,DecisionTreeRegressor
5.567,2.089,DecisionTreeRegressor
8.221,8.67575,DecisionTreeRegressor
1.472,0.5825,DecisionTreeRegressor
-0.69,6.641500000000001,DecisionTreeRegressor
10.395,8.67575,DecisionTreeRegressor
1.642,2.8049999999999997,DecisionTreeRegressor
2.04,1.04475,DecisionTreeRegressor
2.875,2.447,DecisionTreeRegressor
2.097,1.203,DecisionTreeRegressor
7.461,5.724489218844687,GradientBoostingRegressor
5.479,5.651087131871362,GradientBoostingRegressor
6.023,5.724489218844687,GradientBoostingRegressor
3.006,2.972979770639826,GradientBoostingRegressor
1.364,2.6267084993233216,GradientBoostingRegressor
1.306,2.6267084993233216,GradientBoostingRegressor
0.602,2.2214116205430674,GradientBoostingRegressor
8.221,6.638502217867175,GradientBoostingRegressor
4.329,4.513994214152835,GradientBoostingRegressor
2.136,2.9686886457932253,GradientBoostingRegressor
4.211,4.484333843807875,GradientBoostingRegressor
8.094,5.724489218844687,GradientBoostingRegressor
5.567,4.399957652571262,GradientBoostingRegressor
8.221,6.638502217867175,GradientBoostingRegressor
1.472,2.6267084993233216,GradientBoostingRegressor
-0.69,1.7160466487739234,GradientBoostingRegressor
10.395,6.690086153065787,GradientBoostingRegressor
1.642,2.6267084993233216,GradientBoostingRegressor
2.04,2.816658273572785,GradientBoostingRegressor
2.875,4.294323725453277,GradientBoostingRegressor
2.097,2.6309996241699225,GradientBoostingRegressor
7.461,5.896143343434342,RandomForestRegressor
5.479,6.248269644300143,RandomForestRegressor
6.023,5.5612471706349185,RandomForestRegressor
3.006,2.697646428571429,RandomForestRegressor
1.364,2.782281095238096,RandomForestRegressor
1.306,1.9365787380952382,RandomForestRegressor
0.602,1.6264442341269845,RandomForestRegressor
8.221,7.906980023809524,RandomForestRegressor
4.329,3.7651050357142855,RandomForestRegressor
2.136,2.9293284246031743,RandomForestRegressor
4.211,3.0237335357142867,RandomForestRegressor
8.094,5.987359638888887,RandomForestRegressor
5.567,3.6615861507936507,RandomForestRegressor
8.221,7.829209969696969,RandomForestRegressor
1.472,1.9281013650793646,RandomForestRegressor
-0.69,2.6072851269841277,RandomForestRegressor
10.395,7.358741797619052,RandomForestRegressor
1.642,2.375315814574314,RandomForestRegressor
2.04,1.930789666666667,RandomForestRegressor
2.875,3.7731420396825395,RandomForestRegressor
2.097,2.175042551587302,RandomForestRegressor
7.461,6.3920638297872365,AdaBoostRegressor
5.479,6.382684210526317,AdaBoostRegressor
