Actual,Predicted,Model
7.461,8.770667246880123,Ridge
5.479,7.40766286088772,Ridge
6.023,4.081375036318684,Ridge
3.006,1.9721892374412913,Ridge
1.364,1.8671017481618337,Ridge
1.306,2.051150585507228,Ridge
0.602,-0.5117424553468766,Ridge
8.221,7.442839190138848,Ridge
4.329,2.281758041489178,Ridge
2.136,1.816141381145135,Ridge
4.211,1.7151173130647992,Ridge
8.094,7.322183144406971,Ridge
5.567,4.115147632591198,Ridge
8.221,7.108279848518116,Ridge
1.472,-1.5566725974502305,Ridge
-0.69,-1.6839868532494746,Ridge
10.395,15.924148471721264,Ridge
1.642,3.024054332102555,Ridge
2.04,0.4410407414425581,Ridge
2.875,3.5242496658404985,Ridge
2.097,5.70685330826962,Ridge
7.461,1.161,DecisionTreeRegressor
5.479,5.479,DecisionTreeRegressor
6.023,6.763999999999999,DecisionTreeRegressor
3.006,2.7270000000000003,DecisionTreeRegressor
1.364,2.555,DecisionTreeRegressor
1.306,1.514,DecisionTreeRegressor
0.602,1.504,DecisionTreeRegressor
8.221,6.4475,DecisionTreeRegressor
4.329,4.63,DecisionTreeRegressor
2.136,2.7270000000000003,DecisionTreeRegressor
4.211,5.085,DecisionTreeRegressor
8.094,7.066,DecisionTreeRegressor
5.567,4.519,DecisionTreeRegressor
8.221,7.8260000000000005,DecisionTreeRegressor
1.472,1.6124999999999998,DecisionTreeRegressor
-0.69,1.112,DecisionTreeRegressor
10.395,9.407,DecisionTreeRegressor
1.642,1.949,DecisionTreeRegressor
2.04,2.021,DecisionTreeRegressor
2.875,3.1245000000000003,DecisionTreeRegressor
2.097,1.504,DecisionTreeRegressor
7.461,5.732644205181577,GradientBoostingRegressor
5.479,5.654885630352524,GradientBoostingRegressor
6.023,5.723399340142574,GradientBoostingRegressor
3.006,2.972979770639826,GradientBoostingRegressor
1.364,2.626708499323321,GradientBoostingRegressor
1.306,2.626708499323321,GradientBoostingRegressor
0.602,2.2214116205430674,GradientBoostingRegressor
8.221,6.630568479918459,GradientBoostingRegressor
4.329,4.513136049764217,GradientBoostingRegressor
2.136,2.9686886457932253,GradientBoostingRegressor
4.211,4.464850080485585,GradientBoostingRegressor
8.094,5.732644205181577,GradientBoostingRegressor
5.567,4.406541877207391,GradientBoostingRegressor
8.221,6.697528036190542,GradientBoostingRegressor
1.472,2.626708499323321,GradientBoostingRegressor
-0.69,1.6744033952827926,GradientBoostingRegressor
10.395,6.697528036190542,GradientBoostingRegressor
1.642,2.626708499323321,GradientBoostingRegressor
2.04,2.816658273572785,GradientBoostingRegressor
2.875,4.2860257113935365,GradientBoostingRegressor
2.097,2.630999624169922,GradientBoostingRegressor
7.461,5.897790121212121,RandomForestRegressor
5.479,6.228118119047618,RandomForestRegressor
