Actual,Predicted,Model
7.461,8.739721496193834,Ridge
5.479,7.050449267529606,Ridge
6.023,4.0618456730536865,Ridge
3.006,1.890963412004501,Ridge
1.364,1.9780315846182006,Ridge
1.306,1.9024081759260558,Ridge
0.602,-0.44724177360633366,Ridge
8.221,7.318887884395371,Ridge
4.329,2.448544363917496,Ridge
2.136,1.9949652770197228,Ridge
4.211,1.605994241922816,Ridge
8.094,7.091265218475574,Ridge
5.567,4.04288189595908,Ridge
8.221,7.276420729047633,Ridge
1.472,-1.2660405221827666,Ridge
-0.69,-1.5445021478446952,Ridge
10.395,15.638461929703645,Ridge
1.642,2.8177695887372503,Ridge
2.04,0.3826555523725834,Ridge
2.875,3.5640110245058407,Ridge
2.097,5.227274092006035,Ridge
7.461,7.34,DecisionTreeRegressor
5.479,6.312,DecisionTreeRegressor
6.023,4.3425,DecisionTreeRegressor
3.006,5.504,DecisionTreeRegressor
1.364,1.602,DecisionTreeRegressor
1.306,0.874,DecisionTreeRegressor
0.602,2.618,DecisionTreeRegressor
8.221,7.431,DecisionTreeRegressor
4.329,4.2595,DecisionTreeRegressor
2.136,0.8605,DecisionTreeRegressor
4.211,1.514,DecisionTreeRegressor
8.094,6.546,DecisionTreeRegressor
5.567,0.8674999999999999,DecisionTreeRegressor
8.221,7.253,DecisionTreeRegressor
1.472,3.197,DecisionTreeRegressor
-0.69,5.504,DecisionTreeRegressor
10.395,9.1105,DecisionTreeRegressor
1.642,2.092,DecisionTreeRegressor
2.04,3.6935000000000002,DecisionTreeRegressor
2.875,1.401,DecisionTreeRegressor
2.097,6.546,DecisionTreeRegressor
7.461,5.732214923868316,GradientBoostingRegressor
5.479,5.654468138966289,GradientBoostingRegressor
6.023,5.732214923868316,GradientBoostingRegressor
3.006,2.9729797706398258,GradientBoostingRegressor
1.364,2.626708499323321,GradientBoostingRegressor
1.306,2.626708499323321,GradientBoostingRegressor
0.602,2.221411620543067,GradientBoostingRegressor
8.221,6.630573691826069,GradientBoostingRegressor
4.329,4.514611495674548,GradientBoostingRegressor
2.136,2.968688645793225,GradientBoostingRegressor
4.211,4.4755703914349185,GradientBoostingRegressor
8.094,5.732214923868316,GradientBoostingRegressor
5.567,4.400767002618484,GradientBoostingRegressor
8.221,6.697527632334286,GradientBoostingRegressor
1.472,2.626708499323321,GradientBoostingRegressor
-0.69,1.7054815470532432,GradientBoostingRegressor
10.395,6.697527632334286,GradientBoostingRegressor
1.642,2.626708499323321,GradientBoostingRegressor
2.04,2.8166582735727848,GradientBoostingRegressor
2.875,4.296770448178009,GradientBoostingRegressor
2.097,2.630999624169922,GradientBoostingRegressor
7.461,5.77638,RandomForestRegressor
5.479,6.0604400000000025,RandomForestRegressor
6.023,5.164889999999998,RandomForestRegressor
3.006,2.69444,RandomForestRegressor
1.364,2.3507499999999997,RandomForestRegressor
1.306,2.1582900000000005,RandomForestRegressor
0.602,1.8370799999999994,RandomForestRegressor
8.221,7.870699999999994,RandomForestRegressor
4.329,3.9325799999999997,RandomForestRegressor
2.136,3.0239999999999987,RandomForestRegressor
4.211,3.3906299999999994,RandomForestRegressor
8.094,6.159500000000001,RandomForestRegressor
5.567,3.618799999999999,RandomForestRegressor
8.221,7.986239999999998,RandomForestRegressor
1.472,1.68908,RandomForestRegressor
-0.69,2.1965199999999996,RandomForestRegressor
10.395,7.17255,RandomForestRegressor
1.642,2.5798799999999993,RandomForestRegressor
2.04,2.186809999999999,RandomForestRegressor
2.875,4.130809999999998,RandomForestRegressor
2.097,2.04915,RandomForestRegressor
7.461,6.438666666666665,AdaBoostRegressor
5.479,6.426100000000001,AdaBoostRegressor
6.023,6.426100000000001,AdaBoostRegressor
3.006,2.226449999999999,AdaBoostRegressor
1.364,1.86304,AdaBoostRegressor
1.306,1.8306000000000004,AdaBoostRegressor
0.602,1.002304347826087,AdaBoostRegressor
8.221,8.280249999999997,AdaBoostRegressor
4.329,4.442312500000001,AdaBoostRegressor
2.136,2.2040909090909095,AdaBoostRegressor
4.211,4.3918124999999995,AdaBoostRegressor
8.094,6.456951219512194,AdaBoostRegressor
5.567,4.458571428571429,AdaBoostRegressor
8.221,8.257189189189189,AdaBoostRegressor
1.472,1.858666666666667,AdaBoostRegressor
-0.69,0.5687599999999999,AdaBoostRegressor
10.395,8.257189189189189,AdaBoostRegressor
1.642,2.1014242424242426,AdaBoostRegressor
2.04,1.8704615384615386,AdaBoostRegressor
2.875,4.377918918918921,AdaBoostRegressor
2.097,1.8626363636363634,AdaBoostRegressor
7.461,4.9108894534307215,KNeighborsRegressor
5.479,6.418693276973402,KNeighborsRegressor
6.023,4.477575361464052,KNeighborsRegressor
3.006,2.838115387476408,KNeighborsRegressor
1.364,3.6825591057388523,KNeighborsRegressor
1.306,1.554516401776493,KNeighborsRegressor
0.602,3.3313592264776326,KNeighborsRegressor
8.221,7.009356550275454,KNeighborsRegressor
4.329,2.9823473917658805,KNeighborsRegressor
2.136,3.3533596458849697,KNeighborsRegressor
4.211,2.4834919023048188,KNeighborsRegressor
8.094,5.997691241560995,KNeighborsRegressor
5.567,2.624488566061053,KNeighborsRegressor
8.221,6.8661210882897405,KNeighborsRegressor
1.472,1.4705038018982444,KNeighborsRegressor
-0.69,2.429867786383539,KNeighborsRegressor
10.395,7.50391796623623,KNeighborsRegressor
1.642,2.891110515972422,KNeighborsRegressor
2.04,1.779082516578893,KNeighborsRegressor
2.875,3.9543029649654677,KNeighborsRegressor
2.097,2.200267528650753,KNeighborsRegressor
7.461,7.255166468552103,MLPRegressor
5.479,5.843249762554429,MLPRegressor
6.023,5.105978583609299,MLPRegressor
3.006,2.7589509285870237,MLPRegressor
1.364,2.7097310650318533,MLPRegressor
1.306,1.047674867818209,MLPRegressor
0.602,-0.45690086789813905,MLPRegressor
8.221,7.445913672950252,MLPRegressor
4.329,2.2022248459567644,MLPRegressor
2.136,3.179597739180694,MLPRegressor
4.211,1.502732013201757,MLPRegressor
8.094,7.811093188557609,MLPRegressor
5.567,3.1515973455431165,MLPRegressor
8.221,7.767073819111022,MLPRegressor
1.472,1.4426387754120826,MLPRegressor
-0.69,0.31864533217090424,MLPRegressor
10.395,10.34073579478699,MLPRegressor
1.642,1.9495316367426598,MLPRegressor
2.04,1.4179144359219606,MLPRegressor
2.875,2.8066823927419327,MLPRegressor
2.097,3.9412469892974205,MLPRegressor
7.461,5.743390743881563,ElasticNet
5.479,6.892099895811505,ElasticNet
6.023,4.580807738080704,ElasticNet
3.006,3.3567218708216706,ElasticNet
1.364,3.353085415731959,ElasticNet
1.306,1.8091463393634735,ElasticNet
0.602,2.7239540920424714,ElasticNet
8.221,7.214273091915886,ElasticNet
4.329,3.3685269577660546,ElasticNet
2.136,3.1995711786784855,ElasticNet
4.211,2.941044757674999,ElasticNet
8.094,5.627353646718088,ElasticNet
5.567,3.4583921181291437,ElasticNet
8.221,6.844936280838023,ElasticNet
1.472,1.8259151566370782,ElasticNet
-0.69,2.306891794205235,ElasticNet
10.395,7.084129148672194,ElasticNet
1.642,2.21164851654987,ElasticNet
2.04,2.1309190819483264,ElasticNet
2.875,3.5300007773976763,ElasticNet
2.097,2.7194270121830706,ElasticNet
7.461,8.487042492813416,SGDRegressor
5.479,6.440045229992229,SGDRegressor
6.023,4.873709961374031,SGDRegressor
3.006,3.8453110252339187,SGDRegressor
1.364,3.1762920182945926,SGDRegressor
1.306,3.1896413689135708,SGDRegressor
0.602,-0.12603992342246073,SGDRegressor
8.221,7.896353032451013,SGDRegressor
4.329,-0.9341448333446252,SGDRegressor
2.136,4.897006079297601,SGDRegressor
4.211,1.6387981487732,SGDRegressor
8.094,5.465124458414756,SGDRegressor
5.567,5.535719354270215,SGDRegressor
8.221,10.573526834027573,SGDRegressor
1.472,0.7387022751086598,SGDRegressor
-0.69,0.9002700553556151,SGDRegressor
10.395,12.522666487170827,SGDRegressor
1.642,0.6741732476106694,SGDRegressor
2.04,1.214747817396836,SGDRegressor
2.875,2.687328620094508,SGDRegressor
2.097,4.137609611757012,SGDRegressor
7.461,6.9696347696978815,BayesianRidge
5.479,7.228133394652605,BayesianRidge
6.023,4.47995345880158,BayesianRidge
3.006,2.8293981500867496,BayesianRidge
1.364,2.4607021543066963,BayesianRidge
1.306,1.1741098041096785,BayesianRidge
0.602,0.5475304808322914,BayesianRidge
8.221,7.345778505464959,BayesianRidge
4.329,2.3233400381919775,BayesianRidge
2.136,3.1044272360870657,BayesianRidge
4.211,1.5950675259925484,BayesianRidge
8.094,7.170871121987717,BayesianRidge
5.567,3.567798815805961,BayesianRidge
8.221,7.526553616513238,BayesianRidge
1.472,-0.14451118755537085,BayesianRidge
-0.69,1.0538776328243036,BayesianRidge
10.395,12.60339573567556,BayesianRidge
1.642,1.8880340506565352,BayesianRidge
2.04,1.3893566717205403,BayesianRidge
2.875,3.827322960286495,BayesianRidge
2.097,4.980484347856129,BayesianRidge
7.461,4.4754620134833605,KernelRidge
5.479,7.431707237437647,KernelRidge
6.023,4.521710194135363,KernelRidge
3.006,2.6959458300889105,KernelRidge
1.364,2.542187879875661,KernelRidge
1.306,1.3497496487291625,KernelRidge
0.602,1.4089478528774775,KernelRidge
8.221,8.291555590516694,KernelRidge
4.329,1.523943535722782,KernelRidge
2.136,3.864722438378576,KernelRidge
4.211,1.8485506994158087,KernelRidge
8.094,6.088472034410802,KernelRidge
5.567,3.3672751970589623,KernelRidge
8.221,7.961710080443197,KernelRidge
1.472,0.44774149421717246,KernelRidge
-0.69,0.9496127167872841,KernelRidge
10.395,6.645344045640555,KernelRidge
1.642,2.4700763490888122,KernelRidge
2.04,1.7825499222751242,KernelRidge
2.875,3.2842364528876153,KernelRidge
2.097,0.6616930348633575,KernelRidge
7.461,8.355841574127215,LinearRegression
5.479,6.866803730081187,LinearRegression
6.023,4.822851869263066,LinearRegression
3.006,3.6530827854199566,LinearRegression
1.364,3.067378977933765,LinearRegression
1.306,1.671129108449776,LinearRegression
0.602,0.7153067277546157,LinearRegression
8.221,6.906759166815517,LinearRegression
4.329,1.716789743943726,LinearRegression
2.136,2.5883879709744475,LinearRegression
4.211,2.0699924457385004,LinearRegression
8.094,7.988290441896176,LinearRegression
5.567,4.648074041094483,LinearRegression
8.221,6.265352750700277,LinearRegression
1.472,0.6130919249480962,LinearRegression
-0.69,2.064088640766243,LinearRegression
10.395,11.87540754216636,LinearRegression
1.642,1.9439814252311582,LinearRegression
2.04,1.5939648431591769,LinearRegression
2.875,3.011437261985991,LinearRegression
2.097,4.827684230005642,LinearRegression
7.461,6.069923701158137,RANSACRegressor
5.479,6.9896521032197345,RANSACRegressor
6.023,2.7774609511116504,RANSACRegressor
3.006,1.7733950174394026,RANSACRegressor
1.364,1.3960892465315826,RANSACRegressor
1.306,3.242307199880889,RANSACRegressor
0.602,-2.190213320498861,RANSACRegressor
8.221,6.302433354598759,RANSACRegressor
4.329,3.769654878590118,RANSACRegressor
2.136,0.9238640363099493,RANSACRegressor
4.211,0.9761679756883064,RANSACRegressor
8.094,8.811430600500625,RANSACRegressor
5.567,2.719989325546866,RANSACRegressor
8.221,8.494790275221243,RANSACRegressor
1.472,0.167796731237833,RANSACRegressor
-0.69,-1.0538113498536505,RANSACRegressor
10.395,14.602838554648379,RANSACRegressor
