Actual,Predicted,Model
7.461,9.011822344922237,Ridge
5.479,7.576253278495441,Ridge
6.023,4.199458174526293,Ridge
3.006,2.244411662676749,Ridge
1.364,2.5192917895502625,Ridge
1.306,1.744898347973209,Ridge
0.602,-0.0724144312463677,Ridge
8.221,7.715036292577757,Ridge
4.329,1.9314749031669654,Ridge
2.136,1.7004422579857055,Ridge
4.211,2.158906981465419,Ridge
8.094,6.956157053940971,Ridge
5.567,3.602529313729977,Ridge
8.221,7.197644204017242,Ridge
1.472,-0.8774434949165997,Ridge
-0.69,-1.648200300339563,Ridge
10.395,15.257205535716517,Ridge
1.642,2.6611368242106392,Ridge
2.04,0.4283315184232128,Ridge
2.875,3.4690858905531017,Ridge
2.097,5.630944327208996,Ridge
7.461,6.928,DecisionTreeRegressor
5.479,5.6175,DecisionTreeRegressor
6.023,5.479,DecisionTreeRegressor
3.006,1.409,DecisionTreeRegressor
1.364,0.7969999999999999,DecisionTreeRegressor
1.306,1.2,DecisionTreeRegressor
0.602,0.558,DecisionTreeRegressor
8.221,8.221,DecisionTreeRegressor
4.329,3.4909999999999997,DecisionTreeRegressor
2.136,2.2465,DecisionTreeRegressor
4.211,4.403,DecisionTreeRegressor
8.094,6.532,DecisionTreeRegressor
5.567,5.023,DecisionTreeRegressor
8.221,8.221,DecisionTreeRegressor
1.472,2.2465,DecisionTreeRegressor
-0.69,-0.4195,DecisionTreeRegressor
10.395,5.296,DecisionTreeRegressor
1.642,1.336,DecisionTreeRegressor
2.04,1.844,DecisionTreeRegressor
2.875,3.731,DecisionTreeRegressor
2.097,3.0,DecisionTreeRegressor
7.461,5.732214923868316,GradientBoostingRegressor
5.479,5.654468138966289,GradientBoostingRegressor
6.023,5.732214923868316,GradientBoostingRegressor
3.006,2.9970335415110454,GradientBoostingRegressor
1.364,2.6012965423143415,GradientBoostingRegressor
1.306,2.6012965423143415,GradientBoostingRegressor
0.602,2.1980621509270026,GradientBoostingRegressor
8.221,6.630573691826069,GradientBoostingRegressor
4.329,4.514611495674548,GradientBoostingRegressor
2.136,2.9804022663895093,GradientBoostingRegressor
4.211,4.4755703914349185,GradientBoostingRegressor
8.094,5.732214923868316,GradientBoostingRegressor
5.567,4.400767002618484,GradientBoostingRegressor
8.221,6.697527632334286,GradientBoostingRegressor
1.472,2.6012965423143415,GradientBoostingRegressor
-0.69,1.711335644763494,GradientBoostingRegressor
10.395,6.697527632334286,GradientBoostingRegressor
1.642,2.702911059902136,GradientBoostingRegressor
2.04,2.7958058209761547,GradientBoostingRegressor
2.875,4.296770448178009,GradientBoostingRegressor
2.097,2.617927817435878,GradientBoostingRegressor
7.461,6.007959999999998,RandomForestRegressor
5.479,6.182219999999998,RandomForestRegressor
6.023,5.461799999999998,RandomForestRegressor
3.006,2.85474,RandomForestRegressor
1.364,2.27194,RandomForestRegressor
1.306,1.8914800000000003,RandomForestRegressor
0.602,1.6845999999999999,RandomForestRegressor
8.221,7.96148,RandomForestRegressor
4.329,3.8631199999999994,RandomForestRegressor
2.136,2.7241400000000002,RandomForestRegressor
4.211,3.707580000000001,RandomForestRegressor
8.094,6.297759999999999,RandomForestRegressor
5.567,4.217740000000001,RandomForestRegressor
8.221,7.6349800000000005,RandomForestRegressor
1.472,2.2046799999999998,RandomForestRegressor
-0.69,2.61922,RandomForestRegressor
10.395,7.788139999999999,RandomForestRegressor
1.642,2.81596,RandomForestRegressor
2.04,1.9616399999999996,RandomForestRegressor
2.875,4.121860000000001,RandomForestRegressor
2.097,1.7356999999999996,RandomForestRegressor
7.461,6.43986111111111,AdaBoostRegressor
5.479,6.438777777777778,AdaBoostRegressor
6.023,6.431530612244896,AdaBoostRegressor
3.006,2.2986875,AdaBoostRegressor
1.364,1.8090172413793102,AdaBoostRegressor
1.306,1.8017297297297297,AdaBoostRegressor
0.602,1.0179677419354838,AdaBoostRegressor
8.221,8.189657142857142,AdaBoostRegressor
4.329,4.4354000000000005,AdaBoostRegressor
2.136,2.258714285714286,AdaBoostRegressor
4.211,4.382225,AdaBoostRegressor
8.094,6.438777777777778,AdaBoostRegressor
5.567,4.4354000000000005,AdaBoostRegressor
8.221,8.299466666666666,AdaBoostRegressor
1.472,1.8615454545454546,AdaBoostRegressor
-0.69,0.6406571428571428,AdaBoostRegressor
10.395,8.306406250000002,AdaBoostRegressor
1.642,2.146256410256411,AdaBoostRegressor
2.04,1.8090172413793102,AdaBoostRegressor
2.875,4.353514285714287,AdaBoostRegressor
2.097,1.8615454545454546,AdaBoostRegressor
7.461,4.21951192002282,KNeighborsRegressor
5.479,6.009410580580438,KNeighborsRegressor
6.023,3.61982454229693,KNeighborsRegressor
3.006,2.9131870162758693,KNeighborsRegressor
1.364,3.236080178908842,KNeighborsRegressor
1.306,1.4921273493313392,KNeighborsRegressor
0.602,2.207712183953633,KNeighborsRegressor
8.221,7.412551450078872,KNeighborsRegressor
4.329,2.5641384966618586,KNeighborsRegressor
2.136,4.0424897164689915,KNeighborsRegressor
4.211,1.9347609960718644,KNeighborsRegressor
8.094,6.706856788719514,KNeighborsRegressor
5.567,3.9223734020507135,KNeighborsRegressor
8.221,7.165198071476846,KNeighborsRegressor
1.472,1.5866000749506155,KNeighborsRegressor
-0.69,1.2443247154382582,KNeighborsRegressor
10.395,8.133932370646386,KNeighborsRegressor
1.642,2.8833498744544,KNeighborsRegressor
2.04,1.9890977874589253,KNeighborsRegressor
2.875,3.6570084263365317,KNeighborsRegressor
2.097,1.3368614513253594,KNeighborsRegressor
7.461,5.87288188463939,MLPRegressor
5.479,7.08301512891877,MLPRegressor
6.023,4.5832398335803095,MLPRegressor
3.006,2.4794999218103104,MLPRegressor
1.364,1.857433170955879,MLPRegressor
1.306,1.0404445230424757,MLPRegressor
0.602,-0.10151515937999794,MLPRegressor
8.221,7.262120371240294,MLPRegressor
4.329,1.5506677319937379,MLPRegressor
2.136,3.0040600721931003,MLPRegressor
4.211,1.75707532475288,MLPRegressor
8.094,7.114712358212161,MLPRegressor
5.567,2.8977684235282832,MLPRegressor
8.221,7.58969533858012,MLPRegressor
1.472,1.0050566135374184,MLPRegressor
-0.69,0.5456565744676629,MLPRegressor
10.395,10.98257704660629,MLPRegressor
1.642,2.185779834100694,MLPRegressor
2.04,1.319489159355754,MLPRegressor
2.875,4.308533759938959,MLPRegressor
2.097,5.265542871643682,MLPRegressor
7.461,5.8137008470681595,ElasticNet
5.479,6.836707895996685,ElasticNet
6.023,4.582150791949571,ElasticNet
3.006,3.340228261452728,ElasticNet
1.364,3.4436703614906876,ElasticNet
1.306,1.69093220698606,ElasticNet
0.602,2.6055349010404663,ElasticNet
8.221,7.223764281026341,ElasticNet
4.329,3.346909164662768,ElasticNet
2.136,3.1796862886804313,ElasticNet
4.211,2.955979594286434,ElasticNet
8.094,5.786605624789823,ElasticNet
5.567,3.4822827622212555,ElasticNet
8.221,6.818770878920572,ElasticNet
1.472,1.7388937830007034,ElasticNet
-0.69,2.2230491352652324,ElasticNet
10.395,7.0400307099177954,ElasticNet
1.642,2.4015934363083336,ElasticNet
2.04,2.217061543040024,ElasticNet
2.875,3.5777035817191027,ElasticNet
2.097,2.669992759329082,ElasticNet
7.461,7.055608286726396,SGDRegressor
5.479,7.765627774924515,SGDRegressor
6.023,3.002839130833471,SGDRegressor
3.006,3.900259427749455,SGDRegressor
1.364,2.484453579839976,SGDRegressor
1.306,1.9193440816802068,SGDRegressor
0.602,3.377785187028013,SGDRegressor
8.221,6.415434927018195,SGDRegressor
4.329,1.7022046935989237,SGDRegressor
2.136,0.5956491179219783,SGDRegressor
4.211,0.4419158565293877,SGDRegressor
8.094,8.076989775610983,SGDRegressor
5.567,4.621892991302121,SGDRegressor
8.221,8.263366692104245,SGDRegressor
1.472,-3.5884622592293507,SGDRegressor
-0.69,-4.896362817928501,SGDRegressor
10.395,13.965918166978053,SGDRegressor
1.642,-0.3685614083001898,SGDRegressor
2.04,-2.450771610685175,SGDRegressor
2.875,3.0977690494702896,SGDRegressor
2.097,3.5550142233436652,SGDRegressor
7.461,7.199876971172785,BayesianRidge
5.479,7.2130326336496395,BayesianRidge
6.023,4.445399189155171,BayesianRidge
3.006,2.9842505881433246,BayesianRidge
1.364,2.5540756356002774,BayesianRidge
1.306,1.0214613546808704,BayesianRidge
0.602,0.524400910497897,BayesianRidge
8.221,7.441981052978653,BayesianRidge
4.329,2.035945683375041,BayesianRidge
2.136,3.0892534544581265,BayesianRidge
4.211,1.7327437928130212,BayesianRidge
8.094,7.096066193354129,BayesianRidge
5.567,3.594715008678052,BayesianRidge
8.221,7.591608091213727,BayesianRidge
1.472,-0.05770729003560682,BayesianRidge
-0.69,1.1865469338786623,BayesianRidge
10.395,12.211425643274048,BayesianRidge
1.642,2.235499480087457,BayesianRidge
2.04,1.3866904877357946,BayesianRidge
2.875,3.765326616608277,BayesianRidge
2.097,5.006631461542618,BayesianRidge
7.461,4.595540091343273,KernelRidge
5.479,7.410616140505901,KernelRidge
6.023,4.490536566637765,KernelRidge
3.006,2.7297008839994032,KernelRidge
1.364,2.6776584849037897,KernelRidge
1.306,1.1689812481191657,KernelRidge
0.602,1.1847162831753746,KernelRidge
8.221,8.369582809923404,KernelRidge
4.329,1.5631807504114321,KernelRidge
2.136,3.9409646031572865,KernelRidge
4.211,1.8641172396158368,KernelRidge
8.094,6.061913446138309,KernelRidge
5.567,3.5014195216836446,KernelRidge
8.221,8.197312834521293,KernelRidge
1.472,0.4275570761288314,KernelRidge
-0.69,0.8708258223344493,KernelRidge
10.395,6.548957685990539,KernelRidge
1.642,3.021517818058101,KernelRidge
2.04,1.794482758608721,KernelRidge
2.875,3.203769365348752,KernelRidge
2.097,0.6639392537246263,KernelRidge
7.461,8.27350655586743,LinearRegression
5.479,6.507123488550503,LinearRegression
6.023,4.686354892279326,LinearRegression
3.006,3.6697287891676655,LinearRegression
1.364,3.1833572718463325,LinearRegression
1.306,1.555008686619285,LinearRegression
0.602,0.2667582413676386,LinearRegression
8.221,6.818619568089092,LinearRegression
4.329,1.713142318193352,LinearRegression
2.136,2.5820509445300046,LinearRegression
4.211,2.0509174931378777,LinearRegression
8.094,7.751045531490982,LinearRegression
5.567,4.668762342414293,LinearRegression
8.221,6.7021758078525355,LinearRegression
1.472,0.5091011882349212,LinearRegression
-0.69,1.6900358535533884,LinearRegression
10.395,11.426342234905231,LinearRegression
1.642,1.8562240231578166,LinearRegression
2.04,1.4549666220941946,LinearRegression
2.875,2.7075015317143882,LinearRegression
2.097,4.55175594040695,LinearRegression
7.461,8.83437226769571,RANSACRegressor
5.479,9.40997044596919,RANSACRegressor
6.023,3.829748887676662,RANSACRegressor
3.006,2.7489312276695266,RANSACRegressor
1.364,2.3607919183096486,RANSACRegressor
1.306,-0.7899074603962939,RANSACRegressor
0.602,4.678982862397092,RANSACRegressor
8.221,7.565090171753743,RANSACRegressor
4.329,2.3834486047868273,RANSACRegressor
2.136,4.656958419560941,RANSACRegressor
4.211,3.747654267286202,RANSACRegressor
8.094,4.347820333685979,RANSACRegressor
5.567,2.8269921047270694,RANSACRegressor
8.221,6.938798081799034,RANSACRegressor
1.472,3.18390333877203,RANSACRegressor
-0.69,1.3974722286193293,RANSACRegressor
10.395,4.868154658280538,RANSACRegressor
1.642,5.177010783586751,RANSACRegressor
2.04,3.0191469050240407,RANSACRegressor
2.875,2.742190855811115,RANSACRegressor
2.097,3.419521080384731,RANSACRegressor
7.461,9.652743123614787,TheilSenRegressor
5.479,7.7401449967716545,TheilSenRegressor
6.023,4.735103747142716,TheilSenRegressor
3.006,0.7788107877703618,TheilSenRegressor
1.364,1.3672670524714463,TheilSenRegressor
1.306,0.9236578677446015,TheilSenRegressor
0.602,2.0798282868794873,TheilSenRegressor
8.221,7.745430176185495,TheilSenRegressor
4.329,4.601670590915281,TheilSenRegressor
2.136,1.1209572845052556,TheilSenRegressor
4.211,2.773236653672506,TheilSenRegressor
8.094,5.689073504682278,TheilSenRegressor
5.567,2.181875248008202,TheilSenRegressor
8.221,7.510127087144552,TheilSenRegressor
1.472,-1.9671161316219985,TheilSenRegressor
-0.69,-1.941270933109279,TheilSenRegressor
10.395,16.998650831672016,TheilSenRegressor
1.642,2.67383181482158,TheilSenRegressor
2.04,-2.3851932129544124,TheilSenRegressor
2.875,3.6099505829355243,TheilSenRegressor
2.097,3.7132747667755694,TheilSenRegressor
7.461,7.707303524017334,TensorFlow
5.479,7.5588812828063965,TensorFlow
6.023,3.0975100994110107,TensorFlow
3.006,2.8685245513916016,TensorFlow
1.364,1.036503553390503,TensorFlow
1.306,1.1969223022460938,TensorFlow
0.602,0.4938727021217346,TensorFlow
8.221,7.405214309692383,TensorFlow
4.329,1.3680239915847778,TensorFlow
2.136,2.70924973487854,TensorFlow
4.211,0.8137019872665405,TensorFlow
8.094,5.996881008148193,TensorFlow
5.567,2.506476402282715,TensorFlow
8.221,7.520648956298828,TensorFlow
1.472,0.6691768169403076,TensorFlow
-0.69,1.824959397315979,TensorFlow
10.395,8.56994342803955,TensorFlow
1.642,2.7117176055908203,TensorFlow
2.04,2.051206588745117,TensorFlow
2.875,2.2276406288146973,TensorFlow
