Actual,Predicted,Model
3.485,-12.291182915097469,Ridge
2.209,1.8924454925073206,Ridge
0.308,-4.387212672881244,Ridge
1.68,-11.829164961636796,Ridge
0.621,17.053572476616555,Ridge
10.0,12.968086785977928,Ridge
0.52,0.6139392828671149,Ridge
1.428,5.344668257902743,Ridge
1.579,26.17447082059661,Ridge
1.756,-8.75633299972495,Ridge
10.0,3.113908838130058,Ridge
0.218,-2.8332734654132388,Ridge
0.193,-6.112233619002421,Ridge
0.823,1.3717549018453497,Ridge
3.896,-3.4563327681110216,Ridge
10.0,15.417485485061377,Ridge
-0.052,-7.633538449796728,Ridge
5.28,-4.265970760179737,Ridge
3.162,-8.655418061347891,Ridge
1.73,-13.32871609721892,Ridge
3.815,-3.52328843524624,Ridge
3.485,1.2389999999999999,DecisionTreeRegressor
2.209,2.159,DecisionTreeRegressor
0.308,2.499,DecisionTreeRegressor
1.68,1.327,DecisionTreeRegressor
0.621,1.5619999999999998,DecisionTreeRegressor
10.0,5.789,DecisionTreeRegressor
0.52,5.26,DecisionTreeRegressor
1.428,2.336,DecisionTreeRegressor
1.579,2.033,DecisionTreeRegressor
1.756,1.4529999999999998,DecisionTreeRegressor
10.0,3.085,DecisionTreeRegressor
0.218,0.7975,DecisionTreeRegressor
0.193,-0.06,DecisionTreeRegressor
0.823,2.336,DecisionTreeRegressor
3.896,3.085,DecisionTreeRegressor
10.0,5411.688,DecisionTreeRegressor
-0.052,2.537,DecisionTreeRegressor
5.28,3.546,DecisionTreeRegressor
3.162,2.965,DecisionTreeRegressor
1.73,0.621,DecisionTreeRegressor
3.815,0.924,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
