Actual,Predicted,Model
3.485,-9.295440091068446,Ridge
2.209,-6.330836967173543,Ridge
0.308,-6.166542519183974,Ridge
1.68,-7.276040270482863,Ridge
0.621,8.383226685353062,Ridge
10.0,11.486854309820892,Ridge
0.52,8.209092079294521,Ridge
1.428,-0.31951746367153433,Ridge
1.579,22.45864129848693,Ridge
1.756,-12.269446750532556,Ridge
10.0,3.4310908748318774,Ridge
0.218,1.81260731886276,Ridge
0.193,2.3554170968391226,Ridge
0.823,5.301246183083858,Ridge
3.896,-4.34649971491233,Ridge
10.0,24.05229086121101,Ridge
-0.052,-1.575119878164724,Ridge
5.28,2.5515887735847507,Ridge
3.162,-16.02195974828592,Ridge
1.73,-7.430062041341738,Ridge
3.815,-13.385364926806535,Ridge
3.485,1.55,DecisionTreeRegressor
2.209,1.831,DecisionTreeRegressor
0.308,3.647,DecisionTreeRegressor
1.68,1.7934999999999999,DecisionTreeRegressor
0.621,2.008,DecisionTreeRegressor
10.0,1.2765,DecisionTreeRegressor
0.52,7.035,DecisionTreeRegressor
1.428,2.285,DecisionTreeRegressor
1.579,1.1505,DecisionTreeRegressor
1.756,1.806,DecisionTreeRegressor
10.0,0.813,DecisionTreeRegressor
0.218,1.05,DecisionTreeRegressor
0.193,1.075,DecisionTreeRegressor
0.823,1.1,DecisionTreeRegressor
3.896,2.1135,DecisionTreeRegressor
10.0,7.035,DecisionTreeRegressor
-0.052,0.553,DecisionTreeRegressor
5.28,0.974,DecisionTreeRegressor
3.162,2.0665,DecisionTreeRegressor
1.73,6.662,DecisionTreeRegressor
3.815,2.0665,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
1.756,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.218,6.2449001229460475,GradientBoostingRegressor
0.193,6.2449001229460475,GradientBoostingRegressor
0.823,6.2449001229460475,GradientBoostingRegressor
3.896,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
-0.052,6.2449001229460475,GradientBoostingRegressor
5.28,6.2449001229460475,GradientBoostingRegressor
3.162,6.2449001229460475,GradientBoostingRegressor
1.73,6.2449001229460475,GradientBoostingRegressor
3.815,6.2449001229460475,GradientBoostingRegressor
3.485,1.609,RandomForestRegressor
2.209,1.819,RandomForestRegressor
0.308,2.449,RandomForestRegressor
1.68,0.798,RandomForestRegressor
0.621,0.571,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.52,2.004,RandomForestRegressor
1.428,1.579,RandomForestRegressor
1.579,1.302,RandomForestRegressor
1.756,1.983,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,0.369,RandomForestRegressor
0.193,1.705,RandomForestRegressor
0.823,-0.06,RandomForestRegressor
3.896,6.228,RandomForestRegressor
10.0,10.0,RandomForestRegressor
-0.052,0.762,RandomForestRegressor
5.28,3.517,RandomForestRegressor
3.162,2.336,RandomForestRegressor
1.73,0.561,RandomForestRegressor
3.815,4.368,RandomForestRegressor
3.485,1.7690065789473692,AdaBoostRegressor
2.209,1.7690065789473692,AdaBoostRegressor
0.308,1.7690065789473692,AdaBoostRegressor
1.68,1.7690065789473692,AdaBoostRegressor
0.621,1.7690065789473692,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.7690065789473692,AdaBoostRegressor
1.428,1.7690065789473692,AdaBoostRegressor
1.579,1.7690065789473692,AdaBoostRegressor
1.756,1.7690065789473692,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.7690065789473692,AdaBoostRegressor
0.193,1.7690065789473692,AdaBoostRegressor
0.823,1.7690065789473692,AdaBoostRegressor
3.896,4.174869565217391,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.7690065789473692,AdaBoostRegressor
5.28,4.174869565217391,AdaBoostRegressor
3.162,4.174869565217391,AdaBoostRegressor
1.73,1.7690065789473692,AdaBoostRegressor
3.815,4.174869565217391,AdaBoostRegressor
3.485,2.0056864836311905,KNeighborsRegressor
2.209,2.26815681645445,KNeighborsRegressor
0.308,1.096858269637206,KNeighborsRegressor
1.68,0.6486761821111768,KNeighborsRegressor
0.621,0.7543687377595443,KNeighborsRegressor
10.0,6.077084024517016,KNeighborsRegressor
0.52,0.6285709106448213,KNeighborsRegressor
1.428,1.7267491099270185,KNeighborsRegressor
1.579,1.4522546839334702,KNeighborsRegressor
1.756,1.4083383390149935,KNeighborsRegressor
10.0,1.575674425808642,KNeighborsRegressor
0.218,0.982584490114871,KNeighborsRegressor
0.193,1.641911157038616,KNeighborsRegressor
0.823,1.6870127341487335,KNeighborsRegressor
3.896,3.1843038275341526,KNeighborsRegressor
10.0,1.976251757629276,KNeighborsRegressor
-0.052,1.803365761546005,KNeighborsRegressor
5.28,3.061749897914326,KNeighborsRegressor
3.162,1.8195213211139791,KNeighborsRegressor
1.73,2.243254759245896,KNeighborsRegressor
3.815,3.4679407781151954,KNeighborsRegressor
3.485,2.7190782511775584,MLPRegressor
2.209,2.5932610769338105,MLPRegressor
