Actual,Predicted,Model
3.485,-19.28422798950565,Ridge
2.209,1.0668616474039112,Ridge
0.308,8.190369544626488,Ridge
1.68,2.8862550302736487,Ridge
0.621,37.07317111020286,Ridge
10.0,8.82545997951506,Ridge
0.52,-17.518796979333846,Ridge
1.428,9.803010558687117,Ridge
1.579,25.248148058831685,Ridge
1.756,6.5809871665527915,Ridge
10.0,-1.7482740717557128,Ridge
0.218,4.662585460521814,Ridge
0.193,1.5186196612997591,Ridge
0.823,-1.2915175774015815,Ridge
3.896,1.2181618122265867,Ridge
10.0,50.54952253685501,Ridge
-0.052,-1.3939169427111828,Ridge
5.28,4.633671150812329,Ridge
3.162,-17.459513494169105,Ridge
1.73,-15.371912283525415,Ridge
3.815,-11.931273736461005,Ridge
3.485,0.75,DecisionTreeRegressor
2.209,0.8296666666666667,DecisionTreeRegressor
0.308,1.2765,DecisionTreeRegressor
1.68,1.831,DecisionTreeRegressor
0.621,3.6229999999999998,DecisionTreeRegressor
10.0,1.579,DecisionTreeRegressor
0.52,1.277,DecisionTreeRegressor
1.428,1.9473333333333331,DecisionTreeRegressor
1.579,1.033,DecisionTreeRegressor
1.756,0.596,DecisionTreeRegressor
10.0,4.6803333333333335,DecisionTreeRegressor
0.218,2.4865,DecisionTreeRegressor
0.193,3.89,DecisionTreeRegressor
0.823,1.7523333333333333,DecisionTreeRegressor
3.896,2.891666666666667,DecisionTreeRegressor
10.0,1.7715,DecisionTreeRegressor
-0.052,1.9195,DecisionTreeRegressor
5.28,2.255,DecisionTreeRegressor
3.162,2.2975,DecisionTreeRegressor
1.73,3.6229999999999998,DecisionTreeRegressor
3.815,0.697,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
1.756,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.218,6.2449001229460475,GradientBoostingRegressor
0.193,6.2449001229460475,GradientBoostingRegressor
0.823,6.2449001229460475,GradientBoostingRegressor
3.896,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
-0.052,6.2449001229460475,GradientBoostingRegressor
5.28,6.2449001229460475,GradientBoostingRegressor
3.162,6.2449001229460475,GradientBoostingRegressor
1.73,6.2449001229460475,GradientBoostingRegressor
3.815,6.2449001229460475,GradientBoostingRegressor
3.485,0.944,RandomForestRegressor
2.209,2.971,RandomForestRegressor
0.308,2.499,RandomForestRegressor
1.68,2.1153333333333335,RandomForestRegressor
0.621,3.722,RandomForestRegressor
10.0,2.1153333333333335,RandomForestRegressor
0.52,1.515,RandomForestRegressor
1.428,1.7481428571428572,RandomForestRegressor
1.579,1.0144,RandomForestRegressor
1.756,0.5926666666666667,RandomForestRegressor
10.0,1.843,RandomForestRegressor
0.218,1.6713333333333331,RandomForestRegressor
0.193,0.5926666666666667,RandomForestRegressor
0.823,2.285,RandomForestRegressor
3.896,3.092,RandomForestRegressor
10.0,10.0,RandomForestRegressor
-0.052,10.0,RandomForestRegressor
5.28,2.66875,RandomForestRegressor
3.162,2.2211666666666665,RandomForestRegressor
1.73,1.843,RandomForestRegressor
3.815,2.4135000000000004,RandomForestRegressor
3.485,1.5570952380952385,AdaBoostRegressor
2.209,1.5570952380952385,AdaBoostRegressor
0.308,1.5570952380952385,AdaBoostRegressor
1.68,1.5570952380952385,AdaBoostRegressor
0.621,1.5570952380952385,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.5570952380952385,AdaBoostRegressor
1.428,1.5570952380952385,AdaBoostRegressor
1.579,1.5570952380952385,AdaBoostRegressor
1.756,1.5570952380952385,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.5570952380952385,AdaBoostRegressor
0.193,1.5570952380952385,AdaBoostRegressor
0.823,1.5570952380952385,AdaBoostRegressor
3.896,3.9428571428571435,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.5570952380952385,AdaBoostRegressor
5.28,3.9428571428571435,AdaBoostRegressor
3.162,3.9428571428571435,AdaBoostRegressor
1.73,1.5570952380952385,AdaBoostRegressor
3.815,3.9428571428571435,AdaBoostRegressor
3.485,1.8565,KNeighborsRegressor
2.209,1.9695,KNeighborsRegressor
0.308,1.768,KNeighborsRegressor
1.68,1.138,KNeighborsRegressor
0.621,0.6965,KNeighborsRegressor
10.0,6.004,KNeighborsRegressor
0.52,0.636,KNeighborsRegressor
1.428,2.121,KNeighborsRegressor
1.579,1.4655,KNeighborsRegressor
1.756,1.4025,KNeighborsRegressor
10.0,1.357,KNeighborsRegressor
0.218,0.6715,KNeighborsRegressor
0.193,0.8225,KNeighborsRegressor
0.823,2.058,KNeighborsRegressor
3.896,2.2095000000000002,KNeighborsRegressor
10.0,0.9910000000000001,KNeighborsRegressor
-0.052,1.9065,KNeighborsRegressor
5.28,1.2614999999999998,KNeighborsRegressor
3.162,1.834,KNeighborsRegressor
1.73,1.2865,KNeighborsRegressor
3.815,4.282,KNeighborsRegressor
3.485,1.054425954315842,MLPRegressor
2.209,1.7444893429438622,MLPRegressor
0.308,4.319378457575535,MLPRegressor
1.68,0.4692123103933583,MLPRegressor
0.621,1.5525486452724144,MLPRegressor
10.0,2.4704631477579375,MLPRegressor
0.52,0.8656381403502684,MLPRegressor
1.428,1.3380598526839371,MLPRegressor
1.579,0.9513144207759698,MLPRegressor
1.756,1.3535761126736043,MLPRegressor
10.0,4.910981779876878,MLPRegressor
0.218,1.3188870652930451,MLPRegressor
0.193,1.2908794767189344,MLPRegressor
0.823,1.9104310836159855,MLPRegressor
3.896,3.8032093744322224,MLPRegressor
10.0,8.606781126030041,MLPRegressor
-0.052,4.819286714010689,MLPRegressor
5.28,2.056808641326044,MLPRegressor
3.162,4.519186568099234,MLPRegressor
1.73,0.3035924862020847,MLPRegressor
3.815,3.3630981663766537,MLPRegressor
3.485,-48.28236029900891,ElasticNet
2.209,2.4947105437456365,ElasticNet
0.308,21.279945261403817,ElasticNet
1.68,46.09821863011809,ElasticNet
0.621,6.005191215409482,ElasticNet
10.0,17.63927305768542,ElasticNet
0.52,1.1051364862119506,ElasticNet
1.428,11.062556001217754,ElasticNet
1.579,45.09117879397712,ElasticNet
1.756,-6.624538257716566,ElasticNet
10.0,-10.675385993938377,ElasticNet
0.218,8.187119773858473,ElasticNet
0.193,-30.312045244570818,ElasticNet
0.823,59.811496719292165,ElasticNet
3.896,24.559366642105967,ElasticNet
10.0,364.23369959691155,ElasticNet
-0.052,-2.7748848894444436,ElasticNet
5.28,-4.201529322140573,ElasticNet
3.162,-32.35500448779034,ElasticNet
1.73,9.58645219108476,ElasticNet
3.815,-5.216261784906955,ElasticNet
3.485,3.122508704400028,SGDRegressor
2.209,6.3099693013023845,SGDRegressor
0.308,2.8089478193201964,SGDRegressor
1.68,1.0372842391522594,SGDRegressor
0.621,7.453055721222522,SGDRegressor
10.0,3.892919085728211,SGDRegressor
0.52,-0.5260382211951917,SGDRegressor
1.428,2.5313992225295454,SGDRegressor
1.579,3.448796540786633,SGDRegressor
1.756,-4.442940161523946,SGDRegressor
10.0,6.448266330614461,SGDRegressor
0.218,10.73160699434264,SGDRegressor
0.193,8.57702881804897,SGDRegressor
0.823,0.033516244107874016,SGDRegressor
3.896,-7.561578052507892,SGDRegressor
10.0,1.7739864037897144,SGDRegressor
-0.052,18.72161853723572,SGDRegressor
5.28,15.291914116226394,SGDRegressor
3.162,-2.353651928764055,SGDRegressor
1.73,8.56305649561851,SGDRegressor
3.815,0.45128625991938076,SGDRegressor
3.485,1.8434166297108838,BayesianRidge
2.209,3.363147301288091,BayesianRidge
0.308,2.1903537599874063,BayesianRidge
1.68,2.028046810148407,BayesianRidge
0.621,5.007840119903328,BayesianRidge
10.0,2.3892302670894807,BayesianRidge
0.52,-1.7621775801307358,BayesianRidge
1.428,0.7921149625630868,BayesianRidge
1.579,-0.15485013473324827,BayesianRidge
1.756,-0.17378365999988432,BayesianRidge
10.0,8.312167826829015,BayesianRidge
0.218,-0.43317971935473665,BayesianRidge
0.193,1.5827541737485937,BayesianRidge
0.823,-0.5159282141136963,BayesianRidge
3.896,2.6959031268002853,BayesianRidge
10.0,6.085940839599008,BayesianRidge
-0.052,2.273569143884764,BayesianRidge
5.28,2.085397993028735,BayesianRidge
3.162,4.1173123960168425,BayesianRidge
1.73,-0.9594016195111159,BayesianRidge
3.815,8.568998204675498,BayesianRidge
3.485,-11.845208983218527,KernelRidge
2.209,4.450252971572127,KernelRidge
0.308,6.650584103009237,KernelRidge
1.68,2.1629813231878074,KernelRidge
0.621,21.069817685819146,KernelRidge
10.0,7.055533405736924,KernelRidge
0.52,-12.864158995843582,KernelRidge
1.428,7.834814241747608,KernelRidge
1.579,12.661117387061154,KernelRidge
1.756,4.365429070959436,KernelRidge
10.0,3.2965660588113224,KernelRidge
0.218,1.7502926298212742,KernelRidge
0.193,1.3125520940280353,KernelRidge
0.823,2.432108832502763,KernelRidge
3.896,-0.9884395311958087,KernelRidge
10.0,39.64016658717014,KernelRidge
-0.052,-2.420822788237956,KernelRidge
5.28,0.4687154249450316,KernelRidge
3.162,-6.5930985331727925,KernelRidge
1.73,-9.001636534857596,KernelRidge
3.815,-4.638818252390479,KernelRidge
3.485,2.3910591071668215,LinearRegression
2.209,2.2166229027696893,LinearRegression
0.308,4.298441913185556,LinearRegression
1.68,1.852161646044319,LinearRegression
0.621,1.0931003145658487,LinearRegression
10.0,2.6893004324634937,LinearRegression
0.52,0.44997709177880907,LinearRegression
1.428,1.472498230636564,LinearRegression
1.579,0.7473302886663085,LinearRegression
1.756,-0.09497824210389894,LinearRegression
10.0,6.543188869831354,LinearRegression
0.218,2.7686338939998123,LinearRegression
0.193,0.8227555121082695,LinearRegression
0.823,1.2891614292515179,LinearRegression
3.896,6.471603747074461,LinearRegression
10.0,6.51631611579198,LinearRegression
-0.052,5.080082278582918,LinearRegression
5.28,3.8488935957193284,LinearRegression
3.162,2.462368760717478,LinearRegression
1.73,1.4279198078450825,LinearRegression
3.815,8.100595126941528,LinearRegression
3.485,2.2432200166523812,RANSACRegressor
2.209,3.7965501808498843,RANSACRegressor
0.308,3.406727743444608,RANSACRegressor
1.68,4.4495714886110385,RANSACRegressor
0.621,0.8453815118637493,RANSACRegressor
10.0,0.2839186247110218,RANSACRegressor
0.52,1.2728064256240266,RANSACRegressor
1.428,2.2946874961049417,RANSACRegressor
1.579,-1.643577338245276,RANSACRegressor
1.756,1.8823572748436044,RANSACRegressor
10.0,3.6857760643187802,RANSACRegressor
0.218,-1.04705065699141,RANSACRegressor
0.193,-1.5227293683194498,RANSACRegressor
0.823,3.8270139125361293,RANSACRegressor
3.896,12.220123694011864,RANSACRegressor
10.0,0.6770196358381451,RANSACRegressor
-0.052,3.863385107521353,RANSACRegressor
5.28,4.620130222068924,RANSACRegressor
3.162,2.413399485605768,RANSACRegressor
1.73,2.4697246328564386,RANSACRegressor
3.815,5.864259891538895,RANSACRegressor
3.485,1.9859919721734514,TheilSenRegressor
2.209,2.571655241212518,TheilSenRegressor
0.308,0.7769983384833559,TheilSenRegressor
1.68,2.1041819822797088,TheilSenRegressor
0.621,4.5757708267743595,TheilSenRegressor
10.0,3.918365937226149,TheilSenRegressor
0.52,-0.16962748654602677,TheilSenRegressor
1.428,1.833464820539934,TheilSenRegressor
1.579,-2.0868096737206905,TheilSenRegressor
1.756,1.1105478061082898,TheilSenRegressor
10.0,7.140299677126215,TheilSenRegressor
0.218,-1.7451537208838737,TheilSenRegressor
0.193,2.600945381891716,TheilSenRegressor
0.823,-0.47613862987461175,TheilSenRegressor
3.896,-0.5348810416138718,TheilSenRegressor
10.0,6.7895006864009275,TheilSenRegressor
-0.052,0.8183345996363975,TheilSenRegressor
5.28,2.66303356508849,TheilSenRegressor
3.162,2.7400917224162846,TheilSenRegressor
1.73,-0.20245649022588807,TheilSenRegressor
