Actual,Predicted,Model
3.485,-13.297038803437683,Ridge
2.209,-5.397917129368469,Ridge
0.308,2.2308887078119035,Ridge
1.68,-11.141946188917071,Ridge
0.621,35.80458343730922,Ridge
10.0,18.487064474663406,Ridge
0.52,-8.429217624811674,Ridge
1.428,7.921629773358152,Ridge
1.579,45.873714102614194,Ridge
1.756,-1.089883802600756,Ridge
10.0,-4.660804398270461,Ridge
0.218,-2.6469997152220976,Ridge
0.193,-6.79072088063371,Ridge
0.823,-2.266156327434768,Ridge
3.896,-5.330812533900019,Ridge
10.0,21.322825392194417,Ridge
-0.052,-7.200652386898955,Ridge
5.28,2.523265226910681,Ridge
3.162,-17.714102315683665,Ridge
1.73,-28.04950070147743,Ridge
3.815,-11.812426587613242,Ridge
3.485,0.989,DecisionTreeRegressor
2.209,2.209,DecisionTreeRegressor
0.308,0.974,DecisionTreeRegressor
1.68,1.73,DecisionTreeRegressor
0.621,2.832,DecisionTreeRegressor
10.0,5.7895,DecisionTreeRegressor
0.52,1.831,DecisionTreeRegressor
1.428,1.7934999999999999,DecisionTreeRegressor
1.579,1.73,DecisionTreeRegressor
1.756,1.0245,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.218,0.394,DecisionTreeRegressor
0.193,1.655,DecisionTreeRegressor
0.823,2.285,DecisionTreeRegressor
3.896,0.989,DecisionTreeRegressor
10.0,3.4525,DecisionTreeRegressor
-0.052,0.331,DecisionTreeRegressor
5.28,5.603,DecisionTreeRegressor
3.162,3.4219999999999997,DecisionTreeRegressor
1.73,0.7849999999999999,DecisionTreeRegressor
3.815,3.95,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
1.756,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.218,6.2449001229460475,GradientBoostingRegressor
0.193,6.2449001229460475,GradientBoostingRegressor
0.823,6.2449001229460475,GradientBoostingRegressor
3.896,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
-0.052,6.2449001229460475,GradientBoostingRegressor
5.28,6.2449001229460475,GradientBoostingRegressor
3.162,6.2449001229460475,GradientBoostingRegressor
1.73,6.2449001229460475,GradientBoostingRegressor
3.815,6.2449001229460475,GradientBoostingRegressor
3.485,0.944,RandomForestRegressor
2.209,1.579,RandomForestRegressor
0.308,1.655,RandomForestRegressor
1.68,2.008,RandomForestRegressor
0.621,0.9739999999999999,RandomForestRegressor
10.0,0.571,RandomForestRegressor
0.52,2.517,RandomForestRegressor
1.428,1.08,RandomForestRegressor
1.579,1.831,RandomForestRegressor
1.756,1.579,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,1.403,RandomForestRegressor
0.193,1.655,RandomForestRegressor
0.823,1.08,RandomForestRegressor
3.896,3.092,RandomForestRegressor
10.0,1.991,RandomForestRegressor
-0.052,1.166,RandomForestRegressor
5.28,2.499,RandomForestRegressor
3.162,4.171,RandomForestRegressor
1.73,1.952,RandomForestRegressor
3.815,2.004,RandomForestRegressor
3.485,1.5414848484848476,AdaBoostRegressor
2.209,1.5414848484848476,AdaBoostRegressor
0.308,1.5414848484848476,AdaBoostRegressor
1.68,1.5414848484848476,AdaBoostRegressor
0.621,1.5414848484848476,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.5414848484848476,AdaBoostRegressor
1.428,1.5414848484848476,AdaBoostRegressor
1.579,1.5414848484848476,AdaBoostRegressor
1.756,1.5414848484848476,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.5414848484848476,AdaBoostRegressor
0.193,1.5414848484848476,AdaBoostRegressor
0.823,1.5414848484848476,AdaBoostRegressor
3.896,3.7374324324324317,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.5414848484848476,AdaBoostRegressor
5.28,3.7374324324324317,AdaBoostRegressor
3.162,3.7374324324324317,AdaBoostRegressor
1.73,1.5414848484848476,AdaBoostRegressor
3.815,3.7374324324324317,AdaBoostRegressor
3.485,1.8565,KNeighborsRegressor
2.209,1.9695,KNeighborsRegressor
0.308,1.284,KNeighborsRegressor
1.68,0.6465000000000001,KNeighborsRegressor
0.621,0.6965,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
0.52,0.636,KNeighborsRegressor
1.428,2.121,KNeighborsRegressor
1.579,1.4655,KNeighborsRegressor
1.756,1.428,KNeighborsRegressor
10.0,1.357,KNeighborsRegressor
0.218,0.6715,KNeighborsRegressor
0.193,0.621,KNeighborsRegressor
0.823,1.6925000000000001,KNeighborsRegressor
3.896,2.2095000000000002,KNeighborsRegressor
10.0,1.3175000000000001,KNeighborsRegressor
-0.052,1.9065,KNeighborsRegressor
5.28,1.2614999999999998,KNeighborsRegressor
3.162,1.834,KNeighborsRegressor
1.73,1.7265,KNeighborsRegressor
3.815,5.035,KNeighborsRegressor
3.485,2.105212460466465,MLPRegressor
2.209,1.707193080916002,MLPRegressor
0.308,2.837713622716165,MLPRegressor
1.68,1.1159254791210902,MLPRegressor
0.621,0.755214335334999,MLPRegressor
10.0,3.745467036482526,MLPRegressor
0.52,0.5362953861847146,MLPRegressor
1.428,1.6005512175465313,MLPRegressor
1.579,1.3021150986361967,MLPRegressor
1.756,1.3352278638071378,MLPRegressor
10.0,2.7471919579803306,MLPRegressor
0.218,1.230909746733736,MLPRegressor
0.193,0.8667578824534172,MLPRegressor
0.823,1.7357808703349824,MLPRegressor
3.896,3.9995087387721115,MLPRegressor
10.0,8.49543064950697,MLPRegressor
-0.052,2.199273982073799,MLPRegressor
5.28,1.7323704199728547,MLPRegressor
3.162,2.7762170896350615,MLPRegressor
1.73,1.3390055616479564,MLPRegressor
3.815,4.6388145905817995,MLPRegressor
3.485,-55.49089106600926,ElasticNet
2.209,1.063627434787378,ElasticNet
0.308,16.678625440115532,ElasticNet
1.68,54.126720629854105,ElasticNet
0.621,80.06275434358503,ElasticNet
10.0,24.146261809702345,ElasticNet
0.52,-2.7604779186552477,ElasticNet
1.428,5.062315928877478,ElasticNet
1.579,46.080052962782744,ElasticNet
1.756,1.1444233378685986,ElasticNet
10.0,-11.184909593967909,ElasticNet
0.218,7.019790270640463,ElasticNet
0.193,-28.909416899182148,ElasticNet
0.823,44.18417605485612,ElasticNet
3.896,30.24678849063148,ElasticNet
10.0,269.1299545902753,ElasticNet
-0.052,-2.8978623359007187,ElasticNet
5.28,4.867262248469686,ElasticNet
3.162,-15.63977934765218,ElasticNet
1.73,4.468224924518886,ElasticNet
3.815,7.35662275437857,ElasticNet
3.485,-1.86333186957118,SGDRegressor
2.209,5.83738820597752,SGDRegressor
0.308,1.4526038077387025,SGDRegressor
1.68,-2.288249445530676,SGDRegressor
0.621,4.628704794865265,SGDRegressor
10.0,3.6693743689752862,SGDRegressor
0.52,-2.0483345875894,SGDRegressor
1.428,0.7217677749616369,SGDRegressor
1.579,1.662249565862619,SGDRegressor
1.756,-0.290150977041721,SGDRegressor
10.0,8.336882094928114,SGDRegressor
0.218,4.665475493747933,SGDRegressor
0.193,0.7166425775976863,SGDRegressor
0.823,-1.6180366893251072,SGDRegressor
3.896,1.2808842454235378,SGDRegressor
10.0,4.8043198312943645,SGDRegressor
-0.052,6.458471637221164,SGDRegressor
5.28,1.346017908576366,SGDRegressor
3.162,-0.5665372587412669,SGDRegressor
