Actual,Predicted,Model
3.485,8.425850654334113,Ridge
2.209,-4.2254341143293495,Ridge
0.308,5.390787529915734,Ridge
1.68,6.3987559827384395,Ridge
0.621,4.553161943162216,Ridge
10.0,8.570520607660072,Ridge
0.52,-1.452569274327029,Ridge
1.428,0.5881306107383644,Ridge
1.579,-5.238597174211957,Ridge
1.756,0.8831592177430707,Ridge
10.0,8.936220984611737,Ridge
0.218,10.193762515323733,Ridge
0.193,2.2906542695091616,Ridge
0.823,2.156060048898066,Ridge
3.896,11.20150298255896,Ridge
10.0,2.3568169684445763,Ridge
-0.052,-2.993201035590527,Ridge
5.28,10.984147534379712,Ridge
3.162,6.418755143075334,Ridge
1.73,0.772511525643857,Ridge
3.815,10.568996497399642,Ridge
3.485,1.983,DecisionTreeRegressor
2.209,2.209,DecisionTreeRegressor
0.308,2.644,DecisionTreeRegressor
1.68,2.285,DecisionTreeRegressor
0.621,-0.06,DecisionTreeRegressor
10.0,3.647,DecisionTreeRegressor
0.52,0.848,DecisionTreeRegressor
1.428,3.324,DecisionTreeRegressor
1.579,1.831,DecisionTreeRegressor
1.756,0.596,DecisionTreeRegressor
10.0,6.228,DecisionTreeRegressor
0.218,1.201,DecisionTreeRegressor
0.193,1.1,DecisionTreeRegressor
0.823,1.579,DecisionTreeRegressor
3.896,6.228,DecisionTreeRegressor
10.0,-0.009,DecisionTreeRegressor
-0.052,2.644,DecisionTreeRegressor
5.28,4.474,DecisionTreeRegressor
3.162,10.0,DecisionTreeRegressor
1.73,1.806,DecisionTreeRegressor
3.815,0.561,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
1.756,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.218,6.2449001229460475,GradientBoostingRegressor
0.193,6.2449001229460475,GradientBoostingRegressor
0.823,6.2449001229460475,GradientBoostingRegressor
3.896,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
-0.052,6.2449001229460475,GradientBoostingRegressor
5.28,6.2449001229460475,GradientBoostingRegressor
3.162,6.2449001229460475,GradientBoostingRegressor
1.73,6.2449001229460475,GradientBoostingRegressor
3.815,6.2449001229460475,GradientBoostingRegressor
3.485,0.319,RandomForestRegressor
2.209,5.603,RandomForestRegressor
0.308,0.319,RandomForestRegressor
1.68,1.579,RandomForestRegressor
0.621,2.989,RandomForestRegressor
10.0,0.924,RandomForestRegressor
0.52,0.319,RandomForestRegressor
1.428,0.699,RandomForestRegressor
1.579,0.092,RandomForestRegressor
1.756,1.302,RandomForestRegressor
10.0,6.228,RandomForestRegressor
0.218,10.0,RandomForestRegressor
0.193,0.999,RandomForestRegressor
0.823,0.699,RandomForestRegressor
3.896,6.228,RandomForestRegressor
10.0,1.504,RandomForestRegressor
-0.052,10.0,RandomForestRegressor
5.28,3.949,RandomForestRegressor
3.162,6.228,RandomForestRegressor
1.73,1.302,RandomForestRegressor
3.815,2.87,RandomForestRegressor
3.485,1.5786764705882341,AdaBoostRegressor
2.209,1.5786764705882341,AdaBoostRegressor
0.308,1.5786764705882341,AdaBoostRegressor
1.68,1.5786764705882341,AdaBoostRegressor
0.621,1.5786764705882341,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.5786764705882341,AdaBoostRegressor
1.428,1.5786764705882341,AdaBoostRegressor
1.579,1.5786764705882341,AdaBoostRegressor
1.756,1.5786764705882341,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.5786764705882341,AdaBoostRegressor
0.193,1.5786764705882341,AdaBoostRegressor
0.823,1.5786764705882341,AdaBoostRegressor
3.896,4.2343548387096765,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.5786764705882341,AdaBoostRegressor
5.28,4.2343548387096765,AdaBoostRegressor
3.162,4.2343548387096765,AdaBoostRegressor
1.73,1.5786764705882341,AdaBoostRegressor
3.815,4.2343548387096765,AdaBoostRegressor
3.485,1.7352683372040503,KNeighborsRegressor
2.209,3.7018900599778615,KNeighborsRegressor
0.308,1.610923612805938,KNeighborsRegressor
1.68,0.9914029348052774,KNeighborsRegressor
0.621,1.155605261465598,KNeighborsRegressor
10.0,3.493994302549418,KNeighborsRegressor
0.52,1.1759310215172016,KNeighborsRegressor
1.428,1.7289107990850545,KNeighborsRegressor
1.579,1.1648070695970008,KNeighborsRegressor
1.756,1.1558058223069088,KNeighborsRegressor
10.0,1.8091242594066426,KNeighborsRegressor
0.218,1.256057449660391,KNeighborsRegressor
0.193,0.9575236173904197,KNeighborsRegressor
0.823,2.0120057225762786,KNeighborsRegressor
3.896,2.3823499103415395,KNeighborsRegressor
10.0,2.174291172489888,KNeighborsRegressor
-0.052,1.946340517791912,KNeighborsRegressor
5.28,2.3943251573097073,KNeighborsRegressor
3.162,2.05695799009506,KNeighborsRegressor
1.73,1.3554344267569391,KNeighborsRegressor
3.815,3.572688241984556,KNeighborsRegressor
3.485,2.1038153752416218,MLPRegressor
2.209,1.6333017445613884,MLPRegressor
0.308,3.1151599252672053,MLPRegressor
1.68,2.061095087593345,MLPRegressor
0.621,4.788140787024143,MLPRegressor
10.0,6.251259644572035,MLPRegressor
0.52,-0.3425106206053047,MLPRegressor
1.428,0.7636231906395042,MLPRegressor
1.579,-1.7322648976603507,MLPRegressor
1.756,2.515824998928984,MLPRegressor
10.0,9.052530992811024,MLPRegressor
0.218,3.3566236148916575,MLPRegressor
0.193,1.752652976507179,MLPRegressor
0.823,0.5534763007219289,MLPRegressor
3.896,4.402174438092474,MLPRegressor
10.0,8.064522674438805,MLPRegressor
-0.052,2.7544882600085807,MLPRegressor
5.28,3.730222822204025,MLPRegressor
3.162,2.404942419315515,MLPRegressor
1.73,0.13440535351348049,MLPRegressor
3.815,7.179352933104888,MLPRegressor
3.485,-8.75194004735328,ElasticNet
2.209,13.637444146708575,ElasticNet
0.308,14.897981059774171,ElasticNet
1.68,2.6932157234088763,ElasticNet
0.621,21.296962042436206,ElasticNet
10.0,29.154230968740862,ElasticNet
0.52,-2.1896730362185153,ElasticNet
1.428,20.499289172857182,ElasticNet
1.579,-13.576204180738799,ElasticNet
1.756,-10.169706460693213,ElasticNet
10.0,-1.3920284762847004,ElasticNet
0.218,20.49404344257085,ElasticNet
0.193,-20.226922867259674,ElasticNet
0.823,11.626964608832633,ElasticNet
3.896,14.73467118366272,ElasticNet
10.0,136.02785191624184,ElasticNet
-0.052,-13.221945972761766,ElasticNet
5.28,17.33487552532612,ElasticNet
