Actual,Predicted,Model
3.485,0.23286474482537756,Ridge
2.209,0.7597134377755701,Ridge
0.308,1.1800355485305616,Ridge
1.68,-0.2718025876239807,Ridge
0.621,7.218426727596665,Ridge
10.0,4.365138648707248,Ridge
0.52,-2.0378337628984475,Ridge
1.428,-0.18161200116878717,Ridge
1.579,3.334478986611405,Ridge
1.756,1.3654874085737312,Ridge
10.0,8.109976282820735,Ridge
0.218,0.7026747989835833,Ridge
0.193,0.7170329041629024,Ridge
0.823,0.21145298972452053,Ridge
3.896,-0.40612409551344797,Ridge
10.0,7.075500387938444,Ridge
-0.052,2.686325781736052,Ridge
5.28,1.4147693369706396,Ridge
3.162,1.1155989250841536,Ridge
1.73,-1.1105858858293836,Ridge
3.815,5.482390766732088,Ridge
3.485,4.07,DecisionTreeRegressor
2.209,2.159,DecisionTreeRegressor
0.308,1.63,DecisionTreeRegressor
1.68,0.646,DecisionTreeRegressor
0.621,3.949,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.52,2.008,DecisionTreeRegressor
1.428,1.403,DecisionTreeRegressor
1.579,0.798,DecisionTreeRegressor
1.756,0.52,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.218,0.369,DecisionTreeRegressor
0.193,0.394,DecisionTreeRegressor
0.823,1.912,DecisionTreeRegressor
3.896,2.512,DecisionTreeRegressor
10.0,1.609,DecisionTreeRegressor
-0.052,1.819,DecisionTreeRegressor
5.28,0.944,DecisionTreeRegressor
3.162,1.251,DecisionTreeRegressor
1.73,3.842,DecisionTreeRegressor
3.815,2.449,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
1.756,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.218,6.2449001229460475,GradientBoostingRegressor
0.193,6.2449001229460475,GradientBoostingRegressor
0.823,6.2449001229460475,GradientBoostingRegressor
3.896,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
-0.052,6.2449001229460475,GradientBoostingRegressor
5.28,6.2449001229460475,GradientBoostingRegressor
3.162,6.2449001229460475,GradientBoostingRegressor
1.73,6.2449001229460475,GradientBoostingRegressor
3.815,6.2449001229460475,GradientBoostingRegressor
3.485,0.561,RandomForestRegressor
2.209,2.84,RandomForestRegressor
0.308,10.0,RandomForestRegressor
1.68,3.517,RandomForestRegressor
0.621,3.517,RandomForestRegressor
10.0,1.907,RandomForestRegressor
0.52,-0.009,RandomForestRegressor
1.428,1.1,RandomForestRegressor
1.579,1.831,RandomForestRegressor
1.756,0.798,RandomForestRegressor
10.0,0.646,RandomForestRegressor
0.218,1.655,RandomForestRegressor
0.193,0.52,RandomForestRegressor
0.823,1.957,RandomForestRegressor
3.896,10.0,RandomForestRegressor
10.0,0.924,RandomForestRegressor
-0.052,2.87,RandomForestRegressor
5.28,5.789,RandomForestRegressor
3.162,3.137,RandomForestRegressor
1.73,1.075,RandomForestRegressor
3.815,6.228,RandomForestRegressor
3.485,1.8141555555555546,AdaBoostRegressor
2.209,2.078642857142857,AdaBoostRegressor
0.308,1.537624999999999,AdaBoostRegressor
1.68,1.537624999999999,AdaBoostRegressor
0.621,1.5701000000000003,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.3821818181818175,AdaBoostRegressor
1.428,1.6167916666666668,AdaBoostRegressor
1.579,1.5345238095238096,AdaBoostRegressor
1.756,1.6167916666666668,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.4091634615384632,AdaBoostRegressor
0.193,1.4717605633802806,AdaBoostRegressor
0.823,1.5325857142857136,AdaBoostRegressor
3.896,4.433857142857144,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.5580235294117635,AdaBoostRegressor
5.28,4.665700000000003,AdaBoostRegressor
3.162,3.6146000000000007,AdaBoostRegressor
1.73,1.6167916666666668,AdaBoostRegressor
3.815,4.3032452830188666,AdaBoostRegressor
3.485,2.0695,KNeighborsRegressor
2.209,5.865,KNeighborsRegressor
0.308,1.095,KNeighborsRegressor
1.68,0.861,KNeighborsRegressor
0.621,0.49,KNeighborsRegressor
10.0,6.004,KNeighborsRegressor
0.52,0.636,KNeighborsRegressor
1.428,1.6925000000000001,KNeighborsRegressor
1.579,1.012,KNeighborsRegressor
1.756,1.428,KNeighborsRegressor
10.0,0.8554999999999999,KNeighborsRegressor
0.218,1.226,KNeighborsRegressor
0.193,0.621,KNeighborsRegressor
0.823,1.6925000000000001,KNeighborsRegressor
3.896,3.2305,KNeighborsRegressor
10.0,4.9955,KNeighborsRegressor
-0.052,1.9065,KNeighborsRegressor
5.28,3.2735,KNeighborsRegressor
3.162,1.834,KNeighborsRegressor
1.73,1.7265,KNeighborsRegressor
3.815,2.6029999999999998,KNeighborsRegressor
3.485,1.2101514754836296,MLPRegressor
2.209,1.8993936449145314,MLPRegressor
0.308,3.234217809560502,MLPRegressor
1.68,1.007389512137155,MLPRegressor
0.621,1.8721929689643702,MLPRegressor
10.0,4.207667387047968,MLPRegressor
0.52,1.2170009920431861,MLPRegressor
1.428,1.1938652493678004,MLPRegressor
1.579,2.1254266948803613,MLPRegressor
1.756,0.41612891377877737,MLPRegressor
10.0,3.6980558207618426,MLPRegressor
0.218,0.4383516937320776,MLPRegressor
0.193,1.0648024217325025,MLPRegressor
0.823,1.8846199658587448,MLPRegressor
3.896,4.183112165624386,MLPRegressor
10.0,4.001278461584877,MLPRegressor
-0.052,5.212617708016737,MLPRegressor
5.28,2.0918892917094705,MLPRegressor
3.162,1.2803041527549233,MLPRegressor
1.73,0.6395713255409048,MLPRegressor
3.815,5.001584263066546,MLPRegressor
3.485,-45.774916600032306,ElasticNet
2.209,-5.271875840271285,ElasticNet
0.308,16.940077481949075,ElasticNet
1.68,43.38449979913155,ElasticNet
0.621,7.9625160123511165,ElasticNet
10.0,29.218888226924786,ElasticNet
0.52,-13.791614298216217,ElasticNet
1.428,8.30553145715205,ElasticNet
1.579,40.21748752651547,ElasticNet
1.756,0.0060761417074530755,ElasticNet
10.0,-1.1075454674187029,ElasticNet
0.218,37.8917027292768,ElasticNet
0.193,-29.60854367269298,ElasticNet
0.823,48.90127267037056,ElasticNet
3.896,6.287779753705614,ElasticNet
10.0,170.80422893605632,ElasticNet
-0.052,-1.385101987849346,ElasticNet
5.28,12.649495475626438,ElasticNet
3.162,-12.646858045250575,ElasticNet
1.73,12.197091544556912,ElasticNet
3.815,73.29478199488148,ElasticNet
3.485,-1.3720196753004963,SGDRegressor
2.209,4.217453075149891,SGDRegressor
0.308,1.4380763034077688,SGDRegressor
1.68,-4.033968102116784,SGDRegressor
0.621,7.698535605484478,SGDRegressor
10.0,0.9595492873964773,SGDRegressor
0.52,0.5014531325668123,SGDRegressor
1.428,0.6388148488029337,SGDRegressor
1.579,1.6027748158152164,SGDRegressor
1.756,-0.8585347966840651,SGDRegressor
10.0,6.992615652059701,SGDRegressor
0.218,-3.124603648969945,SGDRegressor
0.193,-1.791888361955877,SGDRegressor
0.823,2.6068204560370383,SGDRegressor
3.896,-1.6809680878743656,SGDRegressor
10.0,4.394411044371111,SGDRegressor
-0.052,4.55092425236634,SGDRegressor
