Actual,Predicted,Model
3.485,-7.686210173873171,Ridge
2.209,-3.58759979183246,Ridge
0.308,-3.842126590614157,Ridge
1.68,-9.18090278494207,Ridge
0.621,14.84864805418156,Ridge
10.0,15.686435072954279,Ridge
0.52,-2.8846510875948326,Ridge
1.428,-0.8333425120597937,Ridge
1.579,15.869848768599084,Ridge
1.756,-7.45876397729522,Ridge
10.0,6.812775546852336,Ridge
0.218,5.130356182566786,Ridge
0.193,-2.4288002904422683,Ridge
0.823,5.357897914982029,Ridge
3.896,-12.224902613283554,Ridge
10.0,17.27303830117663,Ridge
-0.052,1.624961062674938,Ridge
5.28,3.102535829869744,Ridge
3.162,-8.323277489874052,Ridge
1.73,-8.678352695178745,Ridge
3.815,1.9985532657590426,Ridge
3.485,0.944,DecisionTreeRegressor
2.209,2.209,DecisionTreeRegressor
0.308,1.428,DecisionTreeRegressor
1.68,-0.06,DecisionTreeRegressor
0.621,2.539,DecisionTreeRegressor
10.0,2.618,DecisionTreeRegressor
0.52,-0.009,DecisionTreeRegressor
1.428,0.621,DecisionTreeRegressor
1.579,0.924,DecisionTreeRegressor
1.756,-0.06,DecisionTreeRegressor
10.0,0.866,DecisionTreeRegressor
0.218,10.0,DecisionTreeRegressor
0.193,1.251,DecisionTreeRegressor
0.823,0.621,DecisionTreeRegressor
3.896,3.092,DecisionTreeRegressor
10.0,2.275,DecisionTreeRegressor
-0.052,1.781,DecisionTreeRegressor
5.28,2.336,DecisionTreeRegressor
3.162,1.075,DecisionTreeRegressor
1.73,2.941,DecisionTreeRegressor
3.815,10.0,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
1.756,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.218,6.2449001229460475,GradientBoostingRegressor
0.193,6.2449001229460475,GradientBoostingRegressor
0.823,6.2449001229460475,GradientBoostingRegressor
3.896,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
-0.052,6.2449001229460475,GradientBoostingRegressor
5.28,6.2449001229460475,GradientBoostingRegressor
3.162,6.2449001229460475,GradientBoostingRegressor
1.73,6.2449001229460475,GradientBoostingRegressor
3.815,6.2449001229460475,GradientBoostingRegressor
3.485,2.134,RandomForestRegressor
2.209,1.819,RandomForestRegressor
0.308,0.621,RandomForestRegressor
1.68,1.705,RandomForestRegressor
0.621,1.327,RandomForestRegressor
10.0,0.944,RandomForestRegressor
0.52,1.201,RandomForestRegressor
1.428,1.957,RandomForestRegressor
1.579,0.924,RandomForestRegressor
1.756,1.05,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,10.0,RandomForestRegressor
0.193,0.545,RandomForestRegressor
0.823,1.957,RandomForestRegressor
3.896,0.319,RandomForestRegressor
10.0,10.0,RandomForestRegressor
-0.052,3.854,RandomForestRegressor
5.28,0.944,RandomForestRegressor
3.162,1.856,RandomForestRegressor
1.73,3.854,RandomForestRegressor
3.815,3.949,RandomForestRegressor
3.485,1.5481645569620255,AdaBoostRegressor
2.209,1.7794651162790702,AdaBoostRegressor
0.308,1.6182558139534886,AdaBoostRegressor
1.68,1.5481645569620255,AdaBoostRegressor
0.621,1.6652985074626843,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.5481645569620255,AdaBoostRegressor
1.428,1.4841551724137927,AdaBoostRegressor
1.579,1.5481645569620255,AdaBoostRegressor
1.756,1.5481645569620255,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.5622222222222222,AdaBoostRegressor
0.193,1.4841551724137927,AdaBoostRegressor
0.823,1.4841551724137927,AdaBoostRegressor
3.896,4.163566037735852,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.6652985074626843,AdaBoostRegressor
5.28,3.8966000000000003,AdaBoostRegressor
3.162,3.9612400000000014,AdaBoostRegressor
1.73,1.7794651162790702,AdaBoostRegressor
3.815,3.9612400000000014,AdaBoostRegressor
3.485,2.0695,KNeighborsRegressor
2.209,5.865,KNeighborsRegressor
0.308,1.095,KNeighborsRegressor
1.68,1.138,KNeighborsRegressor
0.621,0.6839999999999999,KNeighborsRegressor
10.0,6.004,KNeighborsRegressor
0.52,0.848,KNeighborsRegressor
1.428,1.6925000000000001,KNeighborsRegressor
1.579,1.012,KNeighborsRegressor
1.756,1.428,KNeighborsRegressor
10.0,0.8554999999999999,KNeighborsRegressor
0.218,0.6715,KNeighborsRegressor
