Actual,Predicted,Model
3.485,-3.4752511938448123,Ridge
2.209,-4.187803766360979,Ridge
0.308,-2.909910126830127,Ridge
1.68,-6.240843023065345,Ridge
0.621,8.529844778618141,Ridge
10.0,13.052452189116273,Ridge
0.52,0.6232094184182877,Ridge
1.428,-0.19556035004821126,Ridge
1.579,9.086709502079838,Ridge
1.756,-9.88422237345867,Ridge
10.0,9.744915239392924,Ridge
0.218,4.779228152468342,Ridge
0.193,-2.319734871053903,Ridge
0.823,6.057995687872104,Ridge
3.896,-7.18029589872765,Ridge
10.0,18.647276356189067,Ridge
-0.052,-3.440324202313363,Ridge
5.28,6.276174355736337,Ridge
3.162,-6.537049405253981,Ridge
1.73,-8.039315484143117,Ridge
3.815,5.307203407818843,Ridge
3.485,3.324,DecisionTreeRegressor
2.209,0.319,DecisionTreeRegressor
0.308,1.274,DecisionTreeRegressor
1.68,1.264,DecisionTreeRegressor
0.621,2.5506666666666664,DecisionTreeRegressor
10.0,1.2009999999999998,DecisionTreeRegressor
0.52,0.762,DecisionTreeRegressor
1.428,2.075,DecisionTreeRegressor
1.579,1.3840000000000001,DecisionTreeRegressor
1.756,0.699,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.218,0.699,DecisionTreeRegressor
0.193,1.3186666666666667,DecisionTreeRegressor
0.823,1.0496666666666667,DecisionTreeRegressor
3.896,3.8689999999999998,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
-0.052,0.596,DecisionTreeRegressor
5.28,1.9306666666666665,DecisionTreeRegressor
3.162,1.2009999999999998,DecisionTreeRegressor
1.73,0.37733333333333335,DecisionTreeRegressor
3.815,5.497,DecisionTreeRegressor
3.485,6.2449001229460475,GradientBoostingRegressor
2.209,6.2449001229460475,GradientBoostingRegressor
0.308,6.2449001229460475,GradientBoostingRegressor
1.68,6.2449001229460475,GradientBoostingRegressor
0.621,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.52,6.2449001229460475,GradientBoostingRegressor
1.428,6.2449001229460475,GradientBoostingRegressor
1.579,6.2449001229460475,GradientBoostingRegressor
1.756,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
0.218,6.2449001229460475,GradientBoostingRegressor
0.193,6.2449001229460475,GradientBoostingRegressor
0.823,6.2449001229460475,GradientBoostingRegressor
3.896,6.2449001229460475,GradientBoostingRegressor
10.0,6.399981083261788,GradientBoostingRegressor
-0.052,6.2449001229460475,GradientBoostingRegressor
5.28,6.2449001229460475,GradientBoostingRegressor
3.162,6.2449001229460475,GradientBoostingRegressor
1.73,6.2449001229460475,GradientBoostingRegressor
3.815,6.2449001229460475,GradientBoostingRegressor
3.485,10.0,RandomForestRegressor
2.209,1.9645000000000001,RandomForestRegressor
0.308,10.0,RandomForestRegressor
1.68,1.9645000000000001,RandomForestRegressor
0.621,1.327,RandomForestRegressor
10.0,2.134,RandomForestRegressor
0.52,1.201,RandomForestRegressor
1.428,1.957,RandomForestRegressor
1.579,1.3775,RandomForestRegressor
1.756,1.327,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,1.9645000000000001,RandomForestRegressor
0.193,0.697,RandomForestRegressor
