CSV File,Model,Selection Method,Number of Features,MSE,Selected Features
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,2,2.065360923786705,"['F43', 'F44']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,3,2.01734590774004,"['F43', 'F44', 'F45']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,4,1.456387249466999,"['F28', 'F43', 'F44', 'F45']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,5,1.8871977483310138,"['F3_e', 'F28', 'F43', 'F44', 'F45']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,6,2.2843540471681374,"['F3_c', 'F3_e', 'F28', 'F43', 'F44', 'F45']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,7,1.5822030604041362,"['F3_c', 'F3_e', 'F28', 'F43', 'F44', 'F45', 'F49']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,8,1.7922406177995545,"['OF22', 'F3_c', 'F3_e', 'F28', 'F43', 'F44', 'F45', 'F49']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,9,1.9986127262523512,"['OF22', 'F3_c', 'F3_d', 'F3_e', 'F28', 'F43', 'F44', 'F45', 'F49']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,10,2.065641370311376,"['OF22', 'OF26', 'F3_c', 'F3_d', 'F3_e', 'F28', 'F43', 'F44', 'F45', 'F49']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,11,1.1609074484035322,"['OF22', 'OF26', 'F3_c', 'F3_d', 'F3_e', 'F22', 'F28', 'F43', 'F44', 'F45', 'F49']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,12,1.530704602685661,"['OF22', 'OF26', 'F3_c', 'F3_d', 'F3_e', 'F3_g', 'F22', 'F28', 'F43', 'F44', 'F45', 'F49']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,13,1.4516686806367765,"['OF22', 'OF26', 'F3_c', 'F3_d', 'F3_e', 'F3_f', 'F3_g', 'F22', 'F28', 'F43', 'F44', 'F45', 'F49']"
../../../Data_ML/4_out_csvs_regression_norm\output_knn_imputed_custom.csv,MLPRegressor,SelectKBest_f_regression,14,1.1129570936449378,"['OF22', 'OF26', 'F3_c', 'F3_d', 'F3_e', 'F3_f', 'F3_g', 'F22', 'F28', 'F43', 'F44', 'F45', 'F48', 'F49']"
